排名,CPU型号,CPU核心数,单核得分,多核得分,多核线程数
1,AMD EPYC 9Y24 96-Core Processor,4,4527,9491,4
2,AMD EPYC 9Y24 96-Core Processor,4,4166,9393,4
3,AMD EPYC 9Y24 96-Core Processor,4,4196,9351,4
4,AMD EPYC 9Y24 96-Core Processor @ 2599.998 MHz,32,4229,4870,32
5,AMD EPYC 9Y24 96-Core Processor @ 2599.998 MHz,32,4239,4815,32
6,AMD EPYC 9Y24 96-Core Processor,2,4498,4768,2
7,AMD EPYC 9Y24 96-Core Processor,2,4191,4706,2
8,AMD EPYC 9Y24 96-Core Processor,2,4159,4700,2
9,AMD EPYC 9Y24 96-Core Processor,2,4173,4698,2
10,AMD EPYC 9Y24 96-Core Processor,2,4175,4697,2
11,AMD EPYC 9Y24 96-Core Processor,2,4180,4695,2
12,AMD EPYC 9Y24 96-Core Processor,2,4164,4691,2
13,AMD EPYC 9Y24 96-Core Processor,2,4163,4678,2
14,AMD EPYC 9Y24 96-Core Processor,2,4148,4676,2
15,AMD EPYC 9Y24 96-Core Processor,2,4156,4668,2
16,AMD EPYC 9Y24 96-Core Processor,2,3873,4378,2
17,AMD EPYC 9Y24 96-Core Processor,2,4004,4111,2
18,AMD EPYC 9Y24 96-Core Processor,2,1971,3109,2
