排名,CPU型号,CPU核心数,单核得分,多核得分,多核线程数
1,AMD EPYC Processor (with IBPB) @ 3195.198 MHz,8,4862,33129,8
2,AMD EPYC Processor (with IBPB) @ 2496.248 MHz,8,4049,30127,8
3,AMD EPYC Processor (with IBPB),8,3642,29009,8
4,AMD EPYC Processor (with IBPB),8,3658,28706,8
5,AMD EPYC Processor (with IBPB) @ 3195.196 MHz,6,4972,28149,6
6,AMD EPYC Processor (with IBPB) @ 3195.198 MHz,6,5257,26283,6
7,AMD EPYC Processor (with IBPB),8,3993,24902,8
8,AMD EPYC Processor (with IBPB) @ 2794.750 MHz,6,4732,22138,6
9,AMD EPYC Processor (with IBPB) @ 2496.246 MHz,6,4055,21689,6
10,AMD EPYC Processor (with IBPB),16,1426,21277,16
11,AMD EPYC Processor (with IBPB) @ 2496.248 MHz,6,4243,21172,6
12,AMD EPYC Processor (with IBPB) @ 2496.246 MHz,6,3952,19865,6
13,AMD EPYC Processor (with IBPB),4,4919,19515,4
14,AMD EPYC Processor (with IBPB),4,4841,18827,4
15,AMD EPYC Processor (with IBPB),16,1411,18395,16
16,AMD EPYC Processor (with IBPB),4,4531,18145,4
17,AMD EPYC Processor (with IBPB) @ 2496.248 MHz,6,3278,18142,6
18,AMD EPYC Processor (with IBPB),4,4568,18103,4
19,AMD EPYC Processor (with IBPB),4,4531,18097,4
20,AMD EPYC Processor (with IBPB),4,4718,18077,4
21,AMD EPYC Processor (with IBPB),6,3040,17893,6
22,AMD EPYC Processor (with IBPB) @ 2496.248 MHz,6,3838,17508,6
23,AMD EPYC Processor (with IBPB) @ 2496.250 MHz,4,4117,17325,4
24,AMD EPYC Processor (with IBPB),4,4642,16823,4
25,AMD EPYC Processor (with IBPB) @ 2496.248 MHz,6,3620,16781,6
26,AMD EPYC Processor (with IBPB) @ 2496.250 MHz,6,3673,16237,6
27,AMD EPYC Processor (with IBPB),4,3971,15035,4
28,AMD EPYC Processor (with IBPB),4,3664,14624,4
