排名,CPU型号,CPU核心数,单核得分,多核得分,多核线程数
1,AMD EPYC Processor (with IBPB) @ 3195.198 MHz,6,5257,26283,6
2,AMD EPYC Processor (with IBPB) @ 3195.196 MHz,6,4972,28149,6
3,AMD EPYC Processor (with IBPB),4,4919,19515,4
4,AMD EPYC Processor (with IBPB) @ 3195.198 MHz,8,4862,33129,8
5,AMD EPYC Processor (with IBPB),1,4856,4856,1
6,AMD EPYC Processor (with IBPB),4,4841,18827,4
7,AMD EPYC Processor (with IBPB) @ 2794.750 MHz,6,4732,22138,6
8,AMD EPYC Processor (with IBPB),4,4718,18077,4
9,AMD EPYC Processor (with IBPB),4,4704,14563,4
10,AMD EPYC Processor (with IBPB),1,4697,4697,1
11,AMD EPYC Processor (with IBPB),4,4642,16823,4
12,AMD EPYC Processor (with IBPB),1,4633,4633,1
13,AMD EPYC Processor (with IBPB),1,4586,4586,1
14,AMD EPYC Processor (with IBPB),4,4568,18103,4
15,AMD EPYC Processor (with IBPB),2,4564,9097,2
16,AMD EPYC Processor (with IBPB),2,4547,9100,2
17,AMD EPYC Processor (with IBPB),4,4531,18145,4
18,AMD EPYC Processor (with IBPB),4,4531,18097,4
19,AMD EPYC Processor (with IBPB),1,4453,4453,1
20,AMD EPYC Processor (with IBPB),1,4449,4449,1
21,AMD EPYC Processor (with IBPB) @ 2794.748 MHz,4,4387,13133,4
22,AMD EPYC Processor (with IBPB) @ 2496.248 MHz,4,4297,12702,4
23,AMD EPYC Processor (with IBPB),1,4258,4258,1
24,AMD EPYC Processor (with IBPB) @ 2496.248 MHz,6,4243,21172,6
25,AMD EPYC Processor (with IBPB),2,4145,8260,2
26,AMD EPYC Processor (with IBPB),1,4135,4135,1
27,AMD EPYC Processor (with IBPB) @ 2496.250 MHz,4,4117,17325,4
28,AMD EPYC Processor (with IBPB),1,4057,4057,1
29,AMD EPYC Processor (with IBPB) @ 2496.246 MHz,6,4055,21689,6
30,AMD EPYC Processor (with IBPB) @ 2496.248 MHz,8,4049,30127,8
31,AMD EPYC Processor (with IBPB),8,3993,24902,8
32,AMD EPYC Processor (with IBPB),4,3971,15035,4
33,AMD EPYC Processor (with IBPB) @ 2496.246 MHz,6,3952,19865,6
34,AMD EPYC Processor (with IBPB),1,3873,3873,1
35,AMD EPYC Processor (with IBPB) @ 2496.248 MHz,6,3838,17508,6
36,AMD EPYC Processor (with IBPB),1,3775,3775,1
37,AMD EPYC Processor (with IBPB) @ 2496.246 MHz,4,3763,12576,4
38,AMD EPYC Processor (with IBPB),4,3691,14505,4
39,AMD EPYC Processor (with IBPB),2,3691,7332,2
40,AMD EPYC Processor (with IBPB),1,3690,3690,1
41,AMD EPYC Processor (with IBPB),2,3683,7274,2
42,AMD EPYC Processor (with IBPB),1,3680,3680,1
43,AMD EPYC Processor (with IBPB),2,3680,7217,2
44,AMD EPYC Processor (with IBPB),2,3679,7354,2
45,AMD EPYC Processor (with IBPB),2,3675,7105,2
46,AMD EPYC Processor (with IBPB),2,3674,7016,2
47,AMD EPYC Processor (with IBPB) @ 2496.250 MHz,6,3673,16237,6
48,AMD EPYC Processor (with IBPB) @2445.404 MHz,2,3670,7249,2
49,AMD EPYC Processor (with IBPB),2,3668,7277,2
50,AMD EPYC Processor (with IBPB),2,3667,7319,2
51,AMD EPYC Processor (with IBPB),2,3667,7312,2
52,AMD EPYC Processor (with IBPB),1,3667,3667,1
53,AMD EPYC Processor (with IBPB),2,3666,7318,2
