排名,CPU型号,CPU核心数,单核得分,多核得分,多核线程数
1,AMD EPYC Processor,1,6322,6322,1
2,AMD EPYC Processor,2,6303,7293,2
3,AMD EPYC Processor,4,6278,14668,4
4,AMD EPYC Processor,1,6126,6126,1
5,AMD EPYC Processor,1,6031,6031,1
6,AMD EPYC Processor,8,5343,41167,8
7,AMD EPYC Processor,4,5296,20223,4
8,AMD EPYC Processor,8,5268,40812,8
9,AMD EPYC Processor,4,5234,20499,4
10,AMD EPYC Processor,2,5192,10329,2
11,AMD EPYC Processor,1,5169,5169,1
12,AMD EPYC Processor,2,5157,10267,2
13,AMD EPYC Processor,2,5122,10267,2
14,AMD EPYC Processor,1,5111,5111,1
15,AMD EPYC Processor,1,5035,5035,1
16,AMD EPYC Processor,1,4583,4583,1
17,AMD EPYC Processor,2,4565,8674,2
18,AMD EPYC Processor,1,4554,4554,1
19,AMD EPYC Processor @ 3000.000 MHz,1,4523,4523,1
20,AMD EPYC Processor,1,4523,4523,1
21,AMD EPYC Processor,2,4521,8982,2
22,AMD EPYC Processor,2,4521,9020,2
23,AMD EPYC Processor,2,4518,8954,2
24,AMD EPYC Processor,2,4517,9012,2
25,AMD EPYC Processor @ 3249.998 MHz,2,4515,8890,2
26,AMD EPYC Processor,2,4514,9009,2
27,AMD EPYC Processor,2,4511,9001,2
28,AMD EPYC Processor,8,4511,36069,8
29,AMD EPYC Processor,16,4510,71972,16
30,AMD EPYC Processor,2,4508,9015,2
31,AMD EPYC Processor,3,4506,13535,3
32,AMD EPYC Processor,2,4505,8881,2
33,AMD EPYC Processor,2,4502,4748,2
34,AMD EPYC Processor,3,4500,13443,3
35,AMD EPYC Processor,4,4498,17756,4
36,AMD EPYC Processor,2,4498,8948,2
37,AMD EPYC Processor,1,4498,4498,1
38,AMD EPYC Processor,2,4497,9003,2
39,AMD EPYC Processor,2,4497,8895,2
40,AMD EPYC Processor,3,4494,13459,3
41,AMD EPYC Processor,3,4493,13482,3
42,AMD EPYC Processor,3,4493,13287,3
43,AMD EPYC Processor,3,4478,13147,3
44,AMD EPYC Processor,8,4478,18857,8
45,AMD EPYC Processor,2,4478,4721,2
46,AMD EPYC Processor,2,4477,8931,2
47,AMD EPYC Processor,2,4470,8765,2
48,AMD EPYC Processor,2,4468,8928,2
49,AMD EPYC Processor,3,4459,13408,3
50,AMD EPYC Processor,2,4455,8739,2
51,AMD EPYC Processor,2,4452,8829,2
52,AMD EPYC Processor,3,4446,13085,3
53,AMD EPYC Processor,3,4445,13035,3
54,AMD EPYC Processor,2,4439,8740,2
55,AMD EPYC Processor,2,4437,4675,2
56,AMD EPYC Processor,3,4431,12954,3
57,AMD EPYC Processor,2,4430,8822,2
58,AMD EPYC Processor,4,4425,17369,4
59,AMD EPYC Processor,2,4425,8684,2
60,AMD EPYC Processor,2,4423,8708,2
61,AMD EPYC Processor,3,4420,13181,3
62,AMD EPYC Processor,2,4406,8663,2
63,AMD EPYC Processor,2,4397,8570,2
64,AMD EPYC Processor,2,4395,8575,2
65,AMD EPYC Processor,2,4382,8548,2
66,AMD EPYC Processor,2,4374,8636,2
67,AMD EPYC Processor,6,4368,25325,6
68,AMD EPYC Processor,2,4358,8697,2
69,AMD EPYC Processor,6,4358,25927,6
70,AMD EPYC Processor,2,4352,8794,2
71,AMD EPYC Processor,2,4337,8567,2
72,AMD EPYC Processor,2,4328,8475,2
73,AMD EPYC Processor,2,4324,8727,2
74,AMD EPYC Processor,1,4321,4321,1
75,AMD EPYC Processor,16,4296,59279,16
76,AMD EPYC Processor,1,4293,4293,1
77,AMD EPYC Processor,6,4288,25333,6
78,AMD EPYC Processor,2,4287,8517,2
79,AMD EPYC Processor,1,4284,4284,1
80,AMD EPYC Processor @ 2844.656 MHz,2,4283,8376,2
81,AMD EPYC Processor,6,4270,25084,6
82,AMD EPYC Processor,6,4270,25262,6
83,AMD EPYC Processor,2,4263,8180,2
84,AMD EPYC Processor,2,4255,8650,2
85,AMD EPYC Processor,3,4254,12935,3
86,AMD EPYC Processor,1,4248,4248,1
87,AMD EPYC Processor,6,4246,25328,6
88,AMD EPYC Processor,3,4245,13188,3
89,AMD EPYC Processor,1,4237,4237,1
90,AMD EPYC Processor,1,4235,4235,1
91,AMD EPYC Processor,1,4231,4231,1
92,AMD EPYC Processor,1,4230,4230,1
93,AMD EPYC Processor,1,4225,4225,1
94,AMD EPYC Processor,4,4224,16592,4
95,AMD EPYC Processor,6,4222,24395,6
96,AMD EPYC Processor,1,4220,4220,1
97,AMD EPYC Processor,1,4219,4219,1
98,AMD EPYC Processor,6,4218,24765,6
99,AMD EPYC Processor,2,4216,8584,2
100,AMD EPYC Processor,1,4215,4215,1
101,AMD EPYC Processor,4,4209,16890,4
102,AMD EPYC Processor,1,4208,4208,1
103,AMD EPYC Processor,6,4202,25403,6
104,AMD EPYC Processor,1,4201,4201,1
105,AMD EPYC Processor,1,4195,4195,1
106,AMD EPYC Processor,1,4195,4195,1
107,AMD EPYC Processor,1,4191,4191,1
108,AMD EPYC Processor,6,4191,24492,6
109,AMD EPYC Processor,2,4187,8273,2
110,AMD EPYC Processor,6,4176,24686,6
111,AMD EPYC Processor,6,4158,24008,6
112,AMD EPYC Processor,6,4153,24742,6
113,AMD EPYC Processor,6,4152,20968,6
114,AMD EPYC Processor,6,4141,24847,6
115,AMD EPYC Processor,6,4140,25022,6
116,AMD EPYC Processor,6,4139,23892,6
117,AMD EPYC Processor,1,4138,4138,1
118,AMD EPYC Processor,6,4137,24650,6
119,AMD EPYC Processor,1,4132,4132,1
120,AMD EPYC Processor,6,4130,23112,6
121,AMD EPYC Processor,6,4128,25169,6
122,AMD EPYC Processor,6,4125,19958,6
123,AMD EPYC Processor,6,4117,23974,6
124,AMD EPYC Processor,1,4106,4106,1
125,AMD EPYC Processor,6,4094,22152,6
126,AMD EPYC Processor,6,4092,23592,6
127,AMD EPYC Processor,1,4049,4049,1
128,AMD EPYC Processor @ 2849.998 MHz,6,4044,22753,6
129,AMD EPYC Processor,6,4042,23817,6
130,AMD EPYC Processor,1,4036,4036,1
131,AMD EPYC Processor,1,4017,4017,1
132,AMD EPYC Processor @3249.998 MHz,3,4016,12188,3
133,AMD EPYC Processor,6,4008,23753,6
134,AMD EPYC Processor,6,4001,19750,6
135,AMD EPYC Processor,6,3992,21814,6
136,AMD EPYC Processor,1,3984,3984,1
137,AMD EPYC Processor,1,3983,3983,1
138,AMD EPYC Processor,4,3981,13430,4
139,AMD EPYC Processor,1,3976,3976,1
140,AMD EPYC Processor,1,3974,3974,1
141,AMD EPYC Processor,6,3974,21262,6
142,AMD EPYC Processor,1,3972,3972,1
143,AMD EPYC Processor,1,3972,3972,1
144,AMD EPYC Processor,1,3962,3962,1
145,AMD EPYC Processor,1,3949,3949,1
146,AMD EPYC Processor,1,3948,3948,1
147,AMD EPYC Processor,1,3945,3945,1
148,AMD EPYC Processor,1,3942,3942,1
149,AMD EPYC Processor,1,3942,3942,1
150,AMD EPYC Processor,6,3939,21598,6
151,AMD EPYC Processor @3249.998 MHz,3,3927,11909,3
152,AMD EPYC Processor @3249.998 MHz,3,3926,12105,3
153,AMD EPYC Processor,1,3923,3923,1
154,AMD EPYC Processor,6,3921,21917,6
155,AMD EPYC Processor,1,3915,3915,1
156,AMD EPYC Processor,1,3904,3904,1
157,AMD EPYC Processor @ 2849.998 MHz,6,3899,17941,6
158,AMD EPYC Processor,1,3896,3896,1
159,AMD EPYC Processor,6,3893,21532,6
160,AMD EPYC Processor,6,3884,23046,6
161,AMD EPYC Processor @ 2849.998 MHz,6,3883,19177,6
162,AMD EPYC Processor,1,3880,3880,1
163,AMD EPYC Processor,6,3880,21637,6
164,AMD EPYC Processor,1,3878,3878,1
165,AMD EPYC Processor,1,3874,3874,1
166,AMD EPYC Processor,6,3867,21943,6
167,AMD EPYC Processor,1,3865,3865,1
168,AMD EPYC Processor,1,3861,3861,1
169,AMD EPYC Processor,1,3858,3858,1
170,AMD EPYC Processor,1,3856,3856,1
171,AMD EPYC Processor,1,3856,3856,1
172,AMD EPYC Processor,6,3850,20360,6
173,AMD EPYC Processor @ 2849.998 MHz,6,3846,19855,6
174,AMD EPYC Processor,1,3844,3844,1
175,AMD EPYC Processor,2,3844,7745,2
176,AMD EPYC Processor,1,3832,3832,1
177,AMD EPYC Processor,6,3831,20466,6
178,AMD EPYC Processor,6,3817,20163,6
179,AMD EPYC Processor,1,3809,3809,1
180,AMD EPYC Processor,1,3804,3804,1
181,AMD EPYC Processor @ 2849.998 MHz,6,3804,18336,6
182,AMD EPYC Processor,1,3790,3790,1
183,AMD EPYC Processor,1,3784,3784,1
184,AMD EPYC Processor,4,3777,13395,4
185,AMD EPYC Processor,1,3774,3774,1
186,AMD EPYC Processor,1,3770,3770,1
187,AMD EPYC Processor,1,3765,3765,1
188,AMD EPYC Processor,6,3754,18573,6
189,AMD EPYC Processor,6,3753,19975,6
190,AMD EPYC Processor,1,3752,3752,1
191,AMD EPYC Processor,4,3751,13894,4
192,AMD EPYC Processor,1,3743,3743,1
193,AMD EPYC Processor,6,3739,20535,6
194,AMD EPYC Processor,1,3735,3735,1
195,AMD EPYC Processor,1,3731,3731,1
196,AMD EPYC Processor,1,3731,3731,1
197,AMD EPYC Processor,1,3727,3727,1
198,AMD EPYC Processor,1,3726,3726,1
199,AMD EPYC Processor,1,3716,3716,1
200,AMD EPYC Processor,1,3703,3703,1
201,AMD EPYC Processor,1,3694,3694,1
202,AMD EPYC Processor,1,3692,3692,1
203,AMD EPYC Processor,1,3682,3682,1
204,AMD EPYC Processor,3,3681,10952,3
205,AMD EPYC Processor,1,3678,3678,1
206,AMD EPYC Processor,3,3676,10959,3
207,AMD EPYC Processor,2,3673,7249,2
208,AMD EPYC Processor,2,3672,7290,2
209,AMD EPYC Processor,1,3671,3671,1
210,AMD EPYC Processor,2,3668,7321,2
211,AMD EPYC Processor,2,3668,7247,2
212,AMD EPYC Processor,2,3667,7126,2
213,AMD EPYC Processor,4,3665,14558,4
214,AMD EPYC Processor,3,3664,10891,3
215,AMD EPYC Processor,3,3662,10889,3
216,AMD EPYC Processor,2,3661,7337,2
217,AMD EPYC Processor,2,3660,7241,2
218,AMD EPYC Processor @ 2445.406 MHz,8,3660,24932,8
219,AMD EPYC Processor,2,3659,7277,2
220,AMD EPYC Processor,2,3658,7244,2
221,AMD EPYC Processor,2,3657,7308,2
222,AMD EPYC Processor,16,3657,58305,16
223,AMD EPYC Processor,2,3656,7319,2
224,AMD EPYC Processor,2,3655,7183,2
225,AMD EPYC Processor,4,3655,14613,4
226,AMD EPYC Processor,2,3654,7227,2
227,AMD EPYC Processor,3,3653,10813,3
228,AMD EPYC Processor,8,3653,29138,8
229,AMD EPYC Processor,2,3653,7285,2
230,AMD EPYC Processor,2,3653,4084,2
231,AMD EPYC Processor,4,3653,14566,4
232,AMD EPYC Processor,3,3652,10931,3
233,AMD EPYC Processor,4,3652,14545,4
234,AMD EPYC Processor,4,3652,14538,4
235,AMD EPYC Processor,4,3652,14552,4
236,AMD EPYC Processor,8,3652,16498,8
237,AMD EPYC Processor,2,3652,7326,2
238,AMD EPYC Processor,2,3652,7328,2
239,AMD EPYC Processor,4,3652,8184,4
240,AMD EPYC Processor,2,3651,7219,2
241,AMD EPYC Processor,1,3651,3651,1
242,AMD EPYC Processor,2,3650,7275,2
243,AMD EPYC Processor @ 2445.404 MHz,3,3650,10885,3
244,AMD EPYC Processor,3,3649,10864,3
245,AMD EPYC Processor,3,3648,10893,3
246,AMD EPYC Processor,4,3648,14564,4
247,AMD EPYC Processor,3,3648,10796,3
248,AMD EPYC Processor,3,3648,10925,3
249,AMD EPYC Processor,2,3648,7284,2
250,AMD EPYC Processor,2,3648,7285,2
251,AMD EPYC Processor,2,3648,4141,2
252,AMD EPYC Processor,3,3647,10906,3
253,AMD EPYC Processor,1,3647,3647,1
254,AMD EPYC Processor,3,3647,10916,3
255,AMD EPYC Processor,2,3647,7245,2
256,AMD EPYC Processor,4,3646,14455,4
257,AMD EPYC Processor @ 2445.406 MHz,3,3646,10844,3
258,AMD EPYC Processor,2,3645,4125,2
259,AMD EPYC Processor,3,3645,10881,3
260,AMD EPYC Processor,3,3644,10914,3
261,AMD EPYC Processor,2,3644,7114,2
262,AMD EPYC Processor,2,3644,7213,2
263,AMD EPYC Processor,2,3644,7212,2
264,AMD EPYC Processor,2,3644,7298,2
265,AMD EPYC Processor,2,3644,7273,2
266,AMD EPYC Processor,3,3644,10967,3
267,AMD EPYC Processor,2,3644,7253,2
268,AMD EPYC Processor,3,3643,10825,3
269,AMD EPYC Processor,3,3643,10857,3
270,AMD EPYC Processor,2,3643,7247,2
271,AMD EPYC Processor,4,3642,14552,4
272,AMD EPYC Processor,3,3642,10869,3
273,AMD EPYC Processor,3,3642,10534,3
274,AMD EPYC Processor @ 2445.406 MHz,3,3641,10879,3
275,AMD EPYC Processor,2,3641,7252,2
276,AMD EPYC Processor,3,3641,10908,3
277,AMD EPYC Processor,2,3641,7070,2
278,AMD EPYC Processor @ 2445.404 MHz,3,3640,10917,3
279,AMD EPYC Processor,3,3639,10950,3
280,AMD EPYC Processor,4,3639,14417,4
281,AMD EPYC Processor,3,3639,10635,3
282,AMD EPYC Processor,1,3639,3639,1
283,AMD EPYC Processor,2,3639,7304,2
284,AMD EPYC Processor,3,3638,10818,3
285,AMD EPYC Processor,2,3638,7265,2
286,AMD EPYC Processor,2,3638,7263,2
287,AMD EPYC Processor,4,3637,13630,4
288,AMD EPYC Processor,2,3637,7053,2
289,AMD EPYC Processor,3,3637,10932,3
