排名,CPU型号,CPU核心数,单核得分,多核得分,多核线程数
1,AMD Eng Sample,1,4095,424133,192
2,AMD Eng Sample,1,6302,105654,32
3,AMD Eng Sample,128,1377,60325,128
4,AMD Eng Sample,128,1375,59000,128
5,AMD Eng Sample,128,1373,53750,128
6,AMD Eng Sample,128,1372,52335,128
7,AMD Eng Sample,16,6015,49251,16
8,AMD Eng Sample,8,6078,48301,8
9,AMD Eng Sample,16,5975,48136,16
10,AMD Eng Sample,8,6036,47188,8
11,AMD Eng Sample,1,4798,40948,16
12,AMD Eng Sample,16,4895,40844,16
13,AMD Eng Sample,1,4908,39793,16
14,AMD Eng Sample,1,4816,39511,16
15,AMD Eng Sample,16,4892,36163,16
16,AMD Eng Sample,8,4870,35606,8
17,AMD Eng Sample,1,1997,16863,16
18,AMD Eng Sample,12,1527,15076,12
19,AMD Eng Sample,3,5036,13865,3
20,AMD Eng Sample,3,5047,13607,3
21,AMD Eng Sample,128,194,12784,128
22,AMD Eng Sample,128,194,12694,128
23,AMD Eng Sample,128,195,12660,128
24,AMD Eng Sample,12,1665,12318,12
25,AMD Eng Sample,8,1257,10733,8
26,AMD Eng Sample,8,1244,10558,8
27,AMD Eng Sample,8,1321,10000,8
28,AMD Eng Sample,8,1381,9702,8
29,AMD Eng Sample,16,4848,9467,16
30,AMD Eng Sample,4,2006,7956,4
31,AMD Eng Sample,1,1896,7929,8
32,AMD Eng Sample,4,1222,4805,4
33,AMD Eng Sample,4,1120,4715,4
34,AMD Eng Sample,4,1204,4517,4
35,AMD Eng Sample,2,1194,2465,2
36,AMD Eng Sample,2,1193,2423,2
37,AMD Eng Sample,2,1129,2311,2
38,AMD Eng Sample,2,1191,2290,2
39,AMD Eng Sample,10,191,1886,10
40,AMD Eng Sample,1,1567,1567,1
41,AMD Eng Sample,1,1401,1401,1
42,AMD Eng Sample,1,1144,1144,1
43,AMD Eng Sample,16,269,463,16
44,AMD Eng Sample,16,210,430,16
45,AMD Eng Sample,2,184,367,2
