排名,CPU型号,CPU核心数,单核得分,多核得分,多核线程数
1,AMD Eng Sample,1,6302,105654,32
2,AMD Eng Sample,8,6078,48301,8
3,AMD Eng Sample,8,6036,47188,8
4,AMD Eng Sample,16,6015,49251,16
5,AMD Eng Sample,3,5047,13607,3
6,AMD Eng Sample,3,5036,13865,3
7,AMD Eng Sample,1,4908,39793,16
8,AMD Eng Sample,16,4895,40844,16
9,AMD Eng Sample,16,4892,36163,16
10,AMD Eng Sample,8,4870,35606,8
11,AMD Eng Sample,16,4848,9467,16
12,AMD Eng Sample,1,4816,39511,16
13,AMD Eng Sample,1,4095,424133,192
14,AMD Eng Sample,4,2006,7956,4
15,AMD Eng Sample,1,1997,16863,16
16,AMD Eng Sample,1,1896,7929,8
17,AMD Eng Sample,12,1665,12318,12
18,AMD Eng Sample,12,1527,15076,12
19,AMD Eng Sample,8,1381,9702,8
20,AMD Eng Sample,128,1377,60325,128
21,AMD Eng Sample,128,1375,59000,128
22,AMD Eng Sample,128,1373,53750,128
23,AMD Eng Sample,128,1372,52335,128
24,AMD Eng Sample,8,1321,10000,8
25,AMD Eng Sample,8,1257,10733,8
26,AMD Eng Sample,8,1244,10558,8
27,AMD Eng Sample,4,1222,4805,4
28,AMD Eng Sample,4,1204,4517,4
29,AMD Eng Sample,2,1194,2465,2
30,AMD Eng Sample,2,1193,2423,2
31,AMD Eng Sample,2,1191,2290,2
32,AMD Eng Sample,2,1129,2311,2
33,AMD Eng Sample,4,1120,4715,4
34,AMD Eng Sample,16,269,463,16
35,AMD Eng Sample,16,210,430,16
36,AMD Eng Sample,128,195,12660,128
37,AMD Eng Sample,128,194,12784,128
38,AMD Eng Sample,128,194,12694,128
39,AMD Eng Sample,10,191,1886,10
40,AMD Eng Sample,2,184,367,2
