排名,CPU型号,CPU核心数,单核得分,多核得分,多核线程数
1,AMD FX(tm)-4100 Quad-Core Processor,1,1311,4489,4
2,AMD FX(tm)-4100 Quad-Core Processor,1,1310,4490,4
3,AMD FX(tm)-4100 Quad-Core Processor,2,1304,2531,2
4,AMD FX(tm)-4100 Quad-Core Processor,1,1279,4561,4
5,AMD FX(tm)-4100 Quad-Core Processor,1,1275,1275,1
6,AMD FX(tm)-4100 Quad-Core Processor,1,1264,4440,4
7,AMD FX(tm)-4100 Quad-Core Processor,1,1260,4442,4
8,AMD FX(tm)-4100 Quad-Core Processor,1,1233,4419,4
9,AMD FX(tm)-4100 Quad-Core Processor,1,1231,4430,4
10,AMD FX(tm)-4100 Quad-Core Processor,4,1209,4399,4
11,AMD FX(tm)-4100 Quad-Core Processor,2,313,359,2
12,AMD FX(tm)-4100 Quad-Core Processor,2,285,308,2
13,AMD FX(tm)-4100 Quad-Core Processor,1,262,262,1
14,AMD FX(tm)-4100 Quad-Core Processor,4,256,959,4
