排名,CPU型号,CPU核心数,单核得分,多核得分,多核线程数
1,AMD Opteron(tm) Processor 6128 HE,16,534,8459,16
2,AMD Opteron(tm) Processor 6128 HE,1,530,527,16
3,AMD Opteron(tm) Processor 6128 HE,1,530,528,16
4,AMD Opteron(tm) Processor 6128 HE,2,529,1046,2
5,AMD Opteron(tm) Processor 6128 HE,8,524,4180,8
6,AMD Opteron(tm) Processor 6128 HE,4,523,2065,4
7,AMD Opteron(tm) Processor 6128 HE,4,523,2077,4
8,AMD Opteron(tm) Processor 6128 HE,4,522,2070,4
9,AMD Opteron(tm) Processor 6128 HE,4,522,2065,4
10,AMD Opteron(tm) Processor 6128 HE,2,522,1031,2
11,AMD Opteron(tm) Processor 6128 HE,4,521,2079,4
12,AMD Opteron(tm) Processor 6128 HE,32,520,8131,32
13,AMD Opteron(tm) Processor 6128 HE,4,520,2026,4
14,AMD Opteron(tm) Processor 6128 HE,8,517,4145,8
15,AMD Opteron(tm) Processor 6128 HE,2,515,912,2
16,AMD Opteron(tm) Processor 6128 HE,4,514,2044,4
17,AMD Opteron(tm) Processor 6128 HE,4,514,2089,4
18,AMD Opteron(tm) Processor 6128 HE,1,497,497,1
19,AMD Opteron(tm) Processor 6128 HE,1,497,497,1
