排名,CPU型号,CPU核心数,单核得分,多核得分,多核线程数
1,AMD Phenom(tm) II X4 965 Processor,1,916,3667,4
2,AMD Phenom(tm) II X4 965 Processor,1,917,3656,4
3,AMD Phenom(tm) II X4 965 Processor,1,911,3646,4
4,AMD Phenom(tm) II X4 965 Processor,1,909,3645,4
5,AMD Phenom(tm) II X4 965 Processor,1,909,3644,4
6,AMD Phenom(tm) II X4 965 Processor,1,909,3643,4
7,AMD Phenom(tm) II X4 965 Processor,1,915,3637,4
8,AMD Phenom(tm) II X4 965 Processor,1,909,3635,4
9,AMD Phenom(tm) II X4 965 Processor,1,917,3635,4
10,AMD Phenom(tm) II X4 965 Processor,1,905,3629,4
11,AMD Phenom(tm) II X4 965 Processor,1,905,3628,4
12,AMD Phenom(tm) II X4 965 Processor,1,905,3619,4
13,AMD Phenom(tm) II X4 965 Processor,4,914,3618,4
14,AMD Phenom(tm) II X4 965 Processor,1,905,3612,4
15,AMD Phenom(tm) II X4 965 Processor,1,904,3612,4
16,AMD Phenom(tm) II X4 965 Processor,4,911,3610,4
17,AMD Phenom(tm) II X4 965 Processor,4,906,3473,4
18,AMD Phenom(tm) II X4 965 Processor,1,894,3465,4
19,AMD Phenom(tm) II X4 965 Processor,3,910,2600,3
20,AMD Phenom(tm) II X4 965 Processor,4,890,2280,4
21,AMD Phenom(tm) II X4 965 Processor,2,917,1814,4
22,AMD Phenom(tm) II X4 965 Processor,2,911,1809,4
23,AMD Phenom(tm) II X4 965 Processor,2,916,1801,4
24,AMD Phenom(tm) II X4 965 Processor,2,913,1800,4
25,AMD Phenom(tm) II X4 965 Processor,2,913,1790,4
26,AMD Phenom(tm) II X4 965 Processor,2,914,1789,4
27,AMD Phenom(tm) II X4 965 Processor,2,876,1778,4
28,AMD Phenom(tm) II X4 965 Processor,2,903,1764,2
29,AMD Phenom(tm) II X4 965 Processor,2,916,1733,4
30,AMD Phenom(tm) II X4 965 Processor,2,881,1588,2
31,AMD Phenom(tm) II X4 965 Processor,2,838,1483,4
32,AMD Phenom(tm) II X4 965 Processor,1,658,1459,4
33,AMD Phenom(tm) II X4 965 Processor,2,888,1439,2
34,AMD Phenom(tm) II X4 965 Processor,4,875,1415,4
35,AMD Phenom(tm) II X4 965 Processor,2,860,1048,2
36,AMD Phenom(tm) II X4 965 Processor,2,753,1015,2
37,AMD Phenom(tm) II X4 965 Processor,2,811,1000,2
38,AMD Phenom(tm) II X4 965 Processor,1,824,902,4
39,AMD Phenom(tm) II X4 965 Processor,1,874,884,4
40,AMD Phenom(tm) II X4 965 Processor,1,870,883,4
41,AMD Phenom(tm) II X4 965 Processor,1,875,880,4
42,AMD Phenom(tm) II X4 965 Processor,1,873,877,4
43,AMD Phenom(tm) II X4 965 Processor,1,868,872,4
44,AMD Phenom(tm) II X4 965 Processor,1,863,872,4
45,AMD Phenom(tm) II X4 965 Processor,1,826,871,4
46,AMD Phenom(tm) II X4 965 Processor,1,862,869,4
47,AMD Phenom(tm) II X4 965 Processor,1,622,750,4
48,AMD Phenom(tm) II X4 965 Processor,1,573,476,4
49,AMD Phenom(tm) II X4 965 Processor,1,458,449,4
