排名,CPU型号,CPU核心数,单核得分,多核得分,多核线程数
1,AMD Phenom(tm) II X4 965 Processor,1,917,3656,4
2,AMD Phenom(tm) II X4 965 Processor,2,917,1814,4
3,AMD Phenom(tm) II X4 965 Processor,1,917,3635,4
4,AMD Phenom(tm) II X4 965 Processor,1,916,3667,4
5,AMD Phenom(tm) II X4 965 Processor,2,916,1733,4
6,AMD Phenom(tm) II X4 965 Processor,2,916,1801,4
7,AMD Phenom(tm) II X4 965 Processor,1,915,3637,4
8,AMD Phenom(tm) II X4 965 Processor,2,914,1789,4
9,AMD Phenom(tm) II X4 965 Processor,4,914,3618,4
10,AMD Phenom(tm) II X4 965 Processor,1,914,914,1
11,AMD Phenom(tm) II X4 965 Processor,2,913,1790,4
12,AMD Phenom(tm) II X4 965 Processor,2,913,1800,4
13,AMD Phenom(tm) II X4 965 Processor,1,911,3646,4
14,AMD Phenom(tm) II X4 965 Processor,1,911,911,1
15,AMD Phenom(tm) II X4 965 Processor,2,911,1809,4
16,AMD Phenom(tm) II X4 965 Processor,4,911,3610,4
17,AMD Phenom(tm) II X4 965 Processor,3,910,2600,3
18,AMD Phenom(tm) II X4 965 Processor,1,910,910,1
19,AMD Phenom(tm) II X4 965 Processor,1,909,3643,4
20,AMD Phenom(tm) II X4 965 Processor,1,909,909,1
21,AMD Phenom(tm) II X4 965 Processor,1,909,3645,4
22,AMD Phenom(tm) II X4 965 Processor,1,909,3635,4
23,AMD Phenom(tm) II X4 965 Processor,1,909,3644,4
24,AMD Phenom(tm) II X4 965 Processor,4,906,3473,4
25,AMD Phenom(tm) II X4 965 Processor,1,905,3619,4
26,AMD Phenom(tm) II X4 965 Processor,1,905,3629,4
27,AMD Phenom(tm) II X4 965 Processor,1,905,3612,4
28,AMD Phenom(tm) II X4 965 Processor,1,905,3628,4
29,AMD Phenom(tm) II X4 965 Processor,1,904,3612,4
30,AMD Phenom(tm) II X4 965 Processor,2,903,1764,2
31,AMD Phenom(tm) II X4 965 Processor,1,903,903,1
32,AMD Phenom(tm) II X4 965 Processor,1,901,901,1
33,AMD Phenom(tm) II X4 965 Processor,1,896,896,1
34,AMD Phenom(tm) II X4 965 Processor,1,894,3465,4
35,AMD Phenom(tm) II X4 965 Processor,4,890,2280,4
36,AMD Phenom(tm) II X4 965 Processor,2,888,1439,2
37,AMD Phenom(tm) II X4 965 Processor,1,886,886,1
38,AMD Phenom(tm) II X4 965 Processor,1,883,883,1
39,AMD Phenom(tm) II X4 965 Processor,1,883,883,1
40,AMD Phenom(tm) II X4 965 Processor,1,881,881,1
41,AMD Phenom(tm) II X4 965 Processor,2,881,1588,2
42,AMD Phenom(tm) II X4 965 Processor,1,876,876,1
43,AMD Phenom(tm) II X4 965 Processor,2,876,1778,4
44,AMD Phenom(tm) II X4 965 Processor,1,875,880,4
45,AMD Phenom(tm) II X4 965 Processor,4,875,1415,4
46,AMD Phenom(tm) II X4 965 Processor,1,875,875,1
47,AMD Phenom(tm) II X4 965 Processor,1,874,884,4
48,AMD Phenom(tm) II X4 965 Processor,1,873,877,4
49,AMD Phenom(tm) II X4 965 Processor,1,871,871,1
50,AMD Phenom(tm) II X4 965 Processor,1,871,871,1
51,AMD Phenom(tm) II X4 965 Processor,1,870,883,4
52,AMD Phenom(tm) II X4 965 Processor,1,868,872,4
53,AMD Phenom(tm) II X4 965 Processor,1,867,867,1
54,AMD Phenom(tm) II X4 965 Processor,1,867,867,1
55,AMD Phenom(tm) II X4 965 Processor @ 3415.332 MHz,1,864,864,1
56,AMD Phenom(tm) II X4 965 Processor,1,863,872,4
57,AMD Phenom(tm) II X4 965 Processor,1,862,869,4
58,AMD Phenom(tm) II X4 965 Processor,2,860,1048,2
59,AMD Phenom(tm) II X4 965 Processor,1,854,854,1
60,AMD Phenom(tm) II X4 965 Processor,1,853,853,1
61,AMD Phenom(tm) II X4 965 Processor,1,849,849,1
62,AMD Phenom(tm) II X4 965 Processor,1,839,839,1
63,AMD Phenom(tm) II X4 965 Processor,2,838,1483,4
64,AMD Phenom(tm) II X4 965 Processor,1,826,871,4
65,AMD Phenom(tm) II X4 965 Processor,1,824,902,4
66,AMD Phenom(tm) II X4 965 Processor,2,811,1000,2
67,AMD Phenom(tm) II X4 965 Processor,1,807,807,1
68,AMD Phenom(tm) II X4 965 Processor,1,806,806,1
69,AMD Phenom(tm) II X4 965 Processor,1,792,792,1
70,AMD Phenom(tm) II X4 965 Processor,1,782,782,1
71,AMD Phenom(tm) II X4 965 Processor,1,771,771,1
72,AMD Phenom(tm) II X4 965 Processor,2,753,1015,2
73,AMD Phenom(tm) II X4 965 Processor,1,733,733,1
74,AMD Phenom(tm) II X4 965 Processor,1,732,732,1
75,AMD Phenom(tm) II X4 965 Processor,1,730,730,1
76,AMD Phenom(tm) II X4 965 Processor,1,728,728,1
77,AMD Phenom(tm) II X4 965 Processor,1,727,727,1
78,AMD Phenom(tm) II X4 965 Processor,1,724,724,1
79,AMD Phenom(tm) II X4 965 Processor,1,712,712,1
80,AMD Phenom(tm) II X4 965 Processor,1,704,704,1
81,AMD Phenom(tm) II X4 965 Processor,1,692,692,1
82,AMD Phenom(tm) II X4 965 Processor,1,687,687,1
83,AMD Phenom(tm) II X4 965 Processor,1,686,686,1
84,AMD Phenom(tm) II X4 965 Processor,1,678,678,1
85,AMD Phenom(tm) II X4 965 Processor,1,676,676,1
86,AMD Phenom(tm) II X4 965 Processor,1,658,1459,4
87,AMD Phenom(tm) II X4 965 Processor,1,635,635,1
88,AMD Phenom(tm) II X4 965 Processor,1,630,630,1
89,AMD Phenom(tm) II X4 965 Processor,1,622,750,4
90,AMD Phenom(tm) II X4 965 Processor,1,616,616,1
91,AMD Phenom(tm) II X4 965 Processor,1,591,591,1
92,AMD Phenom(tm) II X4 965 Processor,1,586,586,1
93,AMD Phenom(tm) II X4 965 Processor,1,577,577,1
94,AMD Phenom(tm) II X4 965 Processor,1,576,576,1
95,AMD Phenom(tm) II X4 965 Processor,1,573,476,4
96,AMD Phenom(tm) II X4 965 Processor,1,560,560,1
97,AMD Phenom(tm) II X4 965 Processor,1,554,554,1
98,AMD Phenom(tm) II X4 965 Processor,1,541,541,1
99,AMD Phenom(tm) II X4 965 Processor,1,538,538,1
100,AMD Phenom(tm) II X4 965 Processor,1,533,533,1
101,AMD Phenom(tm) II X4 965 Processor,1,527,527,1
102,AMD Phenom(tm) II X4 965 Processor,1,501,501,1
103,AMD Phenom(tm) II X4 965 Processor,1,495,495,1
104,AMD Phenom(tm) II X4 965 Processor,1,458,449,4
105,AMD Phenom(tm) II X4 965 Processor,1,455,455,1
106,AMD Phenom(tm) II X4 965 Processor,1,449,449,1
107,AMD Phenom(tm) II X4 965 Processor,1,448,448,1
108,AMD Phenom(tm) II X4 965 Processor,1,447,447,1
109,AMD Phenom(tm) II X4 965 Processor,1,443,443,1
110,AMD Phenom(tm) II X4 965 Processor,1,441,441,1
111,AMD Phenom(tm) II X4 965 Processor,1,435,435,1
112,AMD Phenom(tm) II X4 965 Processor,1,435,435,1
113,AMD Phenom(tm) II X4 965 Processor,1,428,428,1
114,AMD Phenom(tm) II X4 965 Processor,1,427,427,1
115,AMD Phenom(tm) II X4 965 Processor,1,427,427,1
116,AMD Phenom(tm) II X4 965 Processor,1,423,423,1
117,AMD Phenom(tm) II X4 965 Processor,1,418,418,1
118,AMD Phenom(tm) II X4 965 Processor,1,418,418,1
119,AMD Phenom(tm) II X4 965 Processor,1,411,411,1
120,AMD Phenom(tm) II X4 965 Processor,1,408,408,1
121,AMD Phenom(tm) II X4 965 Processor @ 1707.667 MHz,1,407,407,1
122,AMD Phenom(tm) II X4 965 Processor,1,406,406,1
123,AMD Phenom(tm) II X4 965 Processor,1,404,404,1
124,AMD Phenom(tm) II X4 965 Processor,1,402,402,1
125,AMD Phenom(tm) II X4 965 Processor @ 1707.667 MHz,1,401,401,1
126,AMD Phenom(tm) II X4 965 Processor @ 1707.667 MHz,1,399,399,1
127,AMD Phenom(tm) II X4 965 Processor,1,380,380,1
128,AMD Phenom(tm) II X4 965 Processor,1,376,376,1
129,AMD Phenom(tm) II X4 965 Processor,1,375,375,1
