排名,CPU型号,CPU核心数,单核得分,多核得分,多核线程数
1,AMD Ryzen 3 2200G with Radeon Vega Graphics,4,1818,7207,4
2,AMD Ryzen 3 2200G with Radeon Vega Graphics,2,1813,3284,2
3,AMD Ryzen 3 2200G with Radeon Vega Graphics,4,1811,6989,4
4,AMD Ryzen 3 2200G with Radeon Vega Graphics,4,1808,7082,4
5,AMD Ryzen 3 2200G with Radeon Vega Graphics,4,1806,7030,4
6,AMD Ryzen 3 2200G with Radeon Vega Graphics,4,1806,7162,4
7,AMD Ryzen 3 2200G with Radeon Vega Graphics,4,1806,7175,4
8,AMD Ryzen 3 2200G with Radeon Vega Graphics,4,1806,7136,4
9,AMD Ryzen 3 2200G with Radeon Vega Graphics,4,1806,7174,4
10,AMD Ryzen 3 2200G with Radeon Vega Graphics,4,1806,7171,4
11,AMD Ryzen 3 2200G with Radeon Vega Graphics,4,1805,7182,4
12,AMD Ryzen 3 2200G with Radeon Vega Graphics,4,1805,7141,4
13,AMD Ryzen 3 2200G with Radeon Vega Graphics,4,1805,7170,4
14,AMD Ryzen 3 2200G with Radeon Vega Graphics,4,1801,7170,4
15,AMD Ryzen 3 2200G with Radeon Vega Graphics,4,1800,7187,4
16,AMD Ryzen 3 2200G with Radeon Vega Graphics,4,1800,7197,4
17,AMD Ryzen 3 2200G with Radeon Vega Graphics,4,1799,7182,4
18,AMD Ryzen 3 2200G with Radeon Vega Graphics,4,1798,7086,4
19,AMD Ryzen 3 2200G with Radeon Vega Graphics,4,1797,7162,4
20,AMD Ryzen 3 2200G with Radeon Vega Graphics,4,1785,7193,4
21,AMD Ryzen 3 2200G with Radeon Vega Graphics,4,1760,5129,4
22,AMD Ryzen 3 2200G with Radeon Vega Graphics,1,1738,4163,4
23,AMD Ryzen 3 2200G with Radeon Vega Graphics,2,1604,3329,2
24,AMD Ryzen 3 2200G with Radeon Vega Graphics,2,1603,3322,2
25,AMD Ryzen 3 2200G with Radeon Vega Graphics,2,1603,3324,2
26,AMD Ryzen 3 2200G with Radeon Vega Graphics,2,1595,3369,2
27,AMD Ryzen 3 2200G with Radeon Vega Graphics,2,1559,3196,2
