排名,CPU型号,CPU核心数,单核得分,多核得分,多核线程数
1,AMD Ryzen 5 1600X Six-Core Processor,1,1958,11614,12
2,AMD Ryzen 5 1600X Six-Core Processor,12,385,380,12
3,AMD Ryzen 5 1600X Six-Core Processor,12,377,381,12
4,AMD Ryzen 5 1600X Six-Core Processor,12,371,363,12
5,AMD Ryzen 5 1600X Six-Core Processor,12,363,337,12
6,AMD Ryzen 5 1600X Six-Core Processor,12,361,376,12
7,AMD Ryzen 5 1600X Six-Core Processor,12,335,325,12
8,AMD Ryzen 5 1600X Six-Core Processor,12,335,316,12
9,AMD Ryzen 5 1600X Six-Core Processor,12,332,316,12
10,AMD Ryzen 5 1600X Six-Core Processor,12,326,326,12
11,AMD Ryzen 5 1600X Six-Core Processor,12,326,331,12
12,AMD Ryzen 5 1600X Six-Core Processor,12,325,315,12
13,AMD Ryzen 5 1600X Six-Core Processor,12,324,322,12
14,AMD Ryzen 5 1600X Six-Core Processor,12,321,318,12
15,AMD Ryzen 5 1600X Six-Core Processor,12,321,325,12
16,AMD Ryzen 5 1600X Six-Core Processor,12,319,311,12
17,AMD Ryzen 5 1600X Six-Core Processor,12,315,309,12
18,AMD Ryzen 5 1600X Six-Core Processor,12,314,310,12
19,AMD Ryzen 5 1600X Six-Core Processor,1,311,311,1
20,AMD Ryzen 5 1600X Six-Core Processor,12,305,293,12
21,AMD Ryzen 5 1600X Six-Core Processor,12,304,311,12
22,AMD Ryzen 5 1600X Six-Core Processor,12,303,309,12
23,AMD Ryzen 5 1600X Six-Core Processor,12,303,300,12
24,AMD Ryzen 5 1600X Six-Core Processor,1,302,302,1
25,AMD Ryzen 5 1600X Six-Core Processor,12,302,300,12
26,AMD Ryzen 5 1600X Six-Core Processor,12,276,270,12
27,AMD Ryzen 5 1600X Six-Core Processor,12,271,271,12
28,AMD Ryzen 5 1600X Six-Core Processor,12,232,280,12
