排名,CPU型号,CPU核心数,单核得分,多核得分,多核线程数
1,AMD Ryzen 5 5600G with Radeon Graphics,12,5042,34029,12
2,AMD Ryzen 5 5600G with Radeon Graphics,12,5076,33973,12
3,AMD Ryzen 5 5600G with Radeon Graphics,1,5039,33967,12
4,AMD Ryzen 5 5600G with Radeon Graphics,12,5018,33845,12
5,AMD Ryzen 5 5600G with Radeon Graphics,12,4973,33840,12
6,AMD Ryzen 5 5600G with Radeon Graphics,12,5045,33636,12
7,AMD Ryzen 5 5600G with Radeon Graphics,12,5056,33570,12
8,AMD Ryzen 5 5600G with Radeon Graphics,12,5029,33565,12
9,AMD Ryzen 5 5600G with Radeon Graphics,12,4962,33421,12
10,AMD Ryzen 5 5600G with Radeon Graphics,12,4928,33350,12
11,AMD Ryzen 5 5600G with Radeon Graphics,12,5026,33244,12
12,AMD Ryzen 5 5600G with Radeon Graphics,12,5029,33141,12
13,AMD Ryzen 5 5600G with Radeon Graphics,12,4966,32926,12
14,AMD Ryzen 5 5600G with Radeon Graphics,1,5065,32740,12
15,AMD Ryzen 5 5600G with Radeon Graphics,1,5081,32700,12
16,AMD Ryzen 5 5600G with Radeon Graphics,1,5046,32404,12
17,AMD Ryzen 5 5600G with Radeon Graphics,1,5044,32386,12
18,AMD Ryzen 5 5600G with Radeon Graphics,1,5077,32275,12
19,AMD Ryzen 5 5600G with Radeon Graphics,1,5058,32059,12
20,AMD Ryzen 5 5600G with Radeon Graphics,1,5043,31955,12
21,AMD Ryzen 5 5600G with Radeon Graphics,1,4999,31850,12
22,AMD Ryzen 5 5600G with Radeon Graphics,8,4957,28937,8
23,AMD Ryzen 5 5600G with Radeon Graphics,6,4956,24270,6
24,AMD Ryzen 5 5600G with Radeon Graphics,6,4967,24018,6
25,AMD Ryzen 5 5600G with Radeon Graphics,8,4742,23223,8
26,AMD Ryzen 5 5600G with Radeon Graphics,4,4938,19560,4
27,AMD Ryzen 5 5600G with Radeon Graphics,4,4953,18469,4
28,AMD Ryzen 5 5600G with Radeon Graphics,4,4837,16557,4
29,AMD Ryzen 5 5600G with Radeon Graphics,4,444,1770,4
