排名,CPU型号,CPU核心数,单核得分,多核得分,多核线程数
1,AMD Ryzen 7 5700G with Radeon Graphics,16,5307,46265,16
2,AMD Ryzen 7 5700G with Radeon Graphics,16,5307,45957,16
3,AMD Ryzen 7 5700G with Radeon Graphics,1,5304,46474,16
4,AMD Ryzen 7 5700G with Radeon Graphics,1,5303,45043,16
5,AMD Ryzen 7 5700G with Radeon Graphics,1,5284,44828,16
6,AMD Ryzen 7 5700G with Radeon Graphics,16,5282,45466,16
7,AMD Ryzen 7 5700G with Radeon Graphics,1,5280,44901,16
8,AMD Ryzen 7 5700G with Radeon Graphics,1,5274,46761,16
9,AMD Ryzen 7 5700G with Radeon Graphics,1,5267,46149,16
10,AMD Ryzen 7 5700G with Radeon Graphics,4,5265,20956,4
11,AMD Ryzen 7 5700G with Radeon Graphics,8,5263,40455,8
12,AMD Ryzen 7 5700G with Radeon Graphics,8,5263,40110,8
13,AMD Ryzen 7 5700G with Radeon Graphics,1,5247,45955,16
14,AMD Ryzen 7 5700G with Radeon Graphics,1,5241,45651,16
15,AMD Ryzen 7 5700G with Radeon Graphics,4,5238,20710,4
16,AMD Ryzen 7 5700G with Radeon Graphics,4,5238,20724,4
17,AMD Ryzen 7 5700G with Radeon Graphics,4,5235,20657,4
18,AMD Ryzen 7 5700G with Radeon Graphics,2,5234,10276,2
19,AMD Ryzen 7 5700G with Radeon Graphics,16,5232,43991,16
20,AMD Ryzen 7 5700G with Radeon Graphics,4,5232,20801,4
21,AMD Ryzen 7 5700G with Radeon Graphics,1,5220,45127,16
22,AMD Ryzen 7 5700G with Radeon Graphics,4,5196,4977,4
23,AMD Ryzen 7 5700G with Radeon Graphics,8,5189,39933,8
24,AMD Ryzen 7 5700G with Radeon Graphics,6,5189,30255,6
25,AMD Ryzen 7 5700G with Radeon Graphics,1,5183,45152,16
26,AMD Ryzen 7 5700G with Radeon Graphics,1,5183,46554,16
27,AMD Ryzen 7 5700G with Radeon Graphics,1,5183,44187,16
28,AMD Ryzen 7 5700G with Radeon Graphics,1,5182,45298,16
29,AMD Ryzen 7 5700G with Radeon Graphics,1,5181,45131,16
30,AMD Ryzen 7 5700G with Radeon Graphics,4,5181,20141,4
31,AMD Ryzen 7 5700G with Radeon Graphics,1,5177,45214,16
32,AMD Ryzen 7 5700G with Radeon Graphics,1,5177,45114,16
33,AMD Ryzen 7 5700G with Radeon Graphics,1,5175,45573,16
34,AMD Ryzen 7 5700G with Radeon Graphics,4,5174,20204,4
35,AMD Ryzen 7 5700G with Radeon Graphics,1,5174,44863,16
36,AMD Ryzen 7 5700G with Radeon Graphics,16,5171,45954,16
37,AMD Ryzen 7 5700G with Radeon Graphics,1,5171,45209,16
38,AMD Ryzen 7 5700G with Radeon Graphics,1,5169,44814,16
39,AMD Ryzen 7 5700G with Radeon Graphics,16,5169,45860,16
40,AMD Ryzen 7 5700G with Radeon Graphics,16,5167,45119,16
41,AMD Ryzen 7 5700G with Radeon Graphics,1,5167,41999,16
42,AMD Ryzen 7 5700G with Radeon Graphics,16,5166,45582,16
43,AMD Ryzen 7 5700G with Radeon Graphics,1,5157,45361,16
44,AMD Ryzen 7 5700G with Radeon Graphics,4,5147,20148,4
45,AMD Ryzen 7 5700G with Radeon Graphics,2,5143,10135,2
46,AMD Ryzen 7 5700G with Radeon Graphics,16,5136,45399,16
47,AMD Ryzen 7 5700G with Radeon Graphics,1,5119,44373,16
48,AMD Ryzen 7 5700G with Radeon Graphics,4,5112,18125,4
49,AMD Ryzen 7 5700G with Radeon Graphics,2,5110,10028,2
50,AMD Ryzen 7 5700G with Radeon Graphics,1,5105,45588,16
51,AMD Ryzen 7 5700G with Radeon Graphics,2,5099,9917,2
52,AMD Ryzen 7 5700G with Radeon Graphics,1,5096,44947,16
53,AMD Ryzen 7 5700G with Radeon Graphics,8,5091,38750,8
54,AMD Ryzen 7 5700G with Radeon Graphics,2,5078,10174,2
55,AMD Ryzen 7 5700G with Radeon Graphics,2,5075,10118,2
56,AMD Ryzen 7 5700G with Radeon Graphics,1,5072,44959,16
57,AMD Ryzen 7 5700G with Radeon Graphics,1,5070,44282,16
58,AMD Ryzen 7 5700G with Radeon Graphics,8,5066,38725,8
59,AMD Ryzen 7 5700G with Radeon Graphics,1,5065,44725,16
60,AMD Ryzen 7 5700G with Radeon Graphics,1,5065,44443,16
61,AMD Ryzen 7 5700G with Radeon Graphics,1,5062,45900,16
62,AMD Ryzen 7 5700G with Radeon Graphics,1,5061,44533,16
63,AMD Ryzen 7 5700G with Radeon Graphics,1,5060,44969,16
64,AMD Ryzen 7 5700G with Radeon Graphics,1,5060,45365,16
65,AMD Ryzen 7 5700G with Radeon Graphics,1,5060,44533,16
66,AMD Ryzen 7 5700G with Radeon Graphics,1,5058,43276,16
67,AMD Ryzen 7 5700G with Radeon Graphics,1,5052,46225,16
68,AMD Ryzen 7 5700G with Radeon Graphics,1,5051,45002,16
69,AMD Ryzen 7 5700G with Radeon Graphics,1,5049,44522,16
70,AMD Ryzen 7 5700G with Radeon Graphics,1,5045,46483,16
71,AMD Ryzen 7 5700G with Radeon Graphics,1,5044,45241,16
72,AMD Ryzen 7 5700G with Radeon Graphics,1,5044,44716,16
73,AMD Ryzen 7 5700G with Radeon Graphics,1,5040,44737,16
74,AMD Ryzen 7 5700G with Radeon Graphics,1,5038,45544,16
75,AMD Ryzen 7 5700G with Radeon Graphics,1,5038,44776,16
76,AMD Ryzen 7 5700G with Radeon Graphics,1,5038,44784,16
77,AMD Ryzen 7 5700G with Radeon Graphics,1,5038,45461,16
78,AMD Ryzen 7 5700G with Radeon Graphics,1,5037,44330,16
79,AMD Ryzen 7 5700G with Radeon Graphics,1,5037,43664,16
80,AMD Ryzen 7 5700G with Radeon Graphics,1,5036,45565,16
81,AMD Ryzen 7 5700G with Radeon Graphics,1,5034,44373,16
82,AMD Ryzen 7 5700G with Radeon Graphics,1,5032,44998,16
83,AMD Ryzen 7 5700G with Radeon Graphics,1,5030,44291,16
