排名,CPU型号,CPU核心数,单核得分,多核得分,多核线程数
1,AMD Ryzen 7 5700X 8-Core Processor,16,5399,47501,16
2,AMD Ryzen 7 5700X 8-Core Processor,1,5268,47378,16
3,AMD Ryzen 7 5700X 8-Core Processor,1,5247,47154,16
4,AMD Ryzen 7 5700X 8-Core Processor,1,5266,47084,16
5,AMD Ryzen 7 5700X 8-Core Processor,1,5246,47084,16
6,AMD Ryzen 7 5700X 8-Core Processor,1,5302,46374,16
7,AMD Ryzen 7 5700X 8-Core Processor,1,5295,45543,16
8,AMD Ryzen 7 5700X 8-Core Processor,1,5312,45168,16
9,AMD Ryzen 7 5700X 8-Core Processor,1,5255,45152,16
10,AMD Ryzen 7 5700X 8-Core Processor,1,5255,45152,16
11,AMD Ryzen 7 5700X 8-Core Processor,1,5312,45143,16
12,AMD Ryzen 7 5700X 8-Core Processor,8,5062,38143,8
13,AMD Ryzen 7 5700X 8-Core Processor,8,5107,30917,8
14,AMD Ryzen 7 5700X 8-Core Processor,4,5147,19989,4
15,AMD Ryzen 7 5700X 8-Core Processor,4,4915,19125,4
16,AMD Ryzen 7 5700X 8-Core Processor,4,4707,16440,4
17,AMD Ryzen 7 5700X 8-Core Processor,4,3363,12143,4
18,AMD Ryzen 7 5700X 8-Core Processor,2,5225,10464,2
19,AMD Ryzen 7 5700X 8-Core Processor,2,5179,10135,2
20,AMD Ryzen 7 5700X 8-Core Processor,1,5244,5244,1
21,AMD Ryzen 7 5700X 8-Core Processor,1,5237,5237,1
22,AMD Ryzen 7 5700X 8-Core Processor,1,5235,5235,1
23,AMD Ryzen 7 5700X 8-Core Processor,1,5231,5231,1
24,AMD Ryzen 7 5700X 8-Core Processor,1,5228,5228,1
25,AMD Ryzen 7 5700X 8-Core Processor,1,5224,5224,1
26,AMD Ryzen 7 5700X 8-Core Processor,1,5223,5223,1
27,AMD Ryzen 7 5700X 8-Core Processor,1,5222,5222,1
28,AMD Ryzen 7 5700X 8-Core Processor,1,5222,5222,1
29,AMD Ryzen 7 5700X 8-Core Processor,1,5215,5215,1
30,AMD Ryzen 7 5700X 8-Core Processor,1,5202,5202,1
31,AMD Ryzen 7 5700X 8-Core Processor,1,5201,5201,1
32,AMD Ryzen 7 5700X 8-Core Processor,1,5193,5193,1
33,AMD Ryzen 7 5700X 8-Core Processor,1,5185,5185,1
34,AMD Ryzen 7 5700X 8-Core Processor,1,5177,5177,1
35,AMD Ryzen 7 5700X 8-Core Processor,1,5174,5174,1
36,AMD Ryzen 7 5700X 8-Core Processor,1,5174,5174,1
37,AMD Ryzen 7 5700X 8-Core Processor,1,5171,5171,1
38,AMD Ryzen 7 5700X 8-Core Processor,1,5170,5170,1
39,AMD Ryzen 7 5700X 8-Core Processor,1,5169,5169,1
40,AMD Ryzen 7 5700X 8-Core Processor,1,5165,5165,1
41,AMD Ryzen 7 5700X 8-Core Processor,1,5155,5155,1
42,AMD Ryzen 7 5700X 8-Core Processor,1,5150,5150,1
43,AMD Ryzen 7 5700X 8-Core Processor,1,5148,5148,1
44,AMD Ryzen 7 5700X 8-Core Processor,1,5145,5145,1
45,AMD Ryzen 7 5700X 8-Core Processor,1,5142,5142,1
46,AMD Ryzen 7 5700X 8-Core Processor,1,5142,5142,1
47,AMD Ryzen 7 5700X 8-Core Processor,1,5139,5139,1
48,AMD Ryzen 7 5700X 8-Core Processor,1,5132,5132,1
49,AMD Ryzen 7 5700X 8-Core Processor,1,5126,5126,1
50,AMD Ryzen 7 5700X 8-Core Processor,1,5122,5122,1
51,AMD Ryzen 7 5700X 8-Core Processor,1,5120,5120,1
52,AMD Ryzen 7 5700X 8-Core Processor,1,5118,5118,1
53,AMD Ryzen 7 5700X 8-Core Processor,1,5117,5117,1
54,AMD Ryzen 7 5700X 8-Core Processor,1,5116,5116,1
55,AMD Ryzen 7 5700X 8-Core Processor,1,5114,5114,1
56,AMD Ryzen 7 5700X 8-Core Processor,1,5109,5109,1
57,AMD Ryzen 7 5700X 8-Core Processor,1,5109,5109,1
58,AMD Ryzen 7 5700X 8-Core Processor,1,5104,5104,1
59,AMD Ryzen 7 5700X 8-Core Processor,1,5104,5104,1
60,AMD Ryzen 7 5700X 8-Core Processor,1,5097,5097,1
61,AMD Ryzen 7 5700X 8-Core Processor,1,5092,5092,1
62,AMD Ryzen 7 5700X 8-Core Processor,1,5089,5089,1
63,AMD Ryzen 7 5700X 8-Core Processor,1,5089,5089,1
64,AMD Ryzen 7 5700X 8-Core Processor,1,5081,5081,1
65,AMD Ryzen 7 5700X 8-Core Processor,1,5077,5077,1
66,AMD Ryzen 7 5700X 8-Core Processor,1,5075,5075,1
67,AMD Ryzen 7 5700X 8-Core Processor,1,5065,5065,1
68,AMD Ryzen 7 5700X 8-Core Processor @ 3393.618 MHz,1,5064,5064,1
69,AMD Ryzen 7 5700X 8-Core Processor,1,5056,5056,1
70,AMD Ryzen 7 5700X 8-Core Processor,1,5021,5021,1
71,AMD Ryzen 7 5700X 8-Core Processor,1,5012,5012,1
72,AMD Ryzen 7 5700X 8-Core Processor,1,4985,4985,1
73,AMD Ryzen 7 5700X 8-Core Processor,1,4973,4973,1
74,AMD Ryzen 7 5700X 8-Core Processor,1,4965,4965,1
75,AMD Ryzen 7 5700X 8-Core Processor,1,4957,4957,1
76,AMD Ryzen 7 5700X 8-Core Processor,1,4943,4943,1
77,AMD Ryzen 7 5700X 8-Core Processor,1,4934,4934,1
78,AMD Ryzen 7 5700X 8-Core Processor,1,4929,4929,1
79,AMD Ryzen 7 5700X 8-Core Processor @ 3393.618 MHz,1,4884,4884,1
80,AMD Ryzen 7 5700X 8-Core Processor,1,4782,4782,1
81,AMD Ryzen 7 5700X 8-Core Processor,1,4189,4189,1
