排名,CPU型号,CPU核心数,单核得分,多核得分,多核线程数
1,AMD Ryzen 7 5825U with Radeon Graphics,1,5121,34920,16
2,AMD Ryzen 7 5825U with Radeon Graphics,8,5099,33725,8
3,AMD Ryzen 7 5825U with Radeon Graphics @ 3709.790 MHz,4,5094,11348,4
4,AMD Ryzen 7 5825U with Radeon Graphics @ 1996.240 MHz,4,5074,19707,4
5,AMD Ryzen 7 5825U with Radeon Graphics,2,5046,10016,2
6,AMD Ryzen 7 5825U with Radeon Graphics,8,5023,21720,8
7,AMD Ryzen 7 5825U with Radeon Graphics @ 1996.249 MHz,8,5011,34924,8
8,AMD Ryzen 7 5825U with Radeon Graphics,1,4928,35073,16
9,AMD Ryzen 7 5825U with Radeon Graphics,4,4928,15819,4
10,AMD Ryzen 7 5825U with Radeon Graphics @4541.142 MHz,16,4918,38960,16
11,AMD Ryzen 7 5825U with Radeon Graphics,1,4901,40907,16
12,AMD Ryzen 7 5825U with Radeon Graphics,1,4897,36528,16
13,AMD Ryzen 7 5825U with Radeon Graphics,1,4877,26241,16
14,AMD Ryzen 7 5825U with Radeon Graphics,16,4862,14952,16
15,AMD Ryzen 7 5825U with Radeon Graphics,1,4860,37100,16
16,AMD Ryzen 7 5825U with Radeon Graphics,4,4851,18639,4
17,AMD Ryzen 7 5825U with Radeon Graphics @1995.753 MHz,16,4765,27285,16
18,AMD Ryzen 7 5825U with Radeon Graphics,1,4690,26408,16
19,AMD Ryzen 7 5825U with Radeon Graphics,1,4287,22027,16
