排名,CPU型号,CPU核心数,单核得分,多核得分,多核线程数
1,AMD Ryzen 7 7840HS w/ Radeon 780M Graphics,1,6257,46824,16
2,AMD Ryzen 7 7840HS w/ Radeon 780M Graphics,1,6245,50088,16
3,AMD Ryzen 7 7840HS w/ Radeon 780M Graphics,1,6133,50436,16
4,AMD Ryzen 7 7840HS w/ Radeon 780M Graphics,8,6121,46057,8
5,AMD Ryzen 7 7840HS w/ Radeon 780M Graphics,1,6119,49861,16
6,AMD Ryzen 7 7840HS w/ Radeon 780M Graphics,8,6091,46149,8
7,AMD Ryzen 7 7840HS w/ Radeon 780M Graphics @3754.823 MHz,16,6077,49601,16
8,AMD Ryzen 7 7840HS w/ Radeon 780M Graphics,1,6041,49144,16
9,AMD Ryzen 7 7840HS w/ Radeon 780M Graphics,1,5983,49912,16
10,AMD Ryzen 7 7840HS w/ Radeon 780M Graphics,16,5962,11665,16
11,AMD Ryzen 7 7840HS w/ Radeon 780M Graphics,2,5937,11737,2
12,AMD Ryzen 7 7840HS w/ Radeon 780M Graphics,16,5906,47416,16
13,AMD Ryzen 7 7840HS w/ Radeon 780M Graphics,16,5903,50004,16
14,AMD Ryzen 7 7840HS w/ Radeon 780M Graphics,2,5863,11416,2
15,AMD Ryzen 7 7840HS w/ Radeon 780M Graphics,2,5827,11442,2
16,AMD Ryzen 7 7840HS w/ Radeon 780M Graphics,1,5815,5815,1
17,AMD Ryzen 7 7840HS w/ Radeon 780M Graphics,8,5814,43775,8
18,AMD Ryzen 7 7840HS w/ Radeon 780M Graphics,16,5791,47709,16
19,AMD Ryzen 7 7840HS w/ Radeon 780M Graphics,1,5784,5784,1
20,AMD Ryzen 7 7840HS w/ Radeon 780M Graphics,2,5728,11330,2
21,AMD Ryzen 7 7840HS w/ Radeon 780M Graphics,1,5699,5699,1
22,AMD Ryzen 7 7840HS w/ Radeon 780M Graphics @ 1098.000 MHz,16,5632,45829,16
23,AMD Ryzen 7 7840HS w/ Radeon 780M Graphics,1,5622,5622,1
24,AMD Ryzen 7 7840HS w/ Radeon 780M Graphics,1,5609,5616,8
25,AMD Ryzen 7 7840HS w/ Radeon 780M Graphics,1,5593,5593,1
26,AMD Ryzen 7 7840HS w/ Radeon 780M Graphics,1,5592,46308,16
27,AMD Ryzen 7 7840HS w/ Radeon 780M Graphics,2,5587,11250,2
28,AMD Ryzen 7 7840HS w/ Radeon 780M Graphics,1,5584,46420,16
29,AMD Ryzen 7 7840HS w/ Radeon 780M Graphics,1,5571,48007,16
30,AMD Ryzen 7 7840HS w/ Radeon 780M Graphics,1,5566,5566,1
31,AMD Ryzen 7 7840HS w/ Radeon 780M Graphics,1,5512,5512,1
32,AMD Ryzen 7 7840HS w/ Radeon 780M Graphics,1,5509,5509,1
33,AMD Ryzen 7 7840HS w/ Radeon 780M Graphics,8,5440,35599,8
34,AMD Ryzen 7 7840HS w/ Radeon 780M Graphics,1,5414,5414,1
35,AMD Ryzen 7 7840HS w/ Radeon 780M Graphics @ 3792.848 MHz,1,5411,5411,1
36,AMD Ryzen 7 7840HS w/ Radeon 780M Graphics,2,5405,10728,2
37,AMD Ryzen 7 7840HS w/ Radeon 780M Graphics,1,5402,5402,1
38,AMD Ryzen 7 7840HS w/ Radeon 780M Graphics,1,5365,38725,16
39,AMD Ryzen 7 7840HS w/ Radeon 780M Graphics,1,5362,38983,16
40,AMD Ryzen 7 7840HS w/ Radeon 780M Graphics @ 3792.872 MHz,1,5357,5357,1
41,AMD Ryzen 7 7840HS w/ Radeon 780M Graphics,1,5322,5322,1
42,AMD Ryzen 7 7840HS w/ Radeon 780M Graphics,1,5320,5320,1
43,AMD Ryzen 7 7840HS w/ Radeon 780M Graphics @ 3792.834 MHz,1,5320,5320,1
44,AMD Ryzen 7 7840HS w/ Radeon 780M Graphics @ 3792.834 MHz,1,5318,5318,1
45,AMD Ryzen 7 7840HS w/ Radeon 780M Graphics @ 3792.834 MHz,1,5317,5317,1
46,AMD Ryzen 7 7840HS w/ Radeon 780M Graphics,4,5314,18054,4
47,AMD Ryzen 7 7840HS w/ Radeon 780M Graphics @ 3792.870 MHz,1,5313,5313,1
48,AMD Ryzen 7 7840HS w/ Radeon 780M Graphics,1,5303,5303,1
