排名,CPU型号,CPU核心数,单核得分,多核得分,多核线程数
1,AMD Ryzen 7 8700G w/ Radeon 780M Graphics,1,6316,51493,16
2,AMD Ryzen 7 8700G w/ Radeon 780M Graphics,16,6316,50661,16
3,AMD Ryzen 7 8700G w/ Radeon 780M Graphics,1,5802,47593,16
4,AMD Ryzen 7 8700G w/ Radeon 780M Graphics,16,5967,47515,16
5,AMD Ryzen 7 8700G w/ Radeon 780M Graphics,1,5612,46205,16
6,AMD Ryzen 7 8700G w/ Radeon 780M Graphics,1,5682,46152,16
7,AMD Ryzen 7 8700G w/ Radeon 780M Graphics,1,5643,46118,16
8,AMD Ryzen 7 8700G w/ Radeon 780M Graphics,4,6246,24378,4
9,AMD Ryzen 7 8700G w/ Radeon 780M Graphics,4,5818,23130,4
10,AMD Ryzen 7 8700G w/ Radeon 780M Graphics,1,5144,5144,1
