排名,CPU型号,CPU核心数,单核得分,多核得分,多核线程数
1,AMD Ryzen 7 8845HS w/ Radeon 780M Graphics,16,5585,51890,16
2,AMD Ryzen 7 8845HS w/ Radeon 780M Graphics,1,6096,51114,16
3,AMD Ryzen 7 8845HS w/ Radeon 780M Graphics,8,6286,48491,8
4,AMD Ryzen 7 8845HS w/ Radeon 780M Graphics,8,6262,48306,8
5,AMD Ryzen 7 8845HS w/ Radeon 780M Graphics,16,3737,32278,16
6,AMD Ryzen 7 8845HS w/ Radeon 780M Graphics,4,6113,23901,4
7,AMD Ryzen 7 8845HS w/ Radeon 780M Graphics,4,5853,22331,4
8,AMD Ryzen 7 8845HS w/ Radeon 780M Graphics,2,6024,11971,2
9,AMD Ryzen 7 8845HS w/ Radeon 780M Graphics,2,5788,11572,2
10,AMD Ryzen 7 8845HS w/ Radeon 780M Graphics,2,5709,11224,2
11,AMD Ryzen 7 8845HS w/ Radeon 780M Graphics,2,5715,11217,2
