排名,CPU型号,CPU核心数,单核得分,多核得分,多核线程数
1,AMD Ryzen 7 PRO 3700 8-Core Processor,1,2162,17806,16
2,AMD Ryzen 7 PRO 3700 8-Core Processor,1,2152,2152,1
3,AMD Ryzen 7 PRO 3700 8-Core Processor,1,2148,2148,1
4,AMD Ryzen 7 PRO 3700 8-Core Processor,1,2147,2147,1
5,AMD Ryzen 7 PRO 3700 8-Core Processor,1,2142,2142,1
6,AMD Ryzen 7 PRO 3700 8-Core Processor,1,2140,2140,1
7,AMD Ryzen 7 PRO 3700 8-Core Processor,1,2140,2140,1
8,AMD Ryzen 7 PRO 3700 8-Core Processor,1,2133,2133,1
9,AMD Ryzen 7 PRO 3700 8-Core Processor,1,2133,2133,1
10,AMD Ryzen 7 PRO 3700 8-Core Processor,1,2130,2130,1
11,AMD Ryzen 7 PRO 3700 8-Core Processor,1,2109,2109,1
