排名,CPU型号,CPU核心数,单核得分,多核得分,多核线程数
1,AMD Ryzen 7 PRO 8700GE w/ Radeon 780M Graphics,1,6331,49287,16
2,AMD Ryzen 7 PRO 8700GE w/ Radeon 780M Graphics,1,6331,47582,16
3,AMD Ryzen 7 PRO 8700GE w/ Radeon 780M Graphics,1,6291,49293,16
4,AMD Ryzen 7 PRO 8700GE w/ Radeon 780M Graphics,1,6262,48587,16
5,AMD Ryzen 7 PRO 8700GE w/ Radeon 780M Graphics,16,6236,48992,16
6,AMD Ryzen 7 PRO 8700GE w/ Radeon 780M Graphics,1,6201,48960,16
7,AMD Ryzen 7 PRO 8700GE w/ Radeon 780M Graphics,1,6198,49602,16
8,AMD Ryzen 7 PRO 8700GE w/ Radeon 780M Graphics,1,6183,50729,16
9,AMD Ryzen 7 PRO 8700GE w/ Radeon 780M Graphics,1,6181,48789,16
10,AMD Ryzen 7 PRO 8700GE w/ Radeon 780M Graphics,1,6181,49706,16
11,AMD Ryzen 7 PRO 8700GE w/ Radeon 780M Graphics,1,6175,50857,16
12,AMD Ryzen 7 PRO 8700GE w/ Radeon 780M Graphics,1,6175,49721,16
13,AMD Ryzen 7 PRO 8700GE w/ Radeon 780M Graphics,1,6170,48219,16
14,AMD Ryzen 7 PRO 8700GE w/ Radeon 780M Graphics,1,6170,49024,16
15,AMD Ryzen 7 PRO 8700GE w/ Radeon 780M Graphics,1,6164,47866,16
16,AMD Ryzen 7 PRO 8700GE w/ Radeon 780M Graphics,1,6160,46962,16
17,AMD Ryzen 7 PRO 8700GE w/ Radeon 780M Graphics,1,6147,49118,16
18,AMD Ryzen 7 PRO 8700GE w/ Radeon 780M Graphics,1,6129,48222,16
19,AMD Ryzen 7 PRO 8700GE w/ Radeon 780M Graphics,1,6126,48999,16
20,AMD Ryzen 7 PRO 8700GE w/ Radeon 780M Graphics,1,6125,48840,16
21,AMD Ryzen 7 PRO 8700GE w/ Radeon 780M Graphics,1,6118,49192,16
22,AMD Ryzen 7 PRO 8700GE w/ Radeon 780M Graphics,1,6110,47072,16
23,AMD Ryzen 7 PRO 8700GE w/ Radeon 780M Graphics,1,6070,46426,16
24,AMD Ryzen 7 PRO 8700GE w/ Radeon 780M Graphics,1,6061,46386,16
25,AMD Ryzen 7 PRO 8700GE w/ Radeon 780M Graphics,1,6045,45312,16
26,AMD Ryzen 7 PRO 8700GE w/ Radeon 780M Graphics,1,6041,46315,16
27,AMD Ryzen 7 PRO 8700GE w/ Radeon 780M Graphics,1,6038,45528,16
28,AMD Ryzen 7 PRO 8700GE w/ Radeon 780M Graphics,1,5881,43520,16
29,AMD Ryzen 7 PRO 8700GE w/ Radeon 780M Graphics,1,5635,42535,16
