排名,CPU型号,CPU核心数,单核得分,多核得分,多核线程数
1,AMD Ryzen 9 3900 12-Core Processor,1,2147,26177,24
2,AMD Ryzen 9 3900 12-Core Processor,1,2154,26155,24
3,AMD Ryzen 9 3900 12-Core Processor,1,2127,26106,24
4,AMD Ryzen 9 3900 12-Core Processor,1,2138,26008,24
5,AMD Ryzen 9 3900 12-Core Processor,1,1830,25889,24
6,AMD Ryzen 9 3900 12-Core Processor,1,2162,25776,24
7,AMD Ryzen 9 3900 12-Core Processor,1,2081,25373,24
8,AMD Ryzen 9 3900 12-Core Processor,1,2104,25368,24
9,AMD Ryzen 9 3900 12-Core Processor,1,2095,25238,24
10,AMD Ryzen 9 3900 12-Core Processor,1,2051,25124,24
11,AMD Ryzen 9 3900 12-Core Processor,1,2071,25100,24
12,AMD Ryzen 9 3900 12-Core Processor,6,2145,12536,6
13,AMD Ryzen 9 3900 12-Core Processor,6,2150,12458,6
14,AMD Ryzen 9 3900 12-Core Processor,6,2050,12006,6
15,AMD Ryzen 9 3900 12-Core Processor,6,1998,11799,6
16,AMD Ryzen 9 3900 12-Core Processor,6,1985,10975,6
17,AMD Ryzen 9 3900 12-Core Processor,4,2151,8542,12
18,AMD Ryzen 9 3900 12-Core Processor,4,2116,8328,4
19,AMD Ryzen 9 3900 12-Core Processor,4,2104,8293,4
20,AMD Ryzen 9 3900 12-Core Processor,4,2093,8273,4
21,AMD Ryzen 9 3900 12-Core Processor,4,2100,8226,4
22,AMD Ryzen 9 3900 12-Core Processor,4,2081,8214,4
23,AMD Ryzen 9 3900 12-Core Processor,4,2089,8204,4
24,AMD Ryzen 9 3900 12-Core Processor,4,2084,8195,4
25,AMD Ryzen 9 3900 12-Core Processor,4,2086,8193,4
26,AMD Ryzen 9 3900 12-Core Processor,4,2087,8173,4
27,AMD Ryzen 9 3900 12-Core Processor,4,2087,8166,4
28,AMD Ryzen 9 3900 12-Core Processor,4,2081,8163,4
29,AMD Ryzen 9 3900 12-Core Processor,4,2083,8159,4
30,AMD Ryzen 9 3900 12-Core Processor,4,2030,8149,4
31,AMD Ryzen 9 3900 12-Core Processor,4,2090,8136,4
32,AMD Ryzen 9 3900 12-Core Processor,4,2068,8098,4
33,AMD Ryzen 9 3900 12-Core Processor,4,2040,8096,4
34,AMD Ryzen 9 3900 12-Core Processor,4,1996,8088,4
35,AMD Ryzen 9 3900 12-Core Processor,4,2059,8087,4
36,AMD Ryzen 9 3900 12-Core Processor,4,2074,8058,4
37,AMD Ryzen 9 3900 12-Core Processor,4,2068,8030,4
38,AMD Ryzen 9 3900 12-Core Processor,4,2051,7997,4
39,AMD Ryzen 9 3900 12-Core Processor,4,2057,7991,4
40,AMD Ryzen 9 3900 12-Core Processor,4,1993,7923,4
41,AMD Ryzen 9 3900 12-Core Processor,4,2012,7922,4
42,AMD Ryzen 9 3900 12-Core Processor,4,2001,7868,4
43,AMD Ryzen 9 3900 12-Core Processor,4,2047,7858,4
44,AMD Ryzen 9 3900 12-Core Processor,4,2030,7844,4
45,AMD Ryzen 9 3900 12-Core Processor,4,2001,7825,4
46,AMD Ryzen 9 3900 12-Core Processor,4,2071,7802,4
47,AMD Ryzen 9 3900 12-Core Processor,4,2018,7796,4
48,AMD Ryzen 9 3900 12-Core Processor,4,1972,7762,4
49,AMD Ryzen 9 3900 12-Core Processor,4,2019,7751,4
50,AMD Ryzen 9 3900 12-Core Processor,4,1984,7722,4
51,AMD Ryzen 9 3900 12-Core Processor,4,1988,7717,4
52,AMD Ryzen 9 3900 12-Core Processor,4,1969,7636,4
53,AMD Ryzen 9 3900 12-Core Processor,4,1975,7629,4
54,AMD Ryzen 9 3900 12-Core Processor,4,1960,7621,4
55,AMD Ryzen 9 3900 12-Core Processor,4,1983,7578,4
56,AMD Ryzen 9 3900 12-Core Processor,4,1929,7513,4
57,AMD Ryzen 9 3900 12-Core Processor,4,1948,7306,4
58,AMD Ryzen 9 3900 12-Core Processor,3,2142,6283,3
59,AMD Ryzen 9 3900 12-Core Processor,3,2070,6148,3
60,AMD Ryzen 9 3900 12-Core Processor,4,1974,6086,4
61,AMD Ryzen 9 3900 12-Core Processor,4,1875,5915,4
62,AMD Ryzen 9 3900 12-Core Processor,3,1878,5728,3
63,AMD Ryzen 9 3900 12-Core Processor,6,1887,4871,6
64,AMD Ryzen 9 3900 12-Core Processor,2,2155,4279,2
65,AMD Ryzen 9 3900 12-Core Processor,2,2167,4277,2
66,AMD Ryzen 9 3900 12-Core Processor,2,2157,4260,2
67,AMD Ryzen 9 3900 12-Core Processor,2,2119,4231,2
68,AMD Ryzen 9 3900 12-Core Processor,4,1489,4219,4
69,AMD Ryzen 9 3900 12-Core Processor,2,2126,4215,2
70,AMD Ryzen 9 3900 12-Core Processor,2,2119,4210,2
71,AMD Ryzen 9 3900 12-Core Processor,2,2133,4199,2
72,AMD Ryzen 9 3900 12-Core Processor,2,2119,4199,2
73,AMD Ryzen 9 3900 12-Core Processor,2,2094,4158,2
74,AMD Ryzen 9 3900 12-Core Processor,2,2103,4145,2
75,AMD Ryzen 9 3900 12-Core Processor,2,2106,4139,2
76,AMD Ryzen 9 3900 12-Core Processor,2,2089,4136,2
77,AMD Ryzen 9 3900 12-Core Processor,2,2032,4114,2
78,AMD Ryzen 9 3900 12-Core Processor,2,2052,4102,2
79,AMD Ryzen 9 3900 12-Core Processor,2,2048,4081,2
80,AMD Ryzen 9 3900 12-Core Processor,2,2029,4048,2
81,AMD Ryzen 9 3900 12-Core Processor,2,2037,4039,2
82,AMD Ryzen 9 3900 12-Core Processor,2,2021,4011,2
83,AMD Ryzen 9 3900 12-Core Processor,2,2025,4007,2
84,AMD Ryzen 9 3900 12-Core Processor,2,2014,4001,2
85,AMD Ryzen 9 3900 12-Core Processor,2,2050,4001,2
86,AMD Ryzen 9 3900 12-Core Processor,2,2010,3983,2
87,AMD Ryzen 9 3900 12-Core Processor,2,2023,3974,2
88,AMD Ryzen 9 3900 12-Core Processor,2,1987,3966,2
89,AMD Ryzen 9 3900 12-Core Processor,2,1997,3964,2
90,AMD Ryzen 9 3900 12-Core Processor,2,1991,3931,2
91,AMD Ryzen 9 3900 12-Core Processor,2,2016,3906,2
92,AMD Ryzen 9 3900 12-Core Processor,2,1986,3900,2
93,AMD Ryzen 9 3900 12-Core Processor,2,1986,3862,2
94,AMD Ryzen 9 3900 12-Core Processor,2,1922,3860,2
95,AMD Ryzen 9 3900 12-Core Processor,2,1995,3827,2
96,AMD Ryzen 9 3900 12-Core Processor,4,1870,3800,4
97,AMD Ryzen 9 3900 12-Core Processor,4,1525,3793,4
98,AMD Ryzen 9 3900 12-Core Processor,4,930,3748,4
99,AMD Ryzen 9 3900 12-Core Processor,2,1902,3707,2
100,AMD Ryzen 9 3900 12-Core Processor,2,1961,3685,2
101,AMD Ryzen 9 3900 12-Core Processor,2,1862,3607,2
102,AMD Ryzen 9 3900 12-Core Processor,2,1901,3477,2
103,AMD Ryzen 9 3900 12-Core Processor,2,1956,3306,2
104,AMD Ryzen 9 3900 12-Core Processor,1,2125,2128,12
105,AMD Ryzen 9 3900 12-Core Processor,1,2126,2123,12
106,AMD Ryzen 9 3900 12-Core Processor,1,2130,2117,12
107,AMD Ryzen 9 3900 12-Core Processor,1,2095,2096,12
108,AMD Ryzen 9 3900 12-Core Processor,1,2107,2093,12
109,AMD Ryzen 9 3900 12-Core Processor,1,2093,2092,12
110,AMD Ryzen 9 3900 12-Core Processor,1,2089,2090,12
111,AMD Ryzen 9 3900 12-Core Processor,1,2076,2070,12
112,AMD Ryzen 9 3900 12-Core Processor,24,2024,2064,24
113,AMD Ryzen 9 3900 12-Core Processor,24,2032,2052,24
114,AMD Ryzen 9 3900 12-Core Processor,24,2028,2049,24
115,AMD Ryzen 9 3900 12-Core Processor,24,2006,2048,24
116,AMD Ryzen 9 3900 12-Core Processor,1,1943,2048,12
117,AMD Ryzen 9 3900 12-Core Processor,24,2029,2047,24
118,AMD Ryzen 9 3900 12-Core Processor,1,2016,2045,12
119,AMD Ryzen 9 3900 12-Core Processor,24,2029,2034,24
120,AMD Ryzen 9 3900 12-Core Processor,1,2109,2031,12
121,AMD Ryzen 9 3900 12-Core Processor,24,2051,2015,24
122,AMD Ryzen 9 3900 12-Core Processor,1,2002,2010,12
123,AMD Ryzen 9 3900 12-Core Processor,24,1847,2002,24
124,AMD Ryzen 9 3900 12-Core Processor,24,1993,2001,24
125,AMD Ryzen 9 3900 12-Core Processor,1,1992,1993,12
126,AMD Ryzen 9 3900 12-Core Processor,24,1991,1992,24
127,AMD Ryzen 9 3900 12-Core Processor,24,1959,1990,24
128,AMD Ryzen 9 3900 12-Core Processor,1,1960,1966,12
129,AMD Ryzen 9 3900 12-Core Processor,24,2021,1913,24
130,AMD Ryzen 9 3900 12-Core Processor,24,2019,1906,24
131,AMD Ryzen 9 3900 12-Core Processor,4,1163,1644,4
132,AMD Ryzen 9 3900 12-Core Processor,4,883,1635,4
133,AMD Ryzen 9 3900 12-Core Processor,24,1254,796,24
134,AMD Ryzen 9 3900 12-Core Processor,24,627,623,24
135,AMD Ryzen 9 3900 12-Core Processor,24,609,612,24
136,AMD Ryzen 9 3900 12-Core Processor,4,688,585,4
137,AMD Ryzen 9 3900 12-Core Processor,4,663,581,4
138,AMD Ryzen 9 3900 12-Core Processor,4,502,562,4
139,AMD Ryzen 9 3900 12-Core Processor,4,487,512,4
140,AMD Ryzen 9 3900 12-Core Processor,6,633,499,6
141,AMD Ryzen 9 3900 12-Core Processor,4,494,443,4
