排名,CPU型号,CPU核心数,单核得分,多核得分,多核线程数
1,AMD Ryzen 9 5900X 12-Core Processor,1,5598,5598,1
2,AMD Ryzen 9 5900X 12-Core Processor,24,5595,69095,24
3,AMD Ryzen 9 5900X 12-Core Processor,1,5523,5523,1
4,AMD Ryzen 9 5900X 12-Core Processor,1,5495,5495,1
5,AMD Ryzen 9 5900X 12-Core Processor,1,5492,69731,24
6,AMD Ryzen 9 5900X 12-Core Processor,1,5460,5460,1
7,AMD Ryzen 9 5900X 12-Core Processor,5,5439,26035,5
8,AMD Ryzen 9 5900X 12-Core Processor,1,5417,69263,24
9,AMD Ryzen 9 5900X 12-Core Processor,1,5397,5397,1
10,AMD Ryzen 9 5900X 12-Core Processor,1,5383,5383,1
11,AMD Ryzen 9 5900X 12-Core Processor,5,5373,26086,5
12,AMD Ryzen 9 5900X 12-Core Processor,24,5364,67173,24
13,AMD Ryzen 9 5900X 12-Core Processor,1,5359,5359,1
14,AMD Ryzen 9 5900X 12-Core Processor,1,5355,65144,24
15,AMD Ryzen 9 5900X 12-Core Processor,1,5347,5347,1
16,AMD Ryzen 9 5900X 12-Core Processor,1,5345,64882,24
17,AMD Ryzen 9 5900X 12-Core Processor,1,5336,5336,1
18,AMD Ryzen 9 5900X 12-Core Processor,1,5333,5333,1
19,AMD Ryzen 9 5900X 12-Core Processor,1,5332,5332,1
20,AMD Ryzen 9 5900X 12-Core Processor,1,5327,5327,1
21,AMD Ryzen 9 5900X 12-Core Processor,1,5326,5326,1
22,AMD Ryzen 9 5900X 12-Core Processor,1,5325,5325,1
23,AMD Ryzen 9 5900X 12-Core Processor,1,5323,5323,1
24,AMD Ryzen 9 5900X 12-Core Processor,1,5314,5314,1
25,AMD Ryzen 9 5900X 12-Core Processor,8,5313,41246,8
26,AMD Ryzen 9 5900X 12-Core Processor,1,5309,67911,24
27,AMD Ryzen 9 5900X 12-Core Processor,1,5305,5305,1
28,AMD Ryzen 9 5900X 12-Core Processor,1,5302,65219,24
29,AMD Ryzen 9 5900X 12-Core Processor,24,5299,66434,24
30,AMD Ryzen 9 5900X 12-Core Processor,1,5293,5309,12
31,AMD Ryzen 9 5900X 12-Core Processor,1,5279,5279,1
32,AMD Ryzen 9 5900X 12-Core Processor,2,5277,10400,2
33,AMD Ryzen 9 5900X 12-Core Processor,1,5271,5271,1
34,AMD Ryzen 9 5900X 12-Core Processor,1,5270,5270,1
35,AMD Ryzen 9 5900X 12-Core Processor,1,5266,5266,1
36,AMD Ryzen 9 5900X 12-Core Processor,1,5262,68600,24
37,AMD Ryzen 9 5900X 12-Core Processor,2,5261,10504,2
38,AMD Ryzen 9 5900X 12-Core Processor,1,5258,68517,24
39,AMD Ryzen 9 5900X 12-Core Processor @3693.062 MHz,2,5257,10324,2
40,AMD Ryzen 9 5900X 12-Core Processor @3693.062 MHz,2,5254,10435,2
41,AMD Ryzen 9 5900X 12-Core Processor,1,5251,5251,1
42,AMD Ryzen 9 5900X 12-Core Processor,1,5249,5249,1
43,AMD Ryzen 9 5900X 12-Core Processor,3,5249,15158,3
44,AMD Ryzen 9 5900X 12-Core Processor,2,5244,10491,2
45,AMD Ryzen 9 5900X 12-Core Processor,1,5238,5238,1
46,AMD Ryzen 9 5900X 12-Core Processor,2,5237,9101,2
47,AMD Ryzen 9 5900X 12-Core Processor,2,5233,10223,2
48,AMD Ryzen 9 5900X 12-Core Processor,1,5228,5228,1
49,AMD Ryzen 9 5900X 12-Core Processor,8,5225,40541,8
50,AMD Ryzen 9 5900X 12-Core Processor,4,5223,20640,4
51,AMD Ryzen 9 5900X 12-Core Processor,1,5222,5222,1
52,AMD Ryzen 9 5900X 12-Core Processor,1,5221,5221,1
53,AMD Ryzen 9 5900X 12-Core Processor,2,5218,10469,2
54,AMD Ryzen 9 5900X 12-Core Processor @ 3693.060 MHz,1,5207,5207,1
55,AMD Ryzen 9 5900X 12-Core Processor,1,5185,5185,1
56,AMD Ryzen 9 5900X 12-Core Processor,1,5184,5184,1
57,AMD Ryzen 9 5900X 12-Core Processor,1,5183,5183,1
58,AMD Ryzen 9 5900X 12-Core Processor,1,5180,5180,1
59,AMD Ryzen 9 5900X 12-Core Processor,2,5179,10246,2
60,AMD Ryzen 9 5900X 12-Core Processor,1,5176,5176,1
61,AMD Ryzen 9 5900X 12-Core Processor,1,5175,5175,1
62,AMD Ryzen 9 5900X 12-Core Processor,2,5173,10303,2
63,AMD Ryzen 9 5900X 12-Core Processor,1,5164,5164,1
64,AMD Ryzen 9 5900X 12-Core Processor @ 3693.060 MHz,3,5163,15147,3
65,AMD Ryzen 9 5900X 12-Core Processor,8,5162,40404,8
66,AMD Ryzen 9 5900X 12-Core Processor,1,5159,5159,1
67,AMD Ryzen 9 5900X 12-Core Processor,1,5159,5159,1
68,AMD Ryzen 9 5900X 12-Core Processor,1,5157,5157,1
69,AMD Ryzen 9 5900X 12-Core Processor,2,5152,10152,2
70,AMD Ryzen 9 5900X 12-Core Processor,1,5147,5147,1
71,AMD Ryzen 9 5900X 12-Core Processor,1,5146,5146,1
72,AMD Ryzen 9 5900X 12-Core Processor,1,5142,5142,1
73,AMD Ryzen 9 5900X 12-Core Processor,2,5141,10102,2
74,AMD Ryzen 9 5900X 12-Core Processor,1,5140,5140,1
75,AMD Ryzen 9 5900X 12-Core Processor,3,5139,13624,3
76,AMD Ryzen 9 5900X 12-Core Processor,1,5139,5139,1
77,AMD Ryzen 9 5900X 12-Core Processor,1,5138,5138,1
78,AMD Ryzen 9 5900X 12-Core Processor,4,5137,20811,4
79,AMD Ryzen 9 5900X 12-Core Processor,2,5135,10271,2
80,AMD Ryzen 9 5900X 12-Core Processor,1,5135,5135,1
81,AMD Ryzen 9 5900X 12-Core Processor,1,5131,63308,24
82,AMD Ryzen 9 5900X 12-Core Processor,1,5131,5131,1
83,AMD Ryzen 9 5900X 12-Core Processor,2,5126,10185,2
84,AMD Ryzen 9 5900X 12-Core Processor,2,5126,10100,2
85,AMD Ryzen 9 5900X 12-Core Processor,2,5125,10390,2
86,AMD Ryzen 9 5900X 12-Core Processor,1,5122,5122,1
87,AMD Ryzen 9 5900X 12-Core Processor,1,5120,5120,1
88,AMD Ryzen 9 5900X 12-Core Processor,1,5118,5118,1
89,AMD Ryzen 9 5900X 12-Core Processor,2,5117,10096,2
90,AMD Ryzen 9 5900X 12-Core Processor,1,5117,5117,1
91,AMD Ryzen 9 5900X 12-Core Processor,2,5116,9565,2
92,AMD Ryzen 9 5900X 12-Core Processor,24,5112,67758,24
93,AMD Ryzen 9 5900X 12-Core Processor,3,5112,14525,3
94,AMD Ryzen 9 5900X 12-Core Processor,1,5111,5111,1
95,AMD Ryzen 9 5900X 12-Core Processor,3,5106,15013,3
96,AMD Ryzen 9 5900X 12-Core Processor @ 3693.058 MHz,2,5105,10157,2
97,AMD Ryzen 9 5900X 12-Core Processor,3,5101,14847,3
98,AMD Ryzen 9 5900X 12-Core Processor,1,5099,5099,1
99,AMD Ryzen 9 5900X 12-Core Processor,2,5099,10072,2
100,AMD Ryzen 9 5900X 12-Core Processor,1,5097,5097,1
101,AMD Ryzen 9 5900X 12-Core Processor,1,5097,5097,1
102,AMD Ryzen 9 5900X 12-Core Processor,2,5093,10085,2
103,AMD Ryzen 9 5900X 12-Core Processor @3693.060 MHz,1,5090,5090,1
104,AMD Ryzen 9 5900X 12-Core Processor,3,5089,15011,3
105,AMD Ryzen 9 5900X 12-Core Processor,24,5089,67871,24
106,AMD Ryzen 9 5900X 12-Core Processor,1,5089,5089,1
107,AMD Ryzen 9 5900X 12-Core Processor,1,5082,5082,1
108,AMD Ryzen 9 5900X 12-Core Processor,1,5082,5082,1
109,AMD Ryzen 9 5900X 12-Core Processor,2,5081,10020,2
