排名,CPU型号,CPU核心数,单核得分,多核得分,多核线程数
1,AMD Ryzen 9 6900HX with Radeon Graphics,16,5439,46314,16
2,AMD Ryzen 9 6900HX with Radeon Graphics,16,5401,46242,16
3,AMD Ryzen 9 6900HX with Radeon Graphics @400.000 MHz,16,5503,46222,16
4,AMD Ryzen 9 6900HX with Radeon Graphics,1,5573,45976,16
5,AMD Ryzen 9 6900HX with Radeon Graphics @ 3293.810 MHz,8,5472,40502,8
6,AMD Ryzen 9 6900HX with Radeon Graphics @3293.810 MHz,8,5338,39952,8
7,AMD Ryzen 9 6900HX with Radeon Graphics,8,5006,30714,8
8,AMD Ryzen 9 6900HX with Radeon Graphics,8,4896,30237,8
9,AMD Ryzen 9 6900HX with Radeon Graphics,8,4955,29021,8
10,AMD Ryzen 9 6900HX with Radeon Graphics,8,4898,28748,8
11,AMD Ryzen 9 6900HX with Radeon Graphics,2,5160,10092,2
12,AMD Ryzen 9 6900HX with Radeon Graphics,2,5083,10061,2
13,AMD Ryzen 9 6900HX with Radeon Graphics,2,5109,10013,2
14,AMD Ryzen 9 6900HX with Radeon Graphics,1,3271,3271,1
15,AMD Ryzen 9 6900HX with Radeon Graphics,1,3167,3167,1
16,AMD Ryzen 9 6900HX with Radeon Graphics,1,3112,3112,1
17,AMD Ryzen 9 6900HX with Radeon Graphics,1,2953,2953,1
18,AMD Ryzen 9 6900HX with Radeon Graphics,1,2815,2815,1
19,AMD Ryzen 9 6900HX with Radeon Graphics,1,2740,2740,1
20,AMD Ryzen 9 6900HX with Radeon Graphics,1,2676,2676,1
21,AMD Ryzen 9 6900HX with Radeon Graphics,1,2607,2607,1
22,AMD Ryzen 9 6900HX with Radeon Graphics,1,2462,2462,1
23,AMD Ryzen 9 6900HX with Radeon Graphics,1,2219,2219,1
24,AMD Ryzen 9 6900HX with Radeon Graphics,1,1734,1734,1
25,AMD Ryzen 9 6900HX with Radeon Graphics,1,1613,1613,1
26,AMD Ryzen 9 6900HX with Radeon Graphics,1,1403,1403,1
27,AMD Ryzen 9 6900HX with Radeon Graphics,1,918,918,1
