排名,CPU型号,CPU核心数,单核得分,多核得分,多核线程数
1,AMD Ryzen 9 7950X3D 16-Core Processor,1,7016,106417,32
2,AMD Ryzen 9 7950X3D 16-Core Processor,1,7019,106351,32
3,AMD Ryzen 9 7950X3D 16-Core Processor,1,6297,106299,32
4,AMD Ryzen 9 7950X3D 16-Core Processor,1,6833,106271,32
5,AMD Ryzen 9 7950X3D 16-Core Processor,1,6461,106085,32
6,AMD Ryzen 9 7950X3D 16-Core Processor,1,6925,106019,32
7,AMD Ryzen 9 7950X3D 16-Core Processor,1,6905,105999,32
8,AMD Ryzen 9 7950X3D 16-Core Processor,1,6265,105614,32
9,AMD Ryzen 9 7950X3D 16-Core Processor,1,6457,105576,32
10,AMD Ryzen 9 7950X3D 16-Core Processor,1,6221,105568,32
11,AMD Ryzen 9 7950X3D 16-Core Processor,32,6592,105549,32
12,AMD Ryzen 9 7950X3D 16-Core Processor @ 4200.000 MHz,32,6373,105501,32
13,AMD Ryzen 9 7950X3D 16-Core Processor,1,6727,105498,32
14,AMD Ryzen 9 7950X3D 16-Core Processor,1,6694,105496,32
15,AMD Ryzen 9 7950X3D 16-Core Processor,1,6370,105350,32
16,AMD Ryzen 9 7950X3D 16-Core Processor,1,6830,104678,32
17,AMD Ryzen 9 7950X3D 16-Core Processor,1,6772,104555,32
18,AMD Ryzen 9 7950X3D 16-Core Processor,1,6274,104516,32
19,AMD Ryzen 9 7950X3D 16-Core Processor,1,6795,104391,32
20,AMD Ryzen 9 7950X3D 16-Core Processor,1,6027,104160,32
21,AMD Ryzen 9 7950X3D 16-Core Processor,1,6809,104122,32
22,AMD Ryzen 9 7950X3D 16-Core Processor,1,6394,104112,32
23,AMD Ryzen 9 7950X3D 16-Core Processor,1,6408,104098,32
24,AMD Ryzen 9 7950X3D 16-Core Processor,1,6312,103953,32
25,AMD Ryzen 9 7950X3D 16-Core Processor,1,6511,103938,32
26,AMD Ryzen 9 7950X3D 16-Core Processor,1,6719,103848,32
27,AMD Ryzen 9 7950X3D 16-Core Processor,1,6479,103838,32
28,AMD Ryzen 9 7950X3D 16-Core Processor,1,6308,103811,32
29,AMD Ryzen 9 7950X3D 16-Core Processor @ 4200.000 MHz,32,6430,103800,32
30,AMD Ryzen 9 7950X3D 16-Core Processor,1,6585,103761,32
31,AMD Ryzen 9 7950X3D 16-Core Processor,32,6408,103697,32
32,AMD Ryzen 9 7950X3D 16-Core Processor,1,6381,103009,32
33,AMD Ryzen 9 7950X3D 16-Core Processor,1,6256,102563,32
34,AMD Ryzen 9 7950X3D 16-Core Processor,32,5458,102289,32
35,AMD Ryzen 9 7950X3D 16-Core Processor @ 3000.000 MHz,32,6246,102249,32
36,AMD Ryzen 9 7950X3D 16-Core Processor,1,6263,102216,32
37,AMD Ryzen 9 7950X3D 16-Core Processor,1,6292,102072,32
38,AMD Ryzen 9 7950X3D 16-Core Processor,1,6156,101785,32
39,AMD Ryzen 9 7950X3D 16-Core Processor,1,6182,101515,32
40,AMD Ryzen 9 7950X3D 16-Core Processor,1,6128,100887,32
41,AMD Ryzen 9 7950X3D 16-Core Processor,1,6267,100662,32
42,AMD Ryzen 9 7950X3D 16-Core Processor,32,5386,100613,32
43,AMD Ryzen 9 7950X3D 16-Core Processor,32,6094,98916,32
44,AMD Ryzen 9 7950X3D 16-Core Processor,1,5806,98654,32
45,AMD Ryzen 9 7950X3D 16-Core Processor,1,6090,98265,32
46,AMD Ryzen 9 7950X3D 16-Core Processor,1,5572,98086,32
47,AMD Ryzen 9 7950X3D 16-Core Processor,1,5920,94872,32
48,AMD Ryzen 9 7950X3D 16-Core Processor,16,5955,93440,16
49,AMD Ryzen 9 7950X3D 16-Core Processor,16,6132,92813,16
50,AMD Ryzen 9 7950X3D 16-Core Processor,16,5968,92256,16
51,AMD Ryzen 9 7950X3D 16-Core Processor,16,6036,91954,16
52,AMD Ryzen 9 7950X3D 16-Core Processor,1,5812,90282,32
53,AMD Ryzen 9 7950X3D 16-Core Processor,16,6056,88744,16
54,AMD Ryzen 9 7950X3D 16-Core Processor,16,5426,87844,16
55,AMD Ryzen 9 7950X3D 16-Core Processor,16,6079,85653,16
56,AMD Ryzen 9 7950X3D 16-Core Processor,16,5996,84029,16
57,AMD Ryzen 9 7950X3D 16-Core Processor,16,5628,83747,16
58,AMD Ryzen 9 7950X3D 16-Core Processor,16,5723,83576,16
59,AMD Ryzen 9 7950X3D 16-Core Processor,16,5828,82778,16
60,AMD Ryzen 9 7950X3D 16-Core Processor,16,5693,82685,16
61,AMD Ryzen 9 7950X3D 16-Core Processor,16,5636,82366,16
62,AMD Ryzen 9 7950X3D 16-Core Processor,16,5837,82172,16
63,AMD Ryzen 9 7950X3D 16-Core Processor,16,5783,82135,16
64,AMD Ryzen 9 7950X3D 16-Core Processor,16,5703,82122,16
65,AMD Ryzen 9 7950X3D 16-Core Processor,16,5557,81576,16
66,AMD Ryzen 9 7950X3D 16-Core Processor,16,5514,81462,16
67,AMD Ryzen 9 7950X3D 16-Core Processor,16,5455,81328,16
68,AMD Ryzen 9 7950X3D 16-Core Processor,16,5582,80589,16
69,AMD Ryzen 9 7950X3D 16-Core Processor,16,5543,80528,16
70,AMD Ryzen 9 7950X3D 16-Core Processor,16,5561,80365,16
71,AMD Ryzen 9 7950X3D 16-Core Processor,16,5599,80213,16
72,AMD Ryzen 9 7950X3D 16-Core Processor,16,5834,80055,16
73,AMD Ryzen 9 7950X3D 16-Core Processor,16,5623,80044,16
74,AMD Ryzen 9 7950X3D 16-Core Processor,16,5491,79446,16
75,AMD Ryzen 9 7950X3D 16-Core Processor,16,5587,79254,16
76,AMD Ryzen 9 7950X3D 16-Core Processor,16,5509,79119,16
77,AMD Ryzen 9 7950X3D 16-Core Processor,16,5656,78920,16
78,AMD Ryzen 9 7950X3D 16-Core Processor,16,5569,77916,16
79,AMD Ryzen 9 7950X3D 16-Core Processor,16,5596,77512,16
80,AMD Ryzen 9 7950X3D 16-Core Processor,16,5486,76911,16
81,AMD Ryzen 9 7950X3D 16-Core Processor,16,5446,76357,16
82,AMD Ryzen 9 7950X3D 16-Core Processor,16,5560,76019,16
83,AMD Ryzen 9 7950X3D 16-Core Processor,16,5677,75590,16
84,AMD Ryzen 9 7950X3D 16-Core Processor,16,5129,75050,16
85,AMD Ryzen 9 7950X3D 16-Core Processor,16,5535,74942,16
86,AMD Ryzen 9 7950X3D 16-Core Processor,16,5142,74759,16
87,AMD Ryzen 9 7950X3D 16-Core Processor,16,5092,74567,16
88,AMD Ryzen 9 7950X3D 16-Core Processor,16,5385,74202,16
89,AMD Ryzen 9 7950X3D 16-Core Processor,16,5468,74086,16
90,AMD Ryzen 9 7950X3D 16-Core Processor,16,5379,71108,16
91,AMD Ryzen 9 7950X3D 16-Core Processor,16,5500,70552,16
92,AMD Ryzen 9 7950X3D 16-Core Processor,16,5527,70469,16
93,AMD Ryzen 9 7950X3D 16-Core Processor,16,5559,70445,16
94,AMD Ryzen 9 7950X3D 16-Core Processor,16,5553,70438,16
95,AMD Ryzen 9 7950X3D 16-Core Processor,16,5327,69396,16
96,AMD Ryzen 9 7950X3D 16-Core Processor,16,5398,68833,16
97,AMD Ryzen 9 7950X3D 16-Core Processor,16,5362,67790,16
98,AMD Ryzen 9 7950X3D 16-Core Processor,16,5549,67619,16
99,AMD Ryzen 9 7950X3D 16-Core Processor,16,5413,67528,16
100,AMD Ryzen 9 7950X3D 16-Core Processor,16,5362,67111,16
101,AMD Ryzen 9 7950X3D 16-Core Processor,16,5460,66558,16
102,AMD Ryzen 9 7950X3D 16-Core Processor,16,5594,66553,16
103,AMD Ryzen 9 7950X3D 16-Core Processor,16,5362,66502,16
104,AMD Ryzen 9 7950X3D 16-Core Processor,16,5300,65885,16
105,AMD Ryzen 9 7950X3D 16-Core Processor,16,5403,65799,16
106,AMD Ryzen 9 7950X3D 16-Core Processor,16,5453,65752,16
107,AMD Ryzen 9 7950X3D 16-Core Processor,16,5456,65647,16
108,AMD Ryzen 9 7950X3D 16-Core Processor,16,5355,65541,16
109,AMD Ryzen 9 7950X3D 16-Core Processor,16,5392,65457,16
110,AMD Ryzen 9 7950X3D 16-Core Processor,16,5310,65424,16
111,AMD Ryzen 9 7950X3D 16-Core Processor,16,5453,65218,16
112,AMD Ryzen 9 7950X3D 16-Core Processor,16,5454,65095,16
113,AMD Ryzen 9 7950X3D 16-Core Processor,16,5440,65002,16
114,AMD Ryzen 9 7950X3D 16-Core Processor,16,5484,64648,16
115,AMD Ryzen 9 7950X3D 16-Core Processor,16,5278,64291,16
116,AMD Ryzen 9 7950X3D 16-Core Processor,16,5436,64040,16
117,AMD Ryzen 9 7950X3D 16-Core Processor,16,5425,63853,16
118,AMD Ryzen 9 7950X3D 16-Core Processor,16,5221,63146,16
119,AMD Ryzen 9 7950X3D 16-Core Processor,16,5257,63040,16
120,AMD Ryzen 9 7950X3D 16-Core Processor,16,5548,62641,16
121,AMD Ryzen 9 7950X3D 16-Core Processor,16,5332,62108,16
122,AMD Ryzen 9 7950X3D 16-Core Processor,16,5408,62007,16
123,AMD Ryzen 9 7950X3D 16-Core Processor,16,5343,61957,16
124,AMD Ryzen 9 7950X3D 16-Core Processor,12,5600,60966,12
125,AMD Ryzen 9 7950X3D 16-Core Processor,16,5050,60694,16
126,AMD Ryzen 9 7950X3D 16-Core Processor,16,5353,60336,16
127,AMD Ryzen 9 7950X3D 16-Core Processor,16,5398,59723,16
128,AMD Ryzen 9 7950X3D 16-Core Processor,12,5469,59601,12
129,AMD Ryzen 9 7950X3D 16-Core Processor,16,5302,58978,16
130,AMD Ryzen 9 7950X3D 16-Core Processor,16,5148,58687,16
131,AMD Ryzen 9 7950X3D 16-Core Processor,16,4676,57034,16
