排名,CPU型号,CPU核心数,单核得分,多核得分,多核线程数
1,AMD Ryzen 9 7950X3D 16-Core Processor,1,7019,106351,32
2,AMD Ryzen 9 7950X3D 16-Core Processor,1,7016,106417,32
3,AMD Ryzen 9 7950X3D 16-Core Processor,1,6925,106019,32
4,AMD Ryzen 9 7950X3D 16-Core Processor,1,6905,105999,32
5,AMD Ryzen 9 7950X3D 16-Core Processor,1,6833,106271,32
6,AMD Ryzen 9 7950X3D 16-Core Processor,1,6830,104678,32
7,AMD Ryzen 9 7950X3D 16-Core Processor,1,6809,104122,32
8,AMD Ryzen 9 7950X3D 16-Core Processor,2,6798,12591,2
9,AMD Ryzen 9 7950X3D 16-Core Processor,1,6795,104391,32
10,AMD Ryzen 9 7950X3D 16-Core Processor,1,6772,104555,32
11,AMD Ryzen 9 7950X3D 16-Core Processor,2,6757,12410,2
12,AMD Ryzen 9 7950X3D 16-Core Processor,2,6744,12676,2
13,AMD Ryzen 9 7950X3D 16-Core Processor,1,6727,105498,32
14,AMD Ryzen 9 7950X3D 16-Core Processor,1,6719,103848,32
15,AMD Ryzen 9 7950X3D 16-Core Processor,2,6708,12468,2
16,AMD Ryzen 9 7950X3D 16-Core Processor,1,6694,105496,32
17,AMD Ryzen 9 7950X3D 16-Core Processor,2,6671,12730,2
18,AMD Ryzen 9 7950X3D 16-Core Processor,2,6619,12660,2
19,AMD Ryzen 9 7950X3D 16-Core Processor,2,6612,12699,2
20,AMD Ryzen 9 7950X3D 16-Core Processor,32,6592,105549,32
21,AMD Ryzen 9 7950X3D 16-Core Processor,1,6585,103761,32
22,AMD Ryzen 9 7950X3D 16-Core Processor,2,6545,12400,2
23,AMD Ryzen 9 7950X3D 16-Core Processor,2,6516,12694,2
24,AMD Ryzen 9 7950X3D 16-Core Processor,4,6514,25105,4
25,AMD Ryzen 9 7950X3D 16-Core Processor,1,6511,103938,32
26,AMD Ryzen 9 7950X3D 16-Core Processor,4,6508,24917,4
27,AMD Ryzen 9 7950X3D 16-Core Processor,4,6508,23563,4
28,AMD Ryzen 9 7950X3D 16-Core Processor,2,6498,12566,2
29,AMD Ryzen 9 7950X3D 16-Core Processor,2,6495,12476,2
30,AMD Ryzen 9 7950X3D 16-Core Processor,3,6481,19098,3
31,AMD Ryzen 9 7950X3D 16-Core Processor,1,6479,103838,32
32,AMD Ryzen 9 7950X3D 16-Core Processor,2,6478,12738,2
33,AMD Ryzen 9 7950X3D 16-Core Processor,2,6474,12569,2
34,AMD Ryzen 9 7950X3D 16-Core Processor,2,6472,12675,2
35,AMD Ryzen 9 7950X3D 16-Core Processor,2,6471,12566,2
36,AMD Ryzen 9 7950X3D 16-Core Processor,2,6465,12654,2
37,AMD Ryzen 9 7950X3D 16-Core Processor,1,6461,106085,32
38,AMD Ryzen 9 7950X3D 16-Core Processor,1,6457,105576,32
