排名,CPU型号,CPU核心数,单核得分,多核得分,多核线程数
1,ARMv8 Processor rev 0 (v8l),4,1095,4392,4
2,ARMv8 Processor rev 0 (v8l),4,1043,4179,4
3,ARMv8 Processor rev 0 (v8l),4,1052,4149,4
4,ARMv8 Processor rev 0 (v8l),4,1097,4125,4
5,ARMv8 Processor rev 0 (v8l),4,1038,4012,4
6,ARMv8 Processor rev 0 (v8l),4,961,3924,4
7,ARMv8 Processor rev 0 (v8l),4,971,3848,4
8,ARMv8 Processor rev 0 (v8l),4,920,3721,4
9,ARMv8 Processor rev 0 (v8l),4,921,3718,4
10,ARMv8 Processor rev 0 (v8l),4,933,3714,4
11,ARMv8 Processor rev 0 (v8l),1,927,3692,4
12,ARMv8 Processor rev 0 (v8l),1,924,3684,4
13,ARMv8 Processor rev 0 (v8l),1,932,3681,4
14,ARMv8 Processor rev 0 (v8l),4,938,3662,4
15,ARMv8 Processor rev 0 (v8l),4,925,3657,4
16,ARMv8 Processor rev 0 (v8l),4,916,3654,4
17,ARMv8 Processor rev 0 (v8l),4,914,3642,4
18,ARMv8 Processor rev 0 (v8l),4,910,3627,4
19,ARMv8 Processor rev 0 (v8l),4,920,3609,4
20,ARMv8 Processor rev 0 (v8l),4,906,3592,4
21,ARMv8 Processor rev 0 (v8l),4,903,3587,4
22,ARMv8 Processor rev 0 (v8l),1,915,3578,4
23,ARMv8 Processor rev 0 (v8l),4,917,3577,4
24,ARMv8 Processor rev 0 (v8l),4,917,3575,4
25,ARMv8 Processor rev 0 (v8l),1,909,3549,4
26,ARMv8 Processor rev 0 (v8l),4,925,3536,4
27,ARMv8 Processor rev 0 (v8l),4,916,3528,4
28,ARMv8 Processor rev 0 (v8l),4,882,3506,4
29,ARMv8 Processor rev 0 (v8l),4,882,3505,4
30,ARMv8 Processor rev 0 (v8l),4,924,3501,4
31,ARMv8 Processor rev 0 (v8l),1,882,3454,4
32,ARMv8 Processor rev 0 (v8l),4,911,3442,4
33,ARMv8 Processor rev 0 (v8l),4,911,3409,4
34,ARMv8 Processor rev 0 (v8l),4,933,3188,4
35,ARMv8 Processor rev 0 (v8l),4,657,2589,4
36,ARMv8 Processor rev 0 (v8l),4,658,2586,4
37,ARMv8 Processor rev 0 (v8l),4,401,1614,4
