排名,CPU型号,CPU核心数,单核得分,多核得分,多核线程数
1,ARMv8 Processor rev 2 (v8l),6,2047,10131,6
2,ARMv8 Processor rev 2 (v8l),6,2036,9975,6
3,ARMv8 Processor rev 2 (v8l),6,1762,5902,6
4,ARMv8 Processor rev 2 (v8l),6,1758,8716,6
5,ARMv8 Processor rev 2 (v8l),6,1757,4490,6
6,ARMv8 Processor rev 2 (v8l),6,1756,6142,6
7,ARMv8 Processor rev 2 (v8l),6,1754,4028,6
8,ARMv8 Processor rev 2 (v8l),6,1747,7402,6
9,ARMv8 Processor rev 2 (v8l),6,1746,5919,6
10,ARMv8 Processor rev 2 (v8l),6,1746,6295,6
11,ARMv8 Processor rev 2 (v8l),6,1746,6300,6
12,ARMv8 Processor rev 2 (v8l),6,1745,6293,6
13,ARMv8 Processor rev 2 (v8l),6,1744,5567,6
14,ARMv8 Processor rev 2 (v8l),6,1744,5589,6
15,ARMv8 Processor rev 2 (v8l),6,1744,6258,6
16,ARMv8 Processor rev 2 (v8l),6,1743,5934,6
17,ARMv8 Processor rev 2 (v8l),6,1741,5972,6
18,ARMv8 Processor rev 2 (v8l),6,1731,6251,6
19,ARMv8 Processor rev 2 (v8l),6,1694,7623,6
20,ARMv8 Processor rev 2 (v8l),6,558,2224,6
