排名,CPU型号,CPU核心数,单核得分,多核得分,多核线程数
1,CPU 数量            : 4 Virtual CPU(s),4,7707,29379,4
2,CPU 数量            : 4 Virtual CPU(s),4,7673,29005,4
3,CPU 数量            : 4 Virtual CPU(s),4,7511,28334,4
4,CPU 数量            : 4 Virtual CPU(s),4,3558,14163,4
5,CPU 数量            : 4 Virtual CPU(s),4,3542,14152,4
6,CPU 数量            : 4 Virtual CPU(s),4,3566,14085,4
7,CPU 数量            : 4 Virtual CPU(s),4,3403,13477,4
8,CPU 数量            : 4 Virtual CPU(s),4,3329,13276,4
9,CPU 数量            : 4 Virtual CPU(s),4,3117,12612,4
10,CPU 数量            : 4 Virtual CPU(s),4,3097,12201,4
11,CPU 数量            : 4 Virtual CPU(s),4,3109,11875,4
12,CPU 数量            : 4 Virtual CPU(s),4,3098,11852,4
13,CPU 数量            : 4 Virtual CPU(s),4,2944,11775,4
14,CPU 数量            : 4 Virtual CPU(s),4,2943,11770,4
15,CPU 数量            : 4 Virtual CPU(s),4,2945,11759,4
16,CPU 数量            : 4 Virtual CPU(s),4,2943,11755,4
17,CPU 数量            : 4 Virtual CPU(s),4,2945,11680,4
18,CPU 数量            : 4 Virtual CPU(s),4,2944,11673,4
19,CPU 数量            : 4 Virtual CPU(s),4,2944,11667,4
20,CPU 数量            : 4 Virtual CPU(s),4,2942,11647,4
21,CPU 数量            : 4 Virtual CPU(s),4,3501,11613,4
22,CPU 数量            : 4 Virtual CPU(s),4,2943,11404,4
23,CPU 数量            : 4 Virtual CPU(s),4,704,2486,4
