排名,CPU型号,CPU核心数,单核得分,多核得分,多核线程数
1,Common KVM Processor v5,1,4451,4451,1
2,Common KVM Processor v5,1,4448,4448,1
3,Common KVM Processor v5,1,4346,4346,1
4,Common KVM Processor v5,1,4267,4267,1
5,Common KVM Processor v5,1,4253,4253,1
6,Common KVM Processor v5,1,4242,4242,1
7,Common KVM Processor v5,1,4220,4220,1
8,Common KVM Processor v5,1,4206,4206,1
9,Common KVM Processor v5,1,3644,3644,1
10,Common KVM Processor v5,1,1185,1185,1
11,Common KVM Processor v5,1,1180,1180,1
12,Common KVM Processor v5,1,1167,1167,1
13,Common KVM Processor v5,1,1151,1151,1
14,Common KVM Processor v5,1,1140,1140,1
15,Common KVM Processor v5,1,1140,1140,1
16,Common KVM Processor v5,1,1139,1139,1
17,Common KVM Processor v5,1,1112,1112,1
18,Common KVM Processor v5,1,974,974,1
