排名,CPU型号,CPU核心数,单核得分,多核得分,多核线程数
1,Cortex-A55,8,3569,17483,8
2,Cortex-A55,8,3249,16038,8
3,Cortex-A55,8,3599,14473,8
4,Cortex-A55,8,2680,14092,8
5,Cortex-A55,1,2618,14038,8
6,Cortex-A55,8,2805,13907,8
7,Cortex-A55,8,2609,13883,8
8,Cortex-A55,8,2624,13680,8
9,Cortex-A55,8,2496,13428,8
10,Cortex-A55,3,2749,12791,6
11,Cortex-A55,3,2702,12607,6
12,Cortex-A55,3,2692,12596,6
13,Cortex-A55,8,2517,12193,8
14,Cortex-A55,8,2511,10072,8
15,Cortex-A55,8,2789,9863,8
16,Cortex-A55,8,1184,8296,8
17,Cortex-A55,8,1980,5999,8
18,Cortex-A55,8,746,5971,8
19,Cortex-A55,8,943,5677,8
20,Cortex-A55,8,792,5427,8
21,Cortex-A55,4,1090,4138,4
22,Cortex-A55,4,1023,4074,4
23,Cortex-A55,4,1025,4069,4
24,Cortex-A55,4,1024,4067,4
25,Cortex-A55,4,1024,3938,4
26,Cortex-A55,4,1039,3905,4
27,Cortex-A55,4,1000,3842,4
28,Cortex-A55,4,1003,3841,4
29,Cortex-A55,4,930,3791,4
30,Cortex-A55,4,955,3772,4
31,Cortex-A55,4,954,3763,4
32,Cortex-A55,4,963,3758,4
33,Cortex-A55,4,978,3744,4
34,Cortex-A55,4,954,3740,4
35,Cortex-A55,1,949,3731,4
36,Cortex-A55,4,940,3707,4
37,Cortex-A55,4,940,3707,4
38,Cortex-A55,4,920,3670,4
39,Cortex-A55,4,959,3668,4
40,Cortex-A55,4,927,3652,4
41,Cortex-A55,4,913,3631,4
42,Cortex-A55,4,911,3617,4
43,Cortex-A55,4,999,3616,4
44,Cortex-A55,4,936,3591,4
45,Cortex-A55,4,904,3549,4
46,Cortex-A55,4,953,3547,4
47,Cortex-A55,4,885,3546,4
48,Cortex-A55,4,882,3492,4
49,Cortex-A55,4,887,3440,4
50,Cortex-A55,4,864,3419,4
51,Cortex-A55,4,900,3386,4
52,Cortex-A55,4,895,3354,4
53,Cortex-A55,4,889,3253,4
54,Cortex-A55,4,890,3236,4
55,Cortex-A55,4,930,3236,4
56,Cortex-A55,4,913,3203,4
57,Cortex-A55,4,858,3183,4
58,Cortex-A55,4,912,3169,4
59,Cortex-A55,4,886,3165,4
60,Cortex-A55,4,906,3148,4
61,Cortex-A55,4,893,3127,4
62,Cortex-A55,4,890,3063,4
63,Cortex-A55,4,874,3024,4
64,Cortex-A55,4,888,2703,4
65,Cortex-A55,4,916,2556,4
66,Cortex-A55,4,893,2497,4
67,Cortex-A55,1,912,1907,4
68,Cortex-A55,4,859,1567,4
