排名,CPU型号,CPU核心数,单核得分,多核得分,多核线程数
1,Cortex-A76,4,2738,10917,4
2,Cortex-A76,4,2729,10892,4
3,Cortex-A76,4,2727,10897,4
4,Cortex-A76,4,2727,10942,4
5,Cortex-A76,4,2724,10486,4
6,Cortex-A76,4,2724,10940,4
7,Cortex-A76,4,2723,10921,4
8,Cortex-A76,4,2721,10926,4
9,Cortex-A76,4,2718,10892,4
10,Cortex-A76,4,2716,10949,4
11,Cortex-A76,4,2716,10785,4
12,Cortex-A76,4,2715,10854,4
13,Cortex-A76,4,2714,10941,4
14,Cortex-A76,4,2714,10925,4
15,Cortex-A76,4,2713,10802,4
16,Cortex-A76,4,2705,10943,4
17,Cortex-A76,4,1871,10301,4
18,Cortex-A76,4,426,1893,4
19,Cortex-A76,4,250,386,4
20,Cortex-A76,4,207,1754,4
21,Cortex-A76,4,201,261,4
22,Cortex-A76,4,190,914,4
23,Cortex-A76,4,187,1552,4
