排名,CPU型号,CPU核心数,单核得分,多核得分,多核线程数
1,DO-Premium-AMD,8,3426,27955,8
2,DO-Premium-AMD,4,3785,14996,4
3,DO-Premium-AMD,4,3623,14338,4
4,DO-Premium-AMD,4,3413,13543,4
5,DO-Premium-AMD,4,3424,13470,4
6,DO-Premium-AMD,4,3216,13130,4
7,DO-Premium-AMD,4,3438,13127,4
8,DO-Premium-AMD,4,3505,13122,4
9,DO-Premium-AMD,4,3359,13115,4
10,DO-Premium-AMD,4,3102,13025,4
11,DO-Premium-AMD,4,3371,12932,4
12,DO-Premium-AMD,4,3181,12921,4
13,DO-Premium-AMD,4,3102,12816,4
14,DO-Premium-AMD,4,3384,12770,4
15,DO-Premium-AMD,4,3247,12627,4
16,DO-Premium-AMD,4,3280,12551,4
17,DO-Premium-AMD,4,3171,12401,4
18,DO-Premium-AMD,4,3128,12294,4
19,DO-Premium-AMD,4,3079,12257,4
20,DO-Premium-AMD,4,3230,12214,4
21,DO-Premium-AMD,4,3050,11935,4
22,DO-Premium-AMD,4,2928,11933,4
23,DO-Premium-AMD,4,3091,11842,4
24,DO-Premium-AMD,4,3055,11668,4
25,DO-Premium-AMD,4,3213,11660,4
26,DO-Premium-AMD,4,2935,11624,4
27,DO-Premium-AMD,4,3000,11454,4
28,DO-Premium-AMD,4,3161,11329,4
29,DO-Premium-AMD,4,2901,11289,4
30,DO-Premium-AMD,4,2886,11168,4
31,DO-Premium-AMD,4,2838,10570,4
32,DO-Premium-AMD,4,3091,9586,4
33,DO-Premium-AMD,4,3039,9529,4
34,DO-Premium-AMD,2,3804,7538,2
35,DO-Premium-AMD,2,3757,7297,2
36,DO-Premium-AMD,2,3609,7125,2
37,DO-Premium-AMD,2,3494,7032,2
38,DO-Premium-AMD,2,3550,7001,2
39,DO-Premium-AMD,2,3369,6992,2
40,DO-Premium-AMD,2,3329,6916,2
41,DO-Premium-AMD,2,3563,6738,2
42,DO-Premium-AMD,2,3363,6694,2
43,DO-Premium-AMD,2,3600,6631,2
44,DO-Premium-AMD,2,3105,6491,2
45,DO-Premium-AMD,4,1634,6477,4
46,DO-Premium-AMD,4,1623,6386,4
47,DO-Premium-AMD,2,3207,6364,2
48,DO-Premium-AMD,2,3209,6361,2
49,DO-Premium-AMD,2,2969,6338,2
50,DO-Premium-AMD,4,1567,6225,4
51,DO-Premium-AMD,2,2890,6215,2
52,DO-Premium-AMD,4,1633,6133,4
53,DO-Premium-AMD,4,1557,6026,4
54,DO-Premium-AMD,2,2990,6010,2
55,DO-Premium-AMD,2,3058,5938,2
56,DO-Premium-AMD,4,1525,5923,4
57,DO-Premium-AMD,4,1474,5904,4
58,DO-Premium-AMD,2,2934,5738,2
59,DO-Premium-AMD,4,1453,5691,4
60,DO-Premium-AMD,4,1435,5620,4
61,DO-Premium-AMD,4,1394,5604,4
62,DO-Premium-AMD,4,1413,5573,4
63,DO-Premium-AMD,4,1310,5539,4
64,DO-Premium-AMD,2,2734,5428,2
65,DO-Premium-AMD,2,3003,5340,2
66,DO-Premium-AMD,4,1388,5282,4
67,DO-Premium-AMD,4,1324,5268,4
68,DO-Premium-AMD,4,1281,5154,4
69,DO-Premium-AMD,4,1278,5085,4
70,DO-Premium-AMD,4,1287,5063,4
71,DO-Premium-AMD,4,1290,5005,4
72,DO-Premium-AMD,4,1251,4939,4
73,DO-Premium-AMD,4,1133,4887,4
74,DO-Premium-AMD,4,1267,4815,4
75,DO-Premium-AMD,4,1230,4813,4
76,DO-Premium-AMD,4,1273,4799,4
77,DO-Premium-AMD,4,1320,4774,4
78,DO-Premium-AMD,4,1117,4755,4
79,DO-Premium-AMD,4,1250,4652,4
80,DO-Premium-AMD,4,1238,4620,4
81,DO-Premium-AMD,4,1142,4486,4
82,DO-Premium-AMD,4,1195,4426,4
83,DO-Premium-AMD,4,1234,4229,4
84,DO-Premium-AMD,4,1186,4077,4
85,DO-Premium-AMD,4,1178,3898,4
86,DO-Premium-AMD,4,1239,3513,4
87,DO-Premium-AMD,2,1518,3180,2
88,DO-Premium-AMD,2,1491,3087,2
89,DO-Premium-AMD,2,1594,3085,2
90,DO-Premium-AMD,2,1430,3076,2
91,DO-Premium-AMD,2,1557,3067,2
92,DO-Premium-AMD,2,1485,2982,2
93,DO-Premium-AMD,2,1526,2979,2
94,DO-Premium-AMD,2,1475,2933,2
95,DO-Premium-AMD,2,1465,2924,2
96,DO-Premium-AMD,2,1433,2876,2
97,DO-Premium-AMD,2,1426,2855,2
98,DO-Premium-AMD,2,1414,2853,2
99,DO-Premium-AMD,2,1444,2836,2
100,DO-Premium-AMD,2,1412,2819,2
101,DO-Premium-AMD,2,1363,2801,2
102,DO-Premium-AMD,2,1396,2792,2
103,DO-Premium-AMD,2,1376,2762,2
104,DO-Premium-AMD,2,1366,2734,2
105,DO-Premium-AMD,2,1349,2727,2
106,DO-Premium-AMD,2,1346,2706,2
107,DO-Premium-AMD,2,1375,2704,2
108,DO-Premium-AMD,2,1161,2693,2
109,DO-Premium-AMD,2,1413,2692,2
110,DO-Premium-AMD,2,1309,2605,2
111,DO-Premium-AMD,2,1374,2586,2
112,DO-Premium-AMD,2,1293,2559,2
113,DO-Premium-AMD,2,1257,2522,2
114,DO-Premium-AMD,2,1309,2506,2
115,DO-Premium-AMD,2,1219,2331,2
116,DO-Premium-AMD,2,1174,2229,2
117,DO-Premium-AMD,2,1207,1576,2
118,DO-Premium-AMD,1,751,828,4
119,DO-Premium-AMD,1,794,803,2
120,DO-Premium-AMD,1,812,788,2
121,DO-Premium-AMD,4,786,776,4
122,DO-Premium-AMD,1,740,772,2
123,DO-Premium-AMD,4,664,686,4
124,DO-Premium-AMD,1,664,686,4
125,DO-Premium-AMD,1,636,646,4
126,DO-Premium-AMD,1,359,359,2
127,DO-Premium-AMD,4,363,358,4
128,DO-Premium-AMD,1,355,354,2
129,DO-Premium-AMD,2,375,350,2
130,DO-Premium-AMD,1,343,341,4
131,DO-Premium-AMD,1,303,338,4
132,DO-Premium-AMD,1,331,332,2
133,DO-Premium-AMD,1,283,308,4
134,DO-Premium-AMD,1,312,305,4
135,DO-Premium-AMD,1,299,304,4
136,DO-Premium-AMD,1,318,299,2
137,DO-Premium-AMD,1,325,297,4
138,DO-Premium-AMD,1,265,294,4
139,DO-Premium-AMD,4,311,285,4
140,DO-Premium-AMD,1,285,283,2
141,DO-Premium-AMD,1,237,283,4
142,DO-Premium-AMD,1,285,269,4
143,DO-Premium-AMD,1,264,266,4
144,DO-Premium-AMD,1,233,257,4
145,DO-Premium-AMD,1,243,247,4
146,DO-Premium-AMD,1,262,246,4
147,DO-Premium-AMD,1,236,245,4
148,DO-Premium-AMD,4,382,138,4
