排名,CPU型号,CPU核心数,单核得分,多核得分,多核线程数
1,DO-Premium-Intel,2,3191,6119,2
2,DO-Premium-Intel,2,2961,5846,2
3,DO-Premium-Intel,2,2951,5825,2
4,DO-Premium-Intel,2,2386,4563,2
5,DO-Premium-Intel,4,2130,8509,4
6,DO-Premium-Intel,2,2123,4151,2
7,DO-Premium-Intel,4,2119,8277,4
8,DO-Premium-Intel,2,2114,3997,2
9,DO-Premium-Intel,4,2111,8376,4
10,DO-Premium-Intel,4,2109,8391,4
11,DO-Premium-Intel,2,2106,4242,2
12,DO-Premium-Intel,2,2105,4127,2
13,DO-Premium-Intel,2,2104,4172,2
14,DO-Premium-Intel,4,2102,8427,4
15,DO-Premium-Intel,2,2097,3857,2
16,DO-Premium-Intel,4,2096,8107,4
17,DO-Premium-Intel,2,2087,4046,2
18,DO-Premium-Intel,4,2087,6380,4
19,DO-Premium-Intel,4,2082,7727,4
20,DO-Premium-Intel,2,2081,4203,2
21,DO-Premium-Intel,2,2080,4031,2
22,DO-Premium-Intel,2,2070,4118,2
23,DO-Premium-Intel,2,2065,4020,2
24,DO-Premium-Intel,2,2059,4093,2
25,DO-Premium-Intel,2,2059,4072,2
26,DO-Premium-Intel,4,2058,7163,4
27,DO-Premium-Intel,2,2057,4087,2
28,DO-Premium-Intel,2,2056,4098,2
29,DO-Premium-Intel,2,2054,3866,2
30,DO-Premium-Intel,2,2032,4080,2
31,DO-Premium-Intel,2,2029,3967,2
32,DO-Premium-Intel,2,2025,4104,2
33,DO-Premium-Intel,2,2022,3900,2
34,DO-Premium-Intel,4,1950,6908,4
35,DO-Premium-Intel,2,1943,3886,2
36,DO-Premium-Intel,2,1915,2478,2
37,DO-Premium-Intel,2,1849,4090,2
38,DO-Premium-Intel,1,1834,1919,2
39,DO-Premium-Intel,4,1493,3195,4
40,DO-Premium-Intel,2,1102,2183,2
41,DO-Premium-Intel,1,1092,1543,2
42,DO-Premium-Intel,2,1078,2117,2
43,DO-Premium-Intel,2,1077,2157,2
44,DO-Premium-Intel,2,1077,2152,2
45,DO-Premium-Intel,2,1069,2034,2
46,DO-Premium-Intel,4,1066,3902,4
47,DO-Premium-Intel,2,1066,1699,2
48,DO-Premium-Intel,4,1063,4107,4
49,DO-Premium-Intel,2,1049,2070,2
50,DO-Premium-Intel,2,1041,2077,2
51,DO-Premium-Intel,2,1027,2067,2
52,DO-Premium-Intel,2,1027,2021,2
53,DO-Premium-Intel,8,1010,7374,8
54,DO-Premium-Intel,2,1004,2060,2
55,DO-Premium-Intel,2,1000,1906,2
56,DO-Premium-Intel,2,996,1929,2
57,DO-Premium-Intel,2,992,1958,2
58,DO-Premium-Intel,2,991,1985,2
59,DO-Premium-Intel,2,990,1986,2
60,DO-Premium-Intel,2,989,1906,2
61,DO-Premium-Intel,2,989,1958,2
62,DO-Premium-Intel,2,901,1916,2
63,DO-Premium-Intel,2,823,1989,2
64,DO-Premium-Intel,4,821,3445,4
65,DO-Premium-Intel,2,785,1818,2
66,DO-Premium-Intel,2,608,511,2
67,DO-Premium-Intel,1,485,486,2
