排名,CPU型号,CPU核心数,单核得分,多核得分,多核线程数
1,DO-Regular,4,2087,8268,4
2,DO-Regular,4,2045,8138,4
3,DO-Regular,4,2034,8107,4
4,DO-Regular,4,2034,8104,4
5,DO-Regular,4,2038,8103,4
6,DO-Regular,4,1499,5841,4
7,DO-Regular,4,1996,5818,4
8,DO-Regular,4,1370,5479,4
9,DO-Regular,4,1344,5345,4
10,DO-Regular,2,2105,4186,2
11,DO-Regular,2,2076,4167,2
12,DO-Regular,2,2100,4134,2
13,DO-Regular,2,2081,4124,2
14,DO-Regular,2,2066,4106,2
15,DO-Regular,2,2027,4093,2
16,DO-Regular,2,2066,4082,2
17,DO-Regular,2,2059,4064,2
18,DO-Regular,2,2023,4054,2
19,DO-Regular,2,2091,4038,2
20,DO-Regular,2,2035,4006,2
21,DO-Regular,4,1018,3984,4
22,DO-Regular,2,1999,3957,2
23,DO-Regular,4,981,3956,4
24,DO-Regular,2,2006,3953,2
25,DO-Regular,2,2002,3938,2
26,DO-Regular,4,917,3937,4
27,DO-Regular,4,963,3907,4
28,DO-Regular,2,2023,3886,2
29,DO-Regular,4,1004,3870,4
30,DO-Regular,2,2029,3862,2
31,DO-Regular,2,1948,3855,2
32,DO-Regular,4,922,3669,4
33,DO-Regular,4,937,3665,4
34,DO-Regular,4,926,3515,4
35,DO-Regular,4,901,3361,4
36,DO-Regular,2,1764,3342,2
37,DO-Regular,2,1478,2958,2
38,DO-Regular,4,832,2950,4
39,DO-Regular,2,1374,2829,2
40,DO-Regular,2,1406,2735,2
41,DO-Regular,4,803,2718,4
42,DO-Regular,2,1330,2670,2
43,DO-Regular,4,865,2668,4
44,DO-Regular,2,1367,2625,2
45,DO-Regular,4,870,2349,4
46,DO-Regular,2,1034,2111,2
47,DO-Regular,2,1062,2078,2
48,DO-Regular,2,1019,2065,2
49,DO-Regular,2,1030,2051,2
50,DO-Regular,2,1044,2042,2
51,DO-Regular,2,950,2037,2
52,DO-Regular,2,1002,2003,2
53,DO-Regular,2,986,1998,2
54,DO-Regular,2,995,1995,2
55,DO-Regular,2,992,1985,2
56,DO-Regular,2,992,1978,2
57,DO-Regular,2,1014,1975,2
58,DO-Regular,2,990,1974,2
59,DO-Regular,2,995,1963,2
60,DO-Regular,2,968,1927,2
61,DO-Regular,2,1024,1925,2
62,DO-Regular,2,905,1905,2
63,DO-Regular,2,949,1904,2
64,DO-Regular,2,948,1901,2
65,DO-Regular,2,971,1898,2
66,DO-Regular,2,924,1883,2
67,DO-Regular,2,887,1879,2
68,DO-Regular,2,993,1877,2
69,DO-Regular,2,919,1874,2
70,DO-Regular,2,954,1868,2
71,DO-Regular,2,960,1832,2
72,DO-Regular,2,891,1826,2
73,DO-Regular,2,897,1817,2
74,DO-Regular,2,884,1797,2
75,DO-Regular,2,812,1765,2
76,DO-Regular,2,872,1748,2
77,DO-Regular,2,936,1745,2
78,DO-Regular,2,905,1731,2
79,DO-Regular,2,897,1728,2
80,DO-Regular,2,910,1721,2
81,DO-Regular,2,868,1715,2
82,DO-Regular,2,928,1711,2
83,DO-Regular,2,888,1700,2
84,DO-Regular,2,829,1673,2
85,DO-Regular,2,1040,1655,2
86,DO-Regular,2,843,1650,2
87,DO-Regular,2,811,1579,2
88,DO-Regular,2,810,1513,2
89,DO-Regular,2,766,1492,2
90,DO-Regular,2,827,1474,2
91,DO-Regular,2,1424,1463,2
92,DO-Regular,2,1434,1433,2
93,DO-Regular,2,802,1432,2
94,DO-Regular,2,776,1416,2
95,DO-Regular,2,743,1416,2
96,DO-Regular,2,1373,1386,2
97,DO-Regular,2,694,1344,2
98,DO-Regular,2,670,1330,2
99,DO-Regular,2,1326,1311,2
100,DO-Regular,2,1289,1304,2
101,DO-Regular,2,861,1293,2
102,DO-Regular,2,1293,1285,2
103,DO-Regular,2,1209,1255,2
104,DO-Regular,2,634,1232,2
105,DO-Regular,2,902,875,2
106,DO-Regular,8,927,860,8
107,DO-Regular,1,480,495,4
108,DO-Regular,1,481,494,4
109,DO-Regular,1,489,491,4
110,DO-Regular,2,509,483,2
111,DO-Regular,1,441,450,4
112,DO-Regular,1,401,426,4
113,DO-Regular,1,401,425,4
114,DO-Regular,2,393,399,2
115,DO-Regular,1,409,346,4
