排名,CPU型号,CPU核心数,单核得分,多核得分,多核线程数
1,DO-Regular,1,2784,2784,1
2,DO-Regular,1,2776,2776,1
3,DO-Regular @ 2600.000 MHz,1,2709,2709,1
4,DO-Regular,1,2708,2708,1
5,DO-Regular @ 2600.000 MHz,1,2651,2651,1
6,DO-Regular @ 2600.000 MHz,1,2634,2634,1
7,DO-Regular,1,2519,2519,1
8,DO-Regular,1,2405,2405,1
9,DO-Regular,1,2137,2137,1
10,DO-Regular,1,2118,2118,1
11,DO-Regular,1,2117,2117,1
12,DO-Regular,1,2113,2113,1
13,DO-Regular,1,2108,2108,1
14,DO-Regular,2,2105,4186,2
15,DO-Regular,2,2100,4134,2
16,DO-Regular @ 1995.311 MHz,1,2098,2098,1
17,DO-Regular,1,2091,2091,1
18,DO-Regular,2,2091,4038,2
19,DO-Regular,4,2087,8268,4
20,DO-Regular,1,2084,2084,1
21,DO-Regular,1,2084,2084,1
22,DO-Regular,1,2084,2084,1
23,DO-Regular,1,2082,2082,1
24,DO-Regular,2,2081,4124,2
25,DO-Regular,1,2081,2081,1
26,DO-Regular,1,2080,2080,1
27,DO-Regular,1,2077,2077,1
28,DO-Regular,2,2076,4167,2
29,DO-Regular,1,2075,2075,1
30,DO-Regular,1,2072,2072,1
31,DO-Regular,1,2071,2071,1
32,DO-Regular,2,2066,4082,2
33,DO-Regular,1,2066,2066,1
34,DO-Regular,2,2066,4106,2
35,DO-Regular,1,2066,2066,1
36,DO-Regular,1,2064,2064,1
37,DO-Regular,1,2063,2063,1
38,DO-Regular,2,2059,4064,2
39,DO-Regular,1,2056,2056,1
40,DO-Regular,1,2055,2055,1
41,DO-Regular,1,2054,2054,1
42,DO-Regular,1,2050,2050,1
43,DO-Regular,1,2048,2048,1
44,DO-Regular,1,2048,2048,1
45,DO-Regular,4,2045,8138,4
46,DO-Regular,1,2045,2045,1
47,DO-Regular,1,2042,2042,1
48,DO-Regular @ 1995.312 MHz,2,2042,3980,2
49,DO-Regular,1,2041,2041,1
