排名,CPU型号,CPU核心数,单核得分,多核得分,多核线程数
1,Genuine Intel(R) 0000,20,4674,51012,20
2,Genuine Intel(R) 0000,20,4603,60237,20
3,Genuine Intel(R) 0000,48,4394,93137,48
4,Genuine Intel(R) 0000,1,4292,51782,28
5,Genuine Intel(R) 0000,28,4127,37607,28
6,Genuine Intel(R) 0000,1,4105,40667,24
7,Genuine Intel(R) 0000,16,4073,40511,16
8,Genuine Intel(R) 0000,16,4033,50705,16
9,Genuine Intel(R) 0000,1,3960,50880,32
10,Genuine Intel(R) 0000,20,3837,49914,20
11,Genuine Intel(R) 0000,12,3780,24316,12
12,Genuine Intel(R) 0000,4,3780,14445,4
13,Genuine Intel(R) 0000,1,3616,12461,4
14,Genuine Intel(R) 0000,1,3438,50979,32
15,Genuine Intel(R) 0000,4,3230,13181,4
16,Genuine Intel(R) 0000 @ 1.10GHz,8,3198,23822,8
17,Genuine Intel(R) 0000,1,3119,65322,48
18,Genuine Intel(R) 0000 @ 1.10GHz,6,3073,17889,6
19,Genuine Intel(R) 0000 @ 1.10GHz,6,2981,14242,6
20,Genuine Intel(R) 0000,1,2239,60776,48
21,Genuine Intel(R) 0000,1,2132,64884,48
22,Genuine Intel(R) 0000,1,1878,10737,6
