排名,CPU型号,CPU核心数,单核得分,多核得分,多核线程数
1,Genuine Intel(R) CPU 0000 @ 2.20GHz,12,3586,26970,12
2,Genuine Intel(R) CPU 0000 @ 2.50GHz,1,1507,22664,20
3,Genuine Intel(R) CPU 0000 @ 2.50GHz,1,1467,22635,20
4,Genuine Intel(R) CPU 0000 @ 2.50GHz,1,1448,21486,20
5,Genuine Intel(R) CPU 0000 @ 2.10GHz,1,1467,19582,16
6,Genuine Intel(R) CPU 0000 @ 2.50GHz,16,1357,18400,16
7,Genuine Intel(R) CPU 0000 @ 2.60GHz,1,1451,17923,16
8,Genuine Intel(R) CPU 0000 @ 3.10GHz,16,1458,17622,16
9,Genuine Intel(R) CPU 0000 @ 3.30GHz,20,1155,15072,20
10,Genuine Intel(R) CPU 0000 @ 2.50GHz,20,1143,14946,20
11,Genuine Intel(R) CPU 0000 @ 1.70GHz,1,1243,14759,16
12,Genuine Intel(R) CPU 0000 @ 1.70GHz,16,1131,14383,16
13,Genuine Intel(R) CPU 0000 @ 1.70GHz,16,1188,12900,16
14,Genuine Intel(R) CPU 0000 @ 2.50GHz,10,1342,12298,10
15,Genuine Intel(R) CPU 0000 @ 2.40GHz,1,1466,12204,12
16,Genuine Intel(R) CPU 0000 @ 2.10GHz,16,1212,11354,16
17,Genuine Intel(R) CPU 0000 @ 2.50GHz,8,1324,10464,8
18,Genuine Intel(R) CPU 0000 @ 2.50GHz,8,1352,10453,8
19,Genuine Intel(R) CPU 0000 @ 2.50GHz,8,1324,10262,8
20,Genuine Intel(R) CPU 0000 @ 2.20GHz,40,989,9531,40
21,Genuine Intel(R) CPU 0000 @ 2.10GHz,8,1259,8734,8
22,Genuine Intel(R) CPU 0000 @ 1.70GHz,8,1133,8270,8
23,Genuine Intel(R) CPU 0000 @ 2.40GHz,6,1385,7900,6
24,Genuine Intel(R) CPU 0000 @ 2.40GHz,1,1107,6125,8
25,Genuine Intel(R) CPU 0000 @ 2.60GHz,4,1540,5881,4
26,Genuine Intel(R) CPU 0000 @ 2.60GHz,4,1533,5743,4
27,Genuine Intel(R) CPU 0000 @ 2.50GHz,16,1452,5580,16
28,Genuine Intel(R) CPU 0000 @ 2.50GHz,4,1315,5127,4
29,Genuine Intel(R) CPU 0000 @ 1.50GHz,4,1194,4545,4
30,Genuine Intel(R) CPU 0000 @ 1.50GHz,4,1119,4448,4
31,Genuine Intel(R) CPU 0000 @ 1.50GHz,4,1105,4414,4
32,Genuine Intel(R) CPU 0000 @ 2.00GHz,8,647,4387,8
33,Genuine Intel(R) CPU 0000 @ 2.40GHz,4,1425,4223,4
34,Genuine Intel(R) CPU 0000 @ 1.50GHz,4,1059,4201,4
35,Genuine Intel(R) CPU 0000 @ 1.50GHz,4,1058,4198,4
36,Genuine Intel(R) CPU 0000 @ 1.50GHz,4,1057,4196,4
37,Genuine Intel(R) CPU 0000 @ 3.00GHz,3,1113,3554,3
38,Genuine Intel(R) CPU 0000 @ 3.00GHz,3,1225,3487,3
39,Genuine Intel(R) CPU 0000 @ 1.50GHz,2,1117,2203,2
40,Genuine Intel(R) CPU 0000 @ 1.50GHz,2,1131,2184,2
41,Genuine Intel(R) CPU 0000 @ 1.50GHz,2,1113,2158,2
42,Genuine Intel(R) CPU 0000 @ 1.50GHz,2,1052,2105,2
43,Genuine Intel(R) CPU 0000 @ 1.50GHz,2,1051,2084,2
44,Genuine Intel(R) CPU 0000 @ 1.50GHz,2,1034,2060,2
45,Genuine Intel(R) CPU 0000 @ 1.60GHz,4,577,1933,4
46,Genuine Intel(R) CPU 0000 @ 2.60GHz,1,1213,1170,6
47,Genuine Intel(R) CPU 0000 @ 2.60GHz,1,961,1158,6
48,Genuine Intel(R) CPU 0000 @ 2.60GHz,1,1123,1142,6
49,Genuine Intel(R) CPU 0000 @ 2.10GHz,1,942,942,1
50,Genuine Intel(R) CPU 0000 @ 2.10GHz,1,824,824,1
51,Genuine Intel(R) CPU 0000 @ 2.10GHz,1,820,820,1
52,Genuine Intel(R) CPU 0000 @ 2.10GHz,1,809,809,1
