排名,CPU型号,CPU核心数,单核得分,多核得分,多核线程数
1,Genuine Intel(R) CPU @ 2.20GHz,2,626,1277,2
2,Genuine Intel(R) CPU @ 2.20GHz,2,676,1276,2
3,Genuine Intel(R) CPU @ 2.20GHz,2,627,1245,2
4,Genuine Intel(R) CPU @ 2.20GHz,2,591,1168,2
5,Genuine Intel(R) CPU @ 2.20GHz,2,603,1161,2
6,Genuine Intel(R) CPU @ 2.20GHz,2,585,1152,2
7,Genuine Intel(R) CPU @ 2.20GHz,2,566,1151,2
8,Genuine Intel(R) CPU @ 2.20GHz,1,588,588,1
9,Genuine Intel(R) CPU @ 2.20GHz,1,574,574,1
10,Genuine Intel(R) CPU @ 2.20GHz,1,571,571,1
11,Genuine Intel(R) CPU @ 2.20GHz,1,556,556,1
12,Genuine Intel(R) CPU @ 2.20GHz,1,545,545,1
13,Genuine Intel(R) CPU @ 2.20GHz,1,536,536,1
14,Genuine Intel(R) CPU @ 2.20GHz,2,188,380,2
15,Genuine Intel(R) CPU @ 2.20GHz,2,189,354,2
16,Genuine Intel(R) CPU @ 2.20GHz,2,161,343,2
