排名,CPU型号,CPU核心数,单核得分,多核得分,多核线程数
1,Intel(R) Atom(TM) CPU C2338 @ 1.74GHz,2,407,810,2
2,Intel(R) Atom(TM) CPU C2338 @ 1.74GHz,1,362,726,2
3,Intel(R) Atom(TM) CPU C2338 @ 1.74GHz,2,362,726,2
4,Intel(R) Atom(TM) CPU C2338 @ 1.74GHz,1,363,726,2
5,Intel(R) Atom(TM) CPU C2338 @ 1.74GHz,1,362,725,2
6,Intel(R) Atom(TM) CPU C2338 @ 1.74GHz,1,363,725,2
7,Intel(R) Atom(TM) CPU C2338 @ 1.74GHz,1,363,725,2
8,Intel(R) Atom(TM) CPU  C2338  @ 1.74GHz,2,362,725,2
9,Intel(R) Atom(TM) CPU C2338 @ 1.74GHz,1,363,725,2
10,Intel(R) Atom(TM) CPU C2338 @ 1.74GHz,1,363,724,2
11,Intel(R) Atom(TM) CPU C2338 @ 1.74GHz,2,361,723,2
12,Intel(R) Atom(TM) CPU C2338 @ 1.74GHz,1,363,722,2
13,Intel(R) Atom(TM) CPU C2338 @ 1.74GHz,1,363,722,2
14,Intel(R) Atom(TM) CPU C2338 @ 1.74GHz,1,363,722,2
15,Intel(R) Atom(TM) CPU C2338 @ 1.74GHz,2,361,720,2
16,Intel(R) Atom(TM) CPU C2338 @ 1.74GHz,2,360,720,2
17,Intel(R) Atom(TM) CPU C2338 @ 1.74GHz,2,362,719,2
18,Intel(R) Atom(TM) CPU C2338 @ 1.74GHz,1,362,719,2
19,Intel(R) Atom(TM) CPU C2338 @ 1.74GHz,1,359,718,2
20,Intel(R) Atom(TM) CPU C2338 @ 1.74GHz,1,359,718,2
21,Intel(R) Atom(TM) CPU C2338 @ 1.74GHz,1,363,717,2
22,Intel(R) Atom(TM) CPU C2338 @ 1.74GHz,1,358,717,2
23,Intel(R) Atom(TM) CPU C2338 @ 1.74GHz,1,359,717,2
24,Intel(R) Atom(TM) CPU C2338 @ 1.74GHz,1,358,717,2
25,Intel(R) Atom(TM) CPU C2338 @ 1.74GHz,1,358,716,2
26,Intel(R) Atom(TM) CPU C2338 @ 1.74GHz,1,358,715,2
27,Intel(R) Atom(TM) CPU C2338 @ 1.74GHz,2,361,715,2
28,Intel(R) Atom(TM) CPU C2338 @ 1.74GHz,1,359,715,2
29,Intel(R) Atom(TM) CPU C2338 @ 1.74GHz,1,359,714,2
30,Intel(R) Atom(TM) CPU C2338 @ 1.74GHz,1,358,714,2
31,Intel(R) Atom(TM) CPU C2338 @ 1.74GHz,1,359,708,2
32,Intel(R) Atom(TM) CPU C2338 @ 1.74GHz,1,357,704,2
33,Intel(R) Atom(TM) CPU C2338 @ 1.74GHz,1,359,704,2
34,Intel(R) Atom(TM) CPU C2338 @ 1.74GHz,1,361,698,2
35,Intel(R) Atom(TM) CPU C2338 @ 1.74GHz,1,355,698,2
36,Intel(R) Atom(TM) CPU C2338 @ 1.74GHz,1,357,697,2
37,Intel(R) Atom(TM) CPU C2338 @ 1.74GHz,1,357,697,2
38,Intel(R) Atom(TM) CPU C2338 @ 1.74GHz,1,358,696,2
39,Intel(R) Atom(TM) CPU C2338 @ 1.74GHz,1,360,696,2
40,Intel(R) Atom(TM) CPU C2338 @ 1.74GHz,1,357,695,2
41,Intel(R) Atom(TM) CPU C2338 @ 1.74GHz,1,360,695,2
42,Intel(R) Atom(TM) CPU C2338 @ 1.74GHz,1,359,694,2
43,Intel(R) Atom(TM) CPU C2338 @ 1.74GHz,1,359,693,2
44,Intel(R) Atom(TM) CPU C2338 @ 1.74GHz,1,357,693,2
45,Intel(R) Atom(TM) CPU C2338 @ 1.74GHz,1,359,693,2
46,Intel(R) Atom(TM) CPU C2338 @ 1.74GHz,1,359,692,2
47,Intel(R) Atom(TM) CPU  C2338  @ 1.74GHz,2,361,692,2
48,Intel(R) Atom(TM) CPU C2338 @ 1.74GHz,1,352,691,2
