排名,CPU型号,CPU核心数,单核得分,多核得分,多核线程数
1,Intel(R) Celeron(R) CPU 1037U @ 1.80GHz,1,569,1139,2
2,Intel(R) Celeron(R) CPU 1037U @ 1.80GHz,1,571,1138,2
3,Intel(R) Celeron(R) CPU 1037U @ 1.80GHz,1,571,1128,2
4,Intel(R) Celeron(R) CPU 1037U @ 1.80GHz,2,575,1110,2
5,Intel(R) Celeron(R) CPU 1037U @ 1.80GHz,1,570,1094,2
6,Intel(R) Celeron(R) CPU 1037U @ 1.80GHz,2,553,1026,2
7,Intel(R) Celeron(R) CPU 1037U @ 1.80GHz,1,505,1000,2
8,Intel(R) Celeron(R) CPU 1037U @ 1.80GHz,1,503,986,2
9,Intel(R) Celeron(R) CPU 1037U @ 1.80GHz,1,502,962,2
10,Intel(R) Celeron(R) CPU 1037U @ 1.80GHz,2,567,935,2
11,Intel(R) Celeron(R) CPU 1037U @ 1.80GHz,1,492,896,2
12,Intel(R) Celeron(R) CPU 1037U @ 1.80GHz,1,490,490,1
13,Intel(R) Celeron(R) CPU 1037U @ 1.80GHz,1,425,425,1
