排名,CPU型号,CPU核心数,单核得分,多核得分,多核线程数
1,Intel(R) Celeron(R) CPU J1900 @ 1.99GHz,1,501,2000,4
2,Intel(R) Celeron(R) CPU J1900 @ 1.99GHz,1,497,1996,4
3,Intel(R) Celeron(R) CPU J1900 @ 1.99GHz,1,500,1987,4
4,Intel(R) Celeron(R) CPU J1900 @ 1.99GHz,1,500,1984,4
5,Intel(R) Celeron(R) CPU J1900 @ 1.99GHz,4,498,1984,4
6,Intel(R) Celeron(R) CPU J1900 @ 1.99GHz,4,498,1983,4
7,Intel(R) Celeron(R) CPU J1900 @ 1.99GHz,4,499,1983,4
8,Intel(R) Celeron(R) CPU J1900 @ 1.99GHz,4,499,1983,4
9,Intel(R) Celeron(R) CPU J1900 @ 1.99GHz,1,496,1972,4
10,Intel(R) Celeron(R) CPU J1900 @ 1.99GHz,4,497,1969,4
11,Intel(R) Celeron(R) CPU J1900 @ 1.99GHz,4,497,1968,4
12,Intel(R) Celeron(R) CPU J1900 @ 1.99GHz,4,496,1967,4
13,Intel(R) Celeron(R) CPU J1900 @ 1.99GHz,4,496,1965,4
14,Intel(R) Celeron(R) CPU J1900 @ 1.99GHz,1,499,1962,4
15,Intel(R) Celeron(R) CPU J1900 @ 1.99GHz,1,500,1962,4
16,Intel(R) Celeron(R) CPU J1900 @ 1.99GHz,1,497,1961,4
17,Intel(R) Celeron(R) CPU J1900 @ 1.99GHz,1,498,1957,4
18,Intel(R) Celeron(R) CPU J1900 @ 1.99GHz,1,498,1953,4
19,Intel(R) Celeron(R) CPU J1900 @ 1.99GHz,1,495,1953,4
20,Intel(R) Celeron(R) CPU J1900 @ 1.99GHz,1,495,1952,4
21,Intel(R) Celeron(R) CPU J1900 @ 1.99GHz,4,497,1949,4
22,Intel(R) Celeron(R) CPU J1900 @ 1.99GHz,1,496,1923,4
23,Intel(R) Celeron(R) CPU J1900 @ 1.99GHz,4,493,1919,4
24,Intel(R) Celeron(R) CPU J1900 @ 1.99GHz,1,500,1886,4
25,Intel(R) Celeron(R) CPU J1900 @ 1.99GHz,1,500,1879,4
26,Intel(R) Celeron(R) CPU J1900 @ 1.99GHz,4,497,1856,4
27,Intel(R) Celeron(R) CPU J1900 @ 1.99GHz,1,497,1847,4
28,Intel(R) Celeron(R) CPU J1900 @ 1.99GHz,1,496,1779,4
29,Intel(R) Celeron(R) CPU J1900 @ 1.99GHz,1,415,1658,4
30,Intel(R) Celeron(R) CPU J1900 @ 1.99GHz,1,414,1658,4
31,Intel(R) Celeron(R) CPU J1900 @ 1.99GHz,1,415,1657,4
32,Intel(R) Celeron(R) CPU J1900 @ 1.99GHz,4,411,1632,4
33,Intel(R) Celeron(R) CPU J1900 @ 1.99GHz,4,411,1631,4
34,Intel(R) Celeron(R) CPU J1900 @ 1.99GHz,1,414,1617,4
35,Intel(R) Celeron(R) CPU J1900 @ 1.99GHz,1,414,1610,4
36,Intel(R) Celeron(R) CPU J1900 @ 1.99GHz,1,411,1602,4
37,Intel(R) Celeron(R) CPU J1900 @ 1.99GHz,1,411,1593,4
38,Intel(R) Celeron(R) CPU J1900 @ 1.99GHz,1,413,1583,4
39,Intel(R) Celeron(R) CPU J1900 @ 1.99GHz,1,411,1581,4
40,Intel(R) Celeron(R) CPU J1900 @ 1.99GHz,4,492,1577,4
41,Intel(R) Celeron(R) CPU J1900 @ 1.99GHz,1,496,1563,4
42,Intel(R) Celeron(R) CPU J1900 @ 1.99GHz,4,495,1514,4
43,Intel(R) Celeron(R) CPU J1900 @ 1.99GHz,1,498,1504,4
44,Intel(R) Celeron(R) CPU J1900 @ 1.99GHz,1,410,1486,4
45,Intel(R) Celeron(R) CPU J1900 @ 1.99GHz,1,410,1465,4
46,Intel(R) Celeron(R) CPU J1900 @ 1.99GHz,4,479,1273,4
47,Intel(R) Celeron(R) CPU J1900 @ 1.99GHz,4,416,1226,4
48,Intel(R) Celeron(R) CPU J1900 @ 1.99GHz,4,471,1083,4
49,Intel(R) Celeron(R) CPU J1900 @ 1.99GHz,4,236,1032,4
50,Intel(R) Celeron(R) CPU J1900 @ 1.99GHz,2,407,815,2
51,Intel(R) Celeron(R) CPU J1900 @ 1.99GHz,2,406,810,2
52,Intel(R) Celeron(R) CPU J1900 @ 1.99GHz,2,406,810,2
53,Intel(R) Celeron(R) CPU J1900 @ 1.99GHz,2,465,753,2
