排名,CPU型号,CPU核心数,单核得分,多核得分,多核线程数
1,Intel(R) Celeron(R) J4105 CPU @ 1.50GHz,1,1482,5733,4
2,Intel(R) Celeron(R) J4105 CPU @ 1.50GHz,1,1475,5731,4
3,Intel(R) Celeron(R) J4105 CPU @ 1.50GHz,1,1437,5730,4
4,Intel(R) Celeron(R) J4105 CPU @ 1.50GHz,1,1473,5722,4
5,Intel(R) Celeron(R) J4105 CPU @ 1.50GHz,1,1474,5712,4
6,Intel(R) Celeron(R) J4105 CPU @ 1.50GHz,1,1475,5698,4
7,Intel(R) Celeron(R) J4105 CPU @ 1.50GHz,4,1473,5674,4
8,Intel(R) Celeron(R) J4105 CPU @ 1.50GHz,1,1470,5672,4
9,Intel(R) Celeron(R) J4105 CPU @ 1.50GHz,1,1470,5663,4
10,Intel(R) Celeron(R) J4105 CPU @ 1.50GHz,1,1472,5662,4
11,Intel(R) Celeron(R) J4105 CPU @ 1.50GHz,1,1438,5628,4
12,Intel(R) Celeron(R) J4105 CPU @ 1.50GHz,1,1470,5599,4
13,Intel(R) Celeron(R) J4105 CPU @ 1.50GHz,1,1462,5554,4
14,Intel(R) Celeron(R) J4105 CPU @ 1.50GHz,4,1474,5491,4
15,Intel(R) Celeron(R) J4105 CPU @ 1.50GHz,1,1472,5459,4
16,Intel(R) Celeron(R) J4105 CPU @ 1.50GHz,4,1424,5422,4
17,Intel(R) Celeron(R) J4105 CPU @ 1.50GHz,1,1417,5408,4
18,Intel(R) Celeron(R) J4105 CPU @ 1.50GHz,4,1423,5389,4
19,Intel(R) Celeron(R) J4105 CPU @ 1.50GHz,1,1466,5278,4
20,Intel(R) Celeron(R) J4105 CPU @ 1.50GHz,4,1413,5026,4
