排名,CPU型号,CPU核心数,单核得分,多核得分,多核线程数
1,Intel(R) Celeron(R) N5105 @ 2.00GHz,4,1851,6519,4
2,Intel(R) Celeron(R) N5105 @ 2.00GHz,1,1778,6865,4
3,Intel(R) Celeron(R) N5105 @ 2.00GHz,1,1776,6848,4
4,Intel(R) Celeron(R) N5105 @ 2.00GHz,1,1775,6866,4
5,Intel(R) Celeron(R) N5105 @ 2.00GHz,4,1774,6867,4
6,Intel(R) Celeron(R) N5105 @ 2.00GHz,1,1770,6713,4
7,Intel(R) Celeron(R) N5105 @ 2.00GHz,1,1770,5350,4
8,Intel(R) Celeron(R) N5105 @ 2.00GHz,1,1770,6703,4
9,Intel(R) Celeron(R) N5105 @ 2.00GHz,1,1753,6609,4
10,Intel(R) Celeron(R) N5105 @ 2.00GHz,1,1752,5022,4
11,Intel(R) Celeron(R) N5105 @ 2.00GHz,4,1743,6784,4
12,Intel(R) Celeron(R) N5105 @ 2.00GHz,4,1732,6539,4
13,Intel(R) Celeron(R) N5105 @ 2.00GHz,4,1728,6773,4
14,Intel(R) Celeron(R) N5105 @ 2.00GHz,4,1727,6764,4
15,Intel(R) Celeron(R) N5105 @ 2.00GHz,4,1726,6673,4
16,Intel(R) Celeron(R) N5105 @ 2.00GHz,4,1726,6806,4
17,Intel(R) Celeron(R) N5105 @ 2.00GHz,4,1725,6688,4
18,Intel(R) Celeron(R) N5105 @ 2.00GHz,4,1723,6804,4
19,Intel(R) Celeron(R) N5105 @ 2.00GHz,4,1718,6485,4
20,Intel(R) Celeron(R) N5105 @ 2.00GHz,4,1718,6350,4
21,Intel(R) Celeron(R) N5105 @ 2.00GHz,1,1717,6675,4
22,Intel(R) Celeron(R) N5105 @ 2.00GHz,4,1717,5946,4
23,Intel(R) Celeron(R) N5105 @ 2.00GHz,2,1716,3262,2
24,Intel(R) Celeron(R) N5105 @ 2.00GHz,1,1716,5629,4
25,Intel(R) Celeron(R) N5105 @ 2.00GHz,4,1716,6848,4
26,Intel(R) Celeron(R) N5105 @ 2.00GHz,2,1714,3417,2
27,Intel(R) Celeron(R) N5105 @ 2.00GHz,4,1714,6374,4
28,Intel(R) Celeron(R) N5105 @ 2.00GHz,2,1712,3360,2
29,Intel(R) Celeron(R) N5105 @ 2.00GHz,4,1707,5918,4
30,Intel(R) Celeron(R) N5105 @ 2.00GHz,2,1700,3365,2
31,Intel(R) Celeron(R) N5105 @ 2.00GHz,2,1700,3404,2
32,Intel(R) Celeron(R) N5105 @ 2.00GHz,2,1696,3401,2
33,Intel(R) Celeron(R) N5105 @ 2.00GHz,4,1695,3402,4
34,Intel(R) Celeron(R) N5105 @ 2.00GHz,2,1695,3365,2
35,Intel(R) Celeron(R) N5105 @ 2.00GHz,4,1688,6530,4
36,Intel(R) Celeron(R) N5105 @ 2.00GHz,2,1686,3087,2
37,Intel(R) Celeron(R) N5105 @ 2.00GHz,4,1672,5202,4
38,Intel(R) Celeron(R) N5105 @ 2.00GHz,4,1665,5681,4
39,Intel(R) Celeron(R) N5105 @ 2.00GHz,1,1562,1562,1
40,Intel(R) Celeron(R) N5105 @ 2.00GHz,4,1554,5352,4
41,Intel(R) Celeron(R) N5105 @ 2.00GHz,4,1233,4899,4
42,Intel(R) Celeron(R) N5105 @ 2.00GHz,2,1222,2440,2
43,Intel(R) Celeron(R) N5105 @ 2.00GHz,4,1184,4913,4
44,Intel(R) Celeron(R) N5105 @ 2.00GHz,1,930,930,1
