排名,CPU型号,CPU核心数,单核得分,多核得分,多核线程数
1,Intel(R) Core(TM) i3-N305,1,3705,23363,8
2,Intel(R) Core(TM) i3-N305,8,3429,23286,8
3,Intel(R) Core(TM) i3-N305 @ 1804.799 MHz,8,3332,22956,8
4,Intel(R) Core(TM) i3-N305,8,3480,22532,8
5,Intel(R) Core(TM) i3-N305,8,2928,17027,8
6,Intel(R) Core(TM) i3-N305,8,3699,15647,8
7,Intel(R) Core(TM) i3-N305,4,3669,13318,4
8,Intel(R) Core(TM) i3-N305,8,3355,12893,8
9,Intel(R) Core(TM) i3-N305,8,2985,11651,8
10,Intel(R) Core(TM) i3-N305,2,3339,6418,2
11,Intel(R) Core(TM) i3-N305,2,3107,6215,2
12,Intel(R) Core(TM) i3-N305,8,3455,3683,8
13,Intel(R) Core(TM) i3-N305,8,3140,3140,1
