排名,CPU型号,CPU核心数,单核得分,多核得分,多核线程数
1,Intel(R) Core(TM) i5-5200U CPU @ 2.20GHz,1,908,2576,4
2,Intel(R) Core(TM) i5-5200U CPU @ 2.20GHz,4,866,2573,4
3,Intel(R) Core(TM) i5-5200U CPU @ 2.20GHz,1,862,2573,4
4,Intel(R) Core(TM) i5-5200U CPU @ 2.20GHz,1,869,2572,4
5,Intel(R) Core(TM) i5-5200U CPU @ 2.20GHz,1,904,2571,4
6,Intel(R) Core(TM) i5-5200U CPU @ 2.20GHz,4,868,2549,4
7,Intel(R) Core(TM) i5-5200U CPU @ 2.20GHz,1,908,2542,4
8,Intel(R) Core(TM) i5-5200U CPU @ 2.20GHz,4,876,2483,4
9,Intel(R) Core(TM) i5-5200U CPU @ 2.20GHz,1,867,2462,4
10,Intel(R) Core(TM) i5-5200U CPU @ 2.20GHz,1,913,2462,4
11,Intel(R) Core(TM) i5-5200U CPU @ 2.20GHz,1,868,2460,4
12,Intel(R) Core(TM) i5-5200U CPU @ 2.20GHz,1,903,2436,4
13,Intel(R) Core(TM) i5-5200U CPU @ 2.20GHz,1,835,2407,4
14,Intel(R) Core(TM) i5-5200U CPU @ 2.20GHz,1,740,2203,4
