排名,CPU型号,CPU核心数,单核得分,多核得分,多核线程数
1,Intel(R) Core(TM) i7-7700K CPU @ 4.20GHz,1,1520,10128,8
2,Intel(R) Core(TM) i7-7700K CPU @ 4.20GHz,1,1505,9959,8
3,Intel(R) Core(TM) i7-7700K CPU @ 4.20GHz,1,1497,9895,8
4,Intel(R) Core(TM) i7-7700K CPU @ 4.20GHz,1,1485,9830,8
5,Intel(R) Core(TM) i7-7700K CPU @ 4.20GHz,1,1484,9858,8
6,Intel(R) Core(TM) i7-7700K CPU @ 4.20GHz,1,1472,9838,8
7,Intel(R) Core(TM) i7-7700K CPU @ 4.20GHz,8,1461,9486,8
8,Intel(R) Core(TM) i7-7700K CPU @ 4.20GHz,2,1387,2817,2
9,Intel(R) Core(TM) i7-7700K CPU @ 4.20GHz,8,1097,5922,8
10,Intel(R) Core(TM) i7-7700K CPU @ 4.20GHz,1,1035,6059,8
