排名,CPU型号,CPU核心数,单核得分,多核得分,多核线程数
1,Intel(R) Core(TM) i7-7700T CPU @ 2.90GHz,1,1294,8285,8
2,Intel(R) Core(TM) i7-7700T CPU @ 2.90GHz,1,1253,7976,8
3,Intel(R) Core(TM) i7-7700T CPU @ 2.90GHz,2,1214,2449,2
4,Intel(R) Core(TM) i7-7700T CPU @ 2.90GHz,2,1210,2370,2
5,Intel(R) Core(TM) i7-7700T CPU @ 2.90GHz,2,1210,2363,2
6,Intel(R) Core(TM) i7-7700T CPU @ 2.90GHz,2,1216,2342,2
7,Intel(R) Core(TM) i7-7700T CPU @ 2.90GHz,2,1172,2324,2
8,Intel(R) Core(TM) i7-7700T CPU @ 2.90GHz,2,1173,2306,2
9,Intel(R) Core(TM) i7-7700T CPU @ 2.90GHz,2,1190,2306,2
10,Intel(R) Core(TM) i7-7700T CPU @ 2.90GHz,2,1105,2243,2
11,Intel(R) Core(TM) i7-7700T CPU @ 2.90GHz,2,1122,2218,2
12,Intel(R) Core(TM) i7-7700T CPU @ 2.90GHz,2,1126,2205,2
13,Intel(R) Core(TM) i7-7700T CPU @ 2.90GHz,2,1107,2204,2
14,Intel(R) Core(TM) i7-7700T CPU @ 2.90GHz,2,1078,1879,2
15,Intel(R) Core(TM) i7-7700T CPU @ 2.90GHz,2,861,1814,2
16,Intel(R) Core(TM) i7-7700T CPU @ 2.90GHz,2,873,1779,2
17,Intel(R) Core(TM) i7-7700T CPU @ 2.90GHz,2,895,1690,2
18,Intel(R) Core(TM) i7-7700T CPU @ 2.90GHz,2,745,1592,2
19,Intel(R) Core(TM) i7-7700T CPU @ 2.90GHz,2,874,1460,2
20,Intel(R) Core(TM) i7-7700T CPU @ 2.90GHz,2,802,1394,2
21,Intel(R) Core(TM) i7-7700T CPU @ 2.90GHz,2,566,1043,2
22,Intel(R) Core(TM) i7-7700T CPU @ 2.90GHz,2,448,851,2
23,Intel(R) Core(TM) i7-7700T CPU @ 2.90GHz,2,457,757,2
