排名,CPU型号,CPU核心数,单核得分,多核得分,多核线程数
1,Intel(R) Core(TM) i9-10900K CPU @ 3.70GHz,1,1661,27314,20
2,Intel(R) Core(TM) i9-10900K CPU @ 3.70GHz,1,1513,26650,20
3,Intel(R) Core(TM) i9-10900K CPU @ 3.70GHz,4,1508,5822,4
4,Intel(R) Core(TM) i9-10900K CPU @ 3.70GHz,4,962,3842,4
5,Intel(R) Core(TM) i9-10900K CPU @ 3.70GHz,2,1730,3423,2
6,Intel(R) Core(TM) i9-10900K CPU @ 3.70GHz,1,1769,1769,1
7,Intel(R) Core(TM) i9-10900K CPU @ 3.70GHz,1,1674,1674,1
8,Intel(R) Core(TM) i9-10900K CPU @ 3.70GHz,1,1332,1332,1
9,Intel(R) Core(TM) i9-10900K CPU @ 3.70GHz,1,1274,1274,1
10,Intel(R) Core(TM) i9-10900K CPU @ 3.70GHz,1,1013,1013,1
