排名,CPU型号,CPU核心数,单核得分,多核得分,多核线程数
1,Intel(R) Core(TM) i9-10980XE CPU @ 3.00GHz,2,1364,2004,2
2,Intel(R) Core(TM) i9-10980XE CPU @ 3.00GHz,1,1352,1352,1
3,Intel(R) Core(TM) i9-10980XE CPU @ 3.00GHz,1,1292,1292,1
4,Intel(R) Core(TM) i9-10980XE CPU @ 3.00GHz,2,1283,2078,2
5,Intel(R) Core(TM) i9-10980XE CPU @ 3.00GHz,1,1276,1276,1
6,Intel(R) Core(TM) i9-10980XE CPU @ 3.00GHz,1,1270,1270,1
7,Intel(R) Core(TM) i9-10980XE CPU @ 3.00GHz,1,1266,1266,1
8,Intel(R) Core(TM) i9-10980XE CPU @ 3.00GHz,1,1265,1265,1
9,Intel(R) Core(TM) i9-10980XE CPU @ 3.00GHz,1,1238,1238,1
10,Intel(R) Core(TM) i9-10980XE CPU @ 3.00GHz,1,1231,1231,1
