排名,CPU型号,CPU核心数,单核得分,多核得分,多核线程数
1,Intel(R) Core(TM) i9-14900K,1,5137,103853,24
2,Intel(R) Core(TM) i9-14900K,1,4938,41335,16
3,Intel(R) Core(TM) i9-14900K,1,4902,40955,16
4,Intel(R) Core(TM) i9-14900K,32,4895,109929,32
5,Intel(R) Core(TM) i9-14900K,4,4888,19216,4
6,Intel(R) Core(TM) i9-14900K,4,4883,19394,4
7,Intel(R) Core(TM) i9-14900K,4,4883,19367,4
8,Intel(R) Core(TM) i9-14900K,4,4880,19229,4
9,Intel(R) Core(TM) i9-14900K,4,4879,17891,4
10,Intel(R) Core(TM) i9-14900K,2,4874,9736,2
11,Intel(R) Core(TM) i9-14900K,2,4861,9496,2
12,Intel(R) Core(TM) i9-14900K,1,4833,101513,48
13,Intel(R) Core(TM) i9-14900K,4,4833,19089,4
14,Intel(R) Core(TM) i9-14900K,2,4727,9522,2
15,Intel(R) Core(TM) i9-14900K,32,4701,105457,32
16,Intel(R) Core(TM) i9-14900K,2,4647,9178,2
17,Intel(R) Core(TM) i9-14900K,2,4611,9146,2
18,Intel(R) Core(TM) i9-14900K,4,4610,17298,4
19,Intel(R) Core(TM) i9-14900K,2,4511,8349,2
20,Intel(R) Core(TM) i9-14900K,2,4481,8675,2
21,Intel(R) Core(TM) i9-14900K,4,4197,15445,4
22,Intel(R) Core(TM) i9-14900K,32,4128,102617,32
23,Intel(R) Core(TM) i9-14900K,1,4055,38633,16
24,Intel(R) Core(TM) i9-14900K,4,3845,14727,4
25,Intel(R) Core(TM) i9-14900K,4,3835,15067,4
26,Intel(R) Core(TM) i9-14900K,6,3801,20609,6
27,Intel(R) Core(TM) i9-14900K,4,3799,15056,4
28,Intel(R) Core(TM) i9-14900K,6,3751,19408,6
29,Intel(R) Core(TM) i9-14900K,16,3711,50054,16
30,Intel(R) Core(TM) i9-14900K,6,3682,20342,6
31,Intel(R) Core(TM) i9-14900K,8,3663,27846,8
32,Intel(R) Core(TM) i9-14900K,6,3645,20292,6
33,Intel(R) Core(TM) i9-14900K,8,3578,27812,8
34,Intel(R) Core(TM) i9-14900K,16,3568,50293,16
35,Intel(R) Core(TM) i9-14900K,8,3520,28005,8
36,Intel(R) Core(TM) i9-14900K,6,3512,20896,6
37,Intel(R) Core(TM) i9-14900K,8,3489,29587,8
38,Intel(R) Core(TM) i9-14900K,16,3468,53677,16
39,Intel(R) Core(TM) i9-14900K,4,3451,13678,4
40,Intel(R) Core(TM) i9-14900K,8,3446,28022,8
41,Intel(R) Core(TM) i9-14900K,8,3444,28786,8
42,Intel(R) Core(TM) i9-14900K,16,3443,58301,16
43,Intel(R) Core(TM) i9-14900K,16,3437,58411,16
44,Intel(R) Core(TM) i9-14900K,4,3434,13678,4
45,Intel(R) Core(TM) i9-14900K,16,3434,46452,16
46,Intel(R) Core(TM) i9-14900K,6,3419,20412,6
47,Intel(R) Core(TM) i9-14900K,6,3418,20793,6
48,Intel(R) Core(TM) i9-14900K,6,3417,20398,6
49,Intel(R) Core(TM) i9-14900K,8,3415,27918,8
50,Intel(R) Core(TM) i9-14900K,6,3414,16401,6
51,Intel(R) Core(TM) i9-14900K,6,3413,20387,6
52,Intel(R) Core(TM) i9-14900K,8,3411,27388,8
53,Intel(R) Core(TM) i9-14900K,6,3410,17653,6
54,Intel(R) Core(TM) i9-14900K,8,3409,27430,8
55,Intel(R) Core(TM) i9-14900K,6,3407,20435,6
56,Intel(R) Core(TM) i9-14900K,6,3403,20686,6
57,Intel(R) Core(TM) i9-14900K,4,3399,13630,4
58,Intel(R) Core(TM) i9-14900K,6,3399,21069,6
59,Intel(R) Core(TM) i9-14900K,6,3396,19204,6
60,Intel(R) Core(TM) i9-14900K,6,3395,18621,6
61,Intel(R) Core(TM) i9-14900K,6,3394,20560,6
62,Intel(R) Core(TM) i9-14900K,16,3393,56245,16
63,Intel(R) Core(TM) i9-14900K,6,3393,21064,6
64,Intel(R) Core(TM) i9-14900K,6,3385,21043,6
65,Intel(R) Core(TM) i9-14900K,6,3384,21166,6
66,Intel(R) Core(TM) i9-14900K,16,3380,44532,16
67,Intel(R) Core(TM) i9-14900K,6,3379,16804,6
68,Intel(R) Core(TM) i9-14900K,6,3376,19689,6
69,Intel(R) Core(TM) i9-14900K,6,3373,21330,6
70,Intel(R) Core(TM) i9-14900K,6,3366,20750,6
71,Intel(R) Core(TM) i9-14900K,16,3361,26813,16
72,Intel(R) Core(TM) i9-14900K,6,3350,19275,6
73,Intel(R) Core(TM) i9-14900K,6,3330,20164,6
74,Intel(R) Core(TM) i9-14900K,6,3327,15339,6
75,Intel(R) Core(TM) i9-14900K,6,3306,19924,6
76,Intel(R) Core(TM) i9-14900K,6,3294,17425,6
77,Intel(R) Core(TM) i9-14900K,16,3289,37383,16
78,Intel(R) Core(TM) i9-14900K,6,3242,18889,6
79,Intel(R) Core(TM) i9-14900K,16,3216,29471,16
80,Intel(R) Core(TM) i9-14900K,6,3193,16959,6
81,Intel(R) Core(TM) i9-14900K,6,3190,16761,6
82,Intel(R) Core(TM) i9-14900K,6,3160,16016,6
83,Intel(R) Core(TM) i9-14900K,1,809,837,16
84,Intel(R) Core(TM) i9-14900K,1,702,837,16
