排名,CPU型号,CPU核心数,单核得分,多核得分,多核线程数
1,Intel(R) N100,1,3330,11453,4
2,Intel(R) N100,1,3345,11422,4
3,Intel(R) N100,1,3356,11403,4
4,Intel(R) N100,1,3255,11395,4
5,Intel(R) N100,1,3347,11387,4
6,Intel(R) N100,1,3325,11384,4
7,Intel(R) N100,1,3333,11374,4
8,Intel(R) N100,1,3336,11372,4
9,Intel(R) N100,1,3330,11370,4
10,Intel(R) N100,1,3355,11369,4
11,Intel(R) N100,1,3325,11367,4
12,Intel(R) N100,1,3324,11346,4
13,Intel(R) N100,1,3346,11341,4
14,Intel(R) N100,1,3310,11341,4
15,Intel(R) N100,1,3345,11328,4
16,Intel(R) N100,1,3325,11324,4
17,Intel(R) N100,1,3323,11321,4
18,Intel(R) N100,1,3331,11316,4
19,Intel(R) N100,1,3338,11305,4
20,Intel(R) N100,1,3329,11301,4
21,Intel(R) N100,1,3329,11300,4
22,Intel(R) N100,4,3316,11299,4
23,Intel(R) N100,1,3343,11298,4
24,Intel(R) N100,1,3336,11297,4
25,Intel(R) N100,1,3327,11296,4
26,Intel(R) N100,1,3320,11292,4
27,Intel(R) N100,1,3330,11286,4
28,Intel(R) N100,4,3332,11279,4
29,Intel(R) N100,1,3315,11277,4
30,Intel(R) N100,1,3321,11276,4
31,Intel(R) N100,1,3311,11274,4
32,Intel(R) N100,1,3320,11270,4
33,Intel(R) N100,1,3326,11265,4
34,Intel(R) N100,1,3322,11259,4
35,Intel(R) N100,1,3320,11258,4
36,Intel(R) N100,1,3321,11254,4
37,Intel(R) N100,1,3311,11243,4
38,Intel(R) N100,1,3343,11234,4
39,Intel(R) N100,4,3312,11232,4
40,Intel(R) N100,4,2948,11226,4
41,Intel(R) N100,1,3313,11210,4
42,Intel(R) N100,1,3318,11209,4
43,Intel(R) N100,1,3315,11200,4
44,Intel(R) N100,1,3312,11196,4
45,Intel(R) N100,1,3344,11183,4
46,Intel(R) N100,1,3319,11183,4
47,Intel(R) N100,1,3248,11180,4
48,Intel(R) N100,1,3301,11174,4
49,Intel(R) N100,4,3292,11173,4
50,Intel(R) N100,1,3304,11172,4
51,Intel(R) N100,4,3331,11170,4
52,Intel(R) N100,4,2868,11162,4
53,Intel(R) N100,1,3312,11160,4
54,Intel(R) N100,4,3300,11154,4
55,Intel(R) N100,1,3213,11131,4
56,Intel(R) N100,1,3291,11128,4
57,Intel(R) N100,1,3318,11127,4
58,Intel(R) N100,1,3315,11114,4
59,Intel(R) N100,4,3327,11110,4
60,Intel(R) N100,1,3336,11100,4
61,Intel(R) N100,4,3201,11084,4
62,Intel(R) N100,4,3165,11081,4
63,Intel(R) N100,4,3033,11079,4
64,Intel(R) N100,1,3294,11075,4
65,Intel(R) N100,4,3307,11071,4
66,Intel(R) N100,1,3235,11059,4
67,Intel(R) N100,1,3136,11052,4
68,Intel(R) N100,1,3274,11035,4
69,Intel(R) N100,4,2974,11012,4
70,Intel(R) N100,4,3239,10997,4
71,Intel(R) N100,4,3297,10966,4
72,Intel(R) N100,4,2981,10946,4
73,Intel(R) N100,1,3203,10923,4
74,Intel(R) N100,1,3300,10843,4
75,Intel(R) N100,4,3072,10836,4
76,Intel(R) N100,4,2861,10799,4
77,Intel(R) N100,4,3041,10764,4
78,Intel(R) N100,4,3203,10745,4
79,Intel(R) N100,4,3335,10739,4
80,Intel(R) N100,4,2842,10695,4
81,Intel(R) N100,1,3149,10653,4
82,Intel(R) N100,1,3251,10605,4
83,Intel(R) N100,1,2962,10603,4
84,Intel(R) N100,1,3245,10602,4
85,Intel(R) N100,1,3158,10523,4
86,Intel(R) N100,4,3000,10517,4
87,Intel(R) N100,4,3132,10469,4
88,Intel(R) N100,1,2857,10466,4
89,Intel(R) N100,4,2858,10433,4
90,Intel(R) N100,1,3131,10432,4
91,Intel(R) N100,4,3184,10419,4
92,Intel(R) N100,1,3153,10278,4
93,Intel(R) N100,4,2866,10243,4
94,Intel(R) N100,1,2651,10193,4
95,Intel(R) N100,4,3095,10136,4
96,Intel(R) N100,1,3276,10101,4
97,Intel(R) N100,4,3009,10088,4
98,Intel(R) N100,1,3214,10028,4
99,Intel(R) N100,4,3101,10001,4
100,Intel(R) N100,1,3346,9997,4
101,Intel(R) N100,4,2717,9927,4
102,Intel(R) N100,1,3209,9898,4
103,Intel(R) N100,1,2829,9816,4
104,Intel(R) N100,1,2862,9745,4
105,Intel(R) N100,4,2675,9621,4
106,Intel(R) N100,4,2857,9318,4
107,Intel(R) N100,4,2652,9002,4
108,Intel(R) N100,4,2642,8991,4
109,Intel(R) N100,4,2800,8990,4
110,Intel(R) N100,1,2826,8723,4
