排名,CPU型号,CPU核心数,单核得分,多核得分,多核线程数
1,Intel(R) Xeon(R) CPU D-1521 @ 2.40GHz,1,872,5563,8
2,Intel(R) Xeon(R) CPU D-1521 @ 2.40GHz,1,865,5544,8
3,Intel(R) Xeon(R) CPU D-1521 @ 2.40GHz,1,865,5528,8
4,Intel(R) Xeon(R) CPU D-1521 @ 2.40GHz,1,868,5528,8
5,Intel(R) Xeon(R) CPU D-1521 @ 2.40GHz,1,862,5526,8
6,Intel(R) Xeon(R) CPU D-1521 @ 2.40GHz,1,864,5524,8
7,Intel(R) Xeon(R) CPU D-1521 @ 2.40GHz,1,869,5522,8
8,Intel(R) Xeon(R) CPU D-1521 @ 2.40GHz,1,864,5522,8
9,Intel(R) Xeon(R) CPU D-1521 @ 2.40GHz,1,866,5520,8
10,Intel(R) Xeon(R) CPU D-1521 @ 2.40GHz,1,868,5514,8
11,Intel(R) Xeon(R) CPU D-1521 @ 2.40GHz,1,871,5514,8
12,Intel(R) Xeon(R) CPU D-1521 @ 2.40GHz,1,870,5513,8
13,Intel(R) Xeon(R) CPU D-1521 @ 2.40GHz,1,907,5510,8
14,Intel(R) Xeon(R) CPU D-1521 @ 2.40GHz,1,867,5497,8
15,Intel(R) Xeon(R) CPU D-1521 @ 2.40GHz,1,863,5497,8
16,Intel(R) Xeon(R) CPU D-1521 @ 2.40GHz,1,859,5439,8
17,Intel(R) Xeon(R) CPU D-1521 @ 2.40GHz,1,872,5408,8
18,Intel(R) Xeon(R) CPU D-1521 @ 2.40GHz,1,860,4673,8
19,Intel(R) Xeon(R) CPU D-1521 @ 2.40GHz,1,867,4654,8
20,Intel(R) Xeon(R) CPU D-1521 @ 2.40GHz,4,848,3394,4
21,Intel(R) Xeon(R) CPU D-1521 @ 2.40GHz,4,843,3380,4
22,Intel(R) Xeon(R) CPU D-1521 @ 2.40GHz,2,826,838,2
23,Intel(R) Xeon(R) CPU D-1521 @ 2.40GHz,2,819,811,2
24,Intel(R) Xeon(R) CPU D-1521 @ 2.40GHz,2,363,371,2
