排名,CPU型号,CPU核心数,单核得分,多核得分,多核线程数
1,Intel(R) Xeon(R) CPU D-1581 @ 1.80GHz,2,808,1590,2
2,Intel(R) Xeon(R) CPU D-1581 @ 1.80GHz,8,784,4518,8
3,Intel(R) Xeon(R) CPU D-1581 @ 1.80GHz,1,774,18100,32
4,Intel(R) Xeon(R) CPU D-1581 @ 1.80GHz,1,774,18114,32
5,Intel(R) Xeon(R) CPU D-1581 @ 1.80GHz,32,772,3070,32
6,Intel(R) Xeon(R) CPU D-1581 @ 1.80GHz,4,771,3071,4
7,Intel(R) Xeon(R) CPU D-1581 @ 1.80GHz,2,771,1505,2
8,Intel(R) Xeon(R) CPU D-1581 @ 1.80GHz,4,770,3053,4
9,Intel(R) Xeon(R) CPU D-1581 @ 1.80GHz,8,770,6080,8
10,Intel(R) Xeon(R) CPU D-1581 @ 1.80GHz,2,769,1519,2
11,Intel(R) Xeon(R) CPU D-1581 @ 1.80GHz,1,769,17683,32
12,Intel(R) Xeon(R) CPU D-1581 @ 1.80GHz,1,768,18523,32
13,Intel(R) Xeon(R) CPU D-1581 @ 1.80GHz,4,767,3036,4
14,Intel(R) Xeon(R) CPU D-1581 @ 1.80GHz,8,766,6081,8
15,Intel(R) Xeon(R) CPU D-1581 @ 1.80GHz,4,764,3085,4
16,Intel(R) Xeon(R) CPU D-1581 @ 1.80GHz,2,763,1503,2
17,Intel(R) Xeon(R) CPU D-1581 @ 1.80GHz,4,761,3017,4
18,Intel(R) Xeon(R) CPU D-1581 @ 1.80GHz,4,761,2994,16
19,Intel(R) Xeon(R) CPU D-1581 @ 1.80GHz,1,758,18478,32
20,Intel(R) Xeon(R) CPU D-1581 @ 1.80GHz,1,753,16298,32
21,Intel(R) Xeon(R) CPU D-1581 @ 1.80GHz,4,748,2942,4
22,Intel(R) Xeon(R) CPU D-1581 @ 1.80GHz,8,739,5813,8
23,Intel(R) Xeon(R) CPU D-1581 @ 1.80GHz,32,621,12265,32
24,Intel(R) Xeon(R) CPU D-1581 @ 1.80GHz,1,457,457,1
