排名,CPU型号,CPU核心数,单核得分,多核得分,多核线程数
1,Intel(R) Xeon(R) CPU E3-1230 V2 @ 3.30GHz,1,1037,6557,8
2,Intel(R) Xeon(R) CPU E3-1230 V2 @ 3.30GHz,1,1039,6557,8
3,Intel(R) Xeon(R) CPU E3-1230 V2 @ 3.30GHz,1,1038,6556,8
4,Intel(R) Xeon(R) CPU E3-1230 V2 @ 3.30GHz,1,1039,6556,8
5,Intel(R) Xeon(R) CPU E3-1230 V2 @ 3.30GHz,1,1038,6556,8
6,Intel(R) Xeon(R) CPU E3-1230 V2 @ 3.30GHz,1,1038,6555,8
7,Intel(R) Xeon(R) CPU E3-1230 V2 @ 3.30GHz,1,1038,6555,8
8,Intel(R) Xeon(R) CPU E3-1230 V2 @ 3.30GHz,1,1038,6554,8
9,Intel(R) Xeon(R) CPU E3-1230 V2 @ 3.30GHz,1,1038,6554,8
10,Intel(R) Xeon(R) CPU E3-1230 V2 @ 3.30GHz,1,1037,6554,8
11,Intel(R) Xeon(R) CPU E3-1230 V2 @ 3.30GHz,1,1038,6553,8
12,Intel(R) Xeon(R) CPU E3-1230 V2 @ 3.30GHz,1,1038,6552,8
13,Intel(R) Xeon(R) CPU E3-1230 V2 @ 3.30GHz,1,1038,6551,8
14,Intel(R) Xeon(R) CPU E3-1230 V2 @ 3.30GHz,1,1038,6551,8
15,Intel(R) Xeon(R) CPU E3-1230 V2 @ 3.30GHz,8,992,6547,8
16,Intel(R) Xeon(R) CPU E3-1230 V2 @ 3.30GHz,1,1035,6543,8
17,Intel(R) Xeon(R) CPU E3-1230 V2 @ 3.30GHz,1,1036,6543,8
18,Intel(R) Xeon(R) CPU E3-1230 V2 @ 3.30GHz,1,1032,6542,8
19,Intel(R) Xeon(R) CPU E3-1230 V2 @ 3.30GHz,8,989,6542,8
20,Intel(R) Xeon(R) CPU E3-1230 V2 @ 3.30GHz,1,1038,6542,8
21,Intel(R) Xeon(R) CPU E3-1230 V2 @ 3.30GHz,1,1039,6542,8
22,Intel(R) Xeon(R) CPU E3-1230 V2 @ 3.30GHz,1,1028,6541,8
23,Intel(R) Xeon(R) CPU E3-1230 V2 @ 3.30GHz,1,1033,6540,8
24,Intel(R) Xeon(R) CPU E3-1230 V2 @ 3.30GHz,1,1036,6540,8
25,Intel(R) Xeon(R) CPU E3-1230 V2 @ 3.30GHz,8,1028,6539,8
26,Intel(R) Xeon(R) CPU E3-1230 V2 @ 3.30GHz,1,1036,6538,8
27,Intel(R) Xeon(R) CPU E3-1230 V2 @ 3.30GHz,1,1035,6537,8
28,Intel(R) Xeon(R) CPU E3-1230 V2 @ 3.30GHz,8,994,6537,8
29,Intel(R) Xeon(R) CPU E3-1230 V2 @ 3.30GHz,1,1034,6535,8
30,Intel(R) Xeon(R) CPU E3-1230 V2 @ 3.30GHz,8,991,6532,8
31,Intel(R) Xeon(R) CPU E3-1230 V2 @ 3.30GHz,1,1035,6531,8
32,Intel(R) Xeon(R) CPU E3-1230 V2 @ 3.30GHz,8,989,6530,8
33,Intel(R) Xeon(R) CPU E3-1230 V2 @ 3.30GHz,1,1035,6529,8
34,Intel(R) Xeon(R) CPU E3-1230 V2 @ 3.30GHz,1,1033,6528,8
35,Intel(R) Xeon(R) CPU E3-1230 V2 @ 3.30GHz,1,1034,6527,8
36,Intel(R) Xeon(R) CPU E3-1230 V2 @ 3.30GHz,1,1033,6524,8
37,Intel(R) Xeon(R) CPU E3-1230 V2 @ 3.30GHz,1,1032,6522,8
38,Intel(R) Xeon(R) CPU E3-1230 V2 @ 3.30GHz,1,1032,6521,8
39,Intel(R) Xeon(R) CPU E3-1230 V2 @ 3.30GHz,1,1037,6521,8
40,Intel(R) Xeon(R) CPU E3-1230 V2 @ 3.30GHz,8,991,6520,8
41,Intel(R) Xeon(R) CPU E3-1230 V2 @ 3.30GHz,1,1033,6519,8
42,Intel(R) Xeon(R) CPU E3-1230 V2 @ 3.30GHz,1,1030,6516,8
43,Intel(R) Xeon(R) CPU E3-1230 V2 @ 3.30GHz,1,1032,6515,8
44,Intel(R) Xeon(R) CPU E3-1230 V2 @ 3.30GHz,1,1031,6514,8
45,Intel(R) Xeon(R) CPU E3-1230 V2 @ 3.30GHz,1,1022,6512,8
46,Intel(R) Xeon(R) CPU E3-1230 V2 @ 3.30GHz,1,1031,6511,8
47,Intel(R) Xeon(R) CPU E3-1230 V2 @ 3.30GHz,1,1028,6508,8
48,Intel(R) Xeon(R) CPU E3-1230 V2 @ 3.30GHz,1,1028,6508,8
49,Intel(R) Xeon(R) CPU E3-1230 V2 @ 3.30GHz,8,980,6507,8
50,Intel(R) Xeon(R) CPU E3-1230 V2 @ 3.30GHz,8,983,6507,8
51,Intel(R) Xeon(R) CPU E3-1230 V2 @ 3.30GHz,1,1030,6502,8
52,Intel(R) Xeon(R) CPU E3-1230 V2 @ 3.30GHz,1,1032,6501,8
53,Intel(R) Xeon(R) CPU E3-1230 V2 @ 3.30GHz,8,985,6499,8
54,Intel(R) Xeon(R) CPU E3-1230 V2 @ 3.30GHz,8,983,6498,8
55,Intel(R) Xeon(R) CPU E3-1230 V2 @ 3.30GHz,1,1033,6497,8
56,Intel(R) Xeon(R) CPU E3-1230 V2 @ 3.30GHz,1,998,6496,8
57,Intel(R) Xeon(R) CPU E3-1230 V2 @ 3.30GHz,1,1030,6492,8
58,Intel(R) Xeon(R) CPU E3-1230 V2 @ 3.30GHz,1,929,6491,8
59,Intel(R) Xeon(R) CPU E3-1230 V2 @ 3.30GHz,8,984,6489,8
60,Intel(R) Xeon(R) CPU E3-1230 V2 @ 3.30GHz,8,979,6487,8
61,Intel(R) Xeon(R) CPU E3-1230 V2 @ 3.30GHz,8,985,6487,8
62,Intel(R) Xeon(R) CPU E3-1230 V2 @ 3.30GHz,8,989,6486,8
63,Intel(R) Xeon(R) CPU E3-1230 V2 @ 3.30GHz,8,976,6485,8
64,Intel(R) Xeon(R) CPU E3-1230 V2 @ 3.30GHz,8,981,6485,8
65,Intel(R) Xeon(R) CPU E3-1230 V2 @ 3.30GHz,8,968,6483,8
66,Intel(R) Xeon(R) CPU E3-1230 V2 @ 3.30GHz,1,1021,6476,8
67,Intel(R) Xeon(R) CPU E3-1230 V2 @ 3.30GHz,8,987,6476,8
68,Intel(R) Xeon(R) CPU E3-1230 V2 @ 3.30GHz,8,982,6471,8
69,Intel(R) Xeon(R) CPU E3-1230 V2 @ 3.30GHz,1,879,6469,8
70,Intel(R) Xeon(R) CPU E3-1230 V2 @ 3.30GHz,8,981,6469,8
71,Intel(R) Xeon(R) CPU E3-1230 V2 @ 3.30GHz,8,964,6465,8
72,Intel(R) Xeon(R) CPU E3-1230 V2 @ 3.30GHz,8,981,6461,8
73,Intel(R) Xeon(R) CPU E3-1230 V2 @ 3.30GHz,8,982,6456,8
74,Intel(R) Xeon(R) CPU E3-1230 V2 @ 3.30GHz,8,981,6446,8
75,Intel(R) Xeon(R) CPU E3-1230 V2 @ 3.30GHz,8,960,6439,8
76,Intel(R) Xeon(R) CPU E3-1230 V2 @ 3.30GHz,1,1175,6430,8
77,Intel(R) Xeon(R) CPU E3-1230 V2 @ 3.30GHz,1,995,6429,8
78,Intel(R) Xeon(R) CPU E3-1230 V2 @ 3.30GHz,1,1173,6420,8
79,Intel(R) Xeon(R) CPU E3-1230 V2 @ 3.30GHz,1,1036,6417,8
80,Intel(R) Xeon(R) CPU E3-1230 V2 @ 3.30GHz,1,1172,6417,8
81,Intel(R) Xeon(R) CPU E3-1230 V2 @ 3.30GHz,1,1172,6416,8
82,Intel(R) Xeon(R) CPU E3-1230 V2 @ 3.30GHz,1,1172,6416,8
83,Intel(R) Xeon(R) CPU E3-1230 V2 @ 3.30GHz,1,1024,6416,8
84,Intel(R) Xeon(R) CPU E3-1230 V2 @ 3.30GHz,1,1172,6415,8
85,Intel(R) Xeon(R) CPU E3-1230 V2 @ 3.30GHz,8,921,6414,8
86,Intel(R) Xeon(R) CPU E3-1230 V2 @ 3.30GHz,1,1170,6414,8
87,Intel(R) Xeon(R) CPU E3-1230 V2 @ 3.30GHz,1,1172,6413,8
88,Intel(R) Xeon(R) CPU E3-1230 V2 @ 3.30GHz,1,1174,6413,8
89,Intel(R) Xeon(R) CPU E3-1230 V2 @ 3.30GHz,8,1175,6411,8
90,Intel(R) Xeon(R) CPU E3-1230 V2 @ 3.30GHz,1,1172,6410,8
91,Intel(R) Xeon(R) CPU E3-1230 V2 @ 3.30GHz,1,1170,6409,8
92,Intel(R) Xeon(R) CPU E3-1230 V2 @ 3.30GHz,1,1174,6406,8
93,Intel(R) Xeon(R) CPU E3-1230 V2 @ 3.30GHz,1,1161,6403,8
94,Intel(R) Xeon(R) CPU E3-1230 V2 @ 3.30GHz,8,1174,6402,8
95,Intel(R) Xeon(R) CPU E3-1230 V2 @ 3.30GHz,1,1172,6401,8
96,Intel(R) Xeon(R) CPU E3-1230 V2 @ 3.30GHz,1,1162,6401,8
97,Intel(R) Xeon(R) CPU E3-1230 V2 @ 3.30GHz,1,1002,6398,8
98,Intel(R) Xeon(R) CPU E3-1230 V2 @ 3.30GHz,1,1164,6393,8
99,Intel(R) Xeon(R) CPU E3-1230 V2 @ 3.30GHz,1,1169,6392,8
100,Intel(R) Xeon(R) CPU E3-1230 V2 @ 3.30GHz,1,1164,6391,8
101,Intel(R) Xeon(R) CPU E3-1230 V2 @ 3.30GHz,8,972,6362,8
102,Intel(R) Xeon(R) CPU E3-1230 V2 @ 3.30GHz,8,981,6343,8
103,Intel(R) Xeon(R) CPU E3-1230 V2 @ 3.30GHz,1,987,6331,8
104,Intel(R) Xeon(R) CPU E3-1230 V2 @ 3.30GHz,8,1155,6299,8
105,Intel(R) Xeon(R) CPU E3-1230 V2 @ 3.30GHz,1,1008,6294,8
106,Intel(R) Xeon(R) CPU E3-1230 V2 @ 3.30GHz,8,1159,6292,8
107,Intel(R) Xeon(R) CPU E3-1230 V2 @ 3.30GHz,1,928,6182,8
108,Intel(R) Xeon(R) CPU E3-1230 V2 @ 3.30GHz,1,928,6182,8
109,Intel(R) Xeon(R) CPU E3-1230 V2 @ 3.30GHz,1,928,6182,8
110,Intel(R) Xeon(R) CPU E3-1230 V2 @ 3.30GHz,1,928,6182,8
111,Intel(R) Xeon(R) CPU E3-1230 V2 @ 3.30GHz,1,928,6181,8
112,Intel(R) Xeon(R) CPU E3-1230 V2 @ 3.30GHz,1,928,6181,8
113,Intel(R) Xeon(R) CPU E3-1230 V2 @ 3.30GHz,1,928,6181,8
114,Intel(R) Xeon(R) CPU E3-1230 V2 @ 3.30GHz,1,924,6181,8
115,Intel(R) Xeon(R) CPU E3-1230 V2 @ 3.30GHz,1,928,6178,8
116,Intel(R) Xeon(R) CPU E3-1230 V2 @ 3.30GHz,1,928,6176,8
117,Intel(R) Xeon(R) CPU E3-1230 V2 @ 3.30GHz,1,928,6176,8
118,Intel(R) Xeon(R) CPU E3-1230 V2 @ 3.30GHz,1,928,6169,8
119,Intel(R) Xeon(R) CPU E3-1230 V2 @ 3.30GHz,1,926,6169,8
120,Intel(R) Xeon(R) CPU E3-1230 V2 @ 3.30GHz,1,926,6169,8
121,Intel(R) Xeon(R) CPU E3-1230 V2 @ 3.30GHz,8,926,6168,8
122,Intel(R) Xeon(R) CPU E3-1230 V2 @ 3.30GHz,8,926,6168,8
123,Intel(R) Xeon(R) CPU E3-1230 V2 @ 3.30GHz,1,926,6167,8
124,Intel(R) Xeon(R) CPU E3-1230 V2 @ 3.30GHz,1,926,6166,8
125,Intel(R) Xeon(R) CPU E3-1230 V2 @ 3.30GHz,1,927,6162,8
126,Intel(R) Xeon(R) CPU E3-1230 V2 @ 3.30GHz,1,927,6162,8
127,Intel(R) Xeon(R) CPU E3-1230 V2 @ 3.30GHz,1,928,6161,8
128,Intel(R) Xeon(R) CPU E3-1230 V2 @ 3.30GHz,8,890,6161,8
129,Intel(R) Xeon(R) CPU E3-1230 V2 @ 3.30GHz,1,927,6161,8
130,Intel(R) Xeon(R) CPU E3-1230 V2 @ 3.30GHz,1,927,6160,8
131,Intel(R) Xeon(R) CPU E3-1230 V2 @ 3.30GHz,1,925,6160,8
132,Intel(R) Xeon(R) CPU E3-1230 V2 @ 3.30GHz,1,925,6159,8
133,Intel(R) Xeon(R) CPU E3-1230 V2 @ 3.30GHz,1,927,6159,8
134,Intel(R) Xeon(R) CPU E3-1230 V2 @ 3.30GHz,1,925,6159,8
135,Intel(R) Xeon(R) CPU E3-1230 V2 @ 3.30GHz,1,926,6159,8
136,Intel(R) Xeon(R) CPU E3-1230 V2 @ 3.30GHz,1,926,6158,8
137,Intel(R) Xeon(R) CPU E3-1230 V2 @ 3.30GHz,1,928,6158,8
138,Intel(R) Xeon(R) CPU E3-1230 V2 @ 3.30GHz,1,927,6157,8
139,Intel(R) Xeon(R) CPU E3-1230 V2 @ 3.30GHz,1,926,6157,8
140,Intel(R) Xeon(R) CPU E3-1230 V2 @ 3.30GHz,1,927,6155,8
141,Intel(R) Xeon(R) CPU E3-1230 V2 @ 3.30GHz,8,890,6154,8
142,Intel(R) Xeon(R) CPU E3-1230 V2 @ 3.30GHz,1,926,6153,8
143,Intel(R) Xeon(R) CPU E3-1230 V2 @ 3.30GHz,1,928,6153,8
144,Intel(R) Xeon(R) CPU E3-1230 V2 @ 3.30GHz,1,925,6151,8
145,Intel(R) Xeon(R) CPU E3-1230 V2 @ 3.30GHz,1,926,6150,8
146,Intel(R) Xeon(R) CPU E3-1230 V2 @ 3.30GHz,1,926,6150,8
147,Intel(R) Xeon(R) CPU E3-1230 V2 @ 3.30GHz,1,926,6149,8
148,Intel(R) Xeon(R) CPU E3-1230 V2 @ 3.30GHz,1,926,6148,8
149,Intel(R) Xeon(R) CPU E3-1230 V2 @ 3.30GHz,1,926,6146,8
150,Intel(R) Xeon(R) CPU E3-1230 V2 @ 3.30GHz,1,926,6144,8
151,Intel(R) Xeon(R) CPU E3-1230 V2 @ 3.30GHz,1,919,6142,8
152,Intel(R) Xeon(R) CPU E3-1230 V2 @ 3.30GHz,1,926,6142,8
153,Intel(R) Xeon(R) CPU E3-1230 V2 @ 3.30GHz,1,920,6140,8
154,Intel(R) Xeon(R) CPU E3-1230 V2 @ 3.30GHz,8,924,6135,8
155,Intel(R) Xeon(R) CPU E3-1230 V2 @ 3.30GHz,1,926,6135,8
156,Intel(R) Xeon(R) CPU E3-1230 V2 @ 3.30GHz,1,925,6134,8
157,Intel(R) Xeon(R) CPU E3-1230 V2 @ 3.30GHz,8,927,6133,8
158,Intel(R) Xeon(R) CPU E3-1230 V2 @ 3.30GHz,8,925,6133,8
159,Intel(R) Xeon(R) CPU E3-1230 V2 @ 3.30GHz,8,963,6132,8
160,Intel(R) Xeon(R) CPU E3-1230 V2 @ 3.30GHz,1,924,6131,8
161,Intel(R) Xeon(R) CPU E3-1230 V2 @ 3.30GHz,1,918,6131,8
162,Intel(R) Xeon(R) CPU E3-1230 V2 @ 3.30GHz,1,926,6126,8
163,Intel(R) Xeon(R) CPU E3-1230 V2 @ 3.30GHz,1,919,6117,8
164,Intel(R) Xeon(R) CPU E3-1230 V2 @ 3.30GHz,1,927,6113,8
165,Intel(R) Xeon(R) CPU E3-1230 V2 @ 3.30GHz,1,926,6106,8
166,Intel(R) Xeon(R) CPU E3-1230 V2 @ 3.30GHz,1,916,6101,8
167,Intel(R) Xeon(R) CPU E3-1230 V2 @ 3.30GHz,8,961,6080,8
168,Intel(R) Xeon(R) CPU E3-1230 V2 @ 3.30GHz,1,922,6057,8
169,Intel(R) Xeon(R) CPU E3-1230 V2 @ 3.30GHz,1,992,6045,8
170,Intel(R) Xeon(R) CPU E3-1230 V2 @ 3.30GHz,8,961,6041,8
171,Intel(R) Xeon(R) CPU E3-1230 V2 @ 3.30GHz,1,925,6008,8
172,Intel(R) Xeon(R) CPU E3-1230 V2 @ 3.30GHz,8,1135,5823,8
173,Intel(R) Xeon(R) CPU E3-1230 V2 @ 3.30GHz,1,972,5660,8
174,Intel(R) Xeon(R) CPU E3-1230 V2 @ 3.30GHz,1,973,5659,8
175,Intel(R) Xeon(R) CPU E3-1230 V2 @ 3.30GHz,1,930,5489,8
176,Intel(R) Xeon(R) CPU E3-1230 V2 @ 3.30GHz,8,919,4913,8
177,Intel(R) Xeon(R) CPU E3-1230 V2 @ 3.30GHz,1,897,4583,8
178,Intel(R) Xeon(R) CPU E3-1230 V2 @ 3.30GHz,1,906,4532,8
179,Intel(R) Xeon(R) CPU E3-1230 V2 @ 3.30GHz,8,952,4484,8
180,Intel(R) Xeon(R) CPU E3-1230 V2 @ 3.30GHz,4,1159,4386,4
181,Intel(R) Xeon(R) CPU E3-1230 V2 @ 3.30GHz,4,1118,4100,4
182,Intel(R) Xeon(R) CPU E3-1230 V2 @ 3.30GHz,4,1010,3820,4
183,Intel(R) Xeon(R) CPU E3-1230 V2 @ 3.30GHz,4,1022,3813,4
184,Intel(R) Xeon(R) CPU E3-1230 V2 @ 3.30GHz,4,906,3513,4
185,Intel(R) Xeon(R) CPU E3-1230 V2 @ 3.30GHz,8,764,3488,8
186,Intel(R) Xeon(R) CPU E3-1230 V2 @ 3.30GHz,4,860,3482,4
187,Intel(R) Xeon(R) CPU E3-1230 V2 @ 3.30GHz,8,986,3479,8
188,Intel(R) Xeon(R) CPU E3-1230 V2 @ 3.30GHz,4,941,3420,4
189,Intel(R) Xeon(R) CPU E3-1230 V2 @ 3.30GHz,4,864,3378,4
190,Intel(R) Xeon(R) CPU E3-1230 V2 @ 3.30GHz,4,896,3345,4
191,Intel(R) Xeon(R) CPU E3-1230 V2 @ 3.30GHz,4,817,3111,4
192,Intel(R) Xeon(R) CPU E3-1230 V2 @ 3.30GHz,1,444,2961,8
193,Intel(R) Xeon(R) CPU E3-1230 V2 @ 3.30GHz,1,443,2917,8
194,Intel(R) Xeon(R) CPU E3-1230 V2 @ 3.30GHz,2,1048,2044,2
195,Intel(R) Xeon(R) CPU E3-1230 V2 @ 3.30GHz,2,1060,2037,2
196,Intel(R) Xeon(R) CPU E3-1230 V2 @ 3.30GHz,2,1067,2027,2
197,Intel(R) Xeon(R) CPU E3-1230 V2 @ 3.30GHz,2,1058,2025,2
198,Intel(R) Xeon(R) CPU E3-1230 V2 @ 3.30GHz,2,1041,2011,2
199,Intel(R) Xeon(R) CPU E3-1230 V2 @ 3.30GHz,2,915,1826,2
200,Intel(R) Xeon(R) CPU E3-1230 V2 @ 3.30GHz,2,888,1819,2
201,Intel(R) Xeon(R) CPU E3-1230 V2 @ 3.30GHz,2,912,1817,2
202,Intel(R) Xeon(R) CPU E3-1230 V2 @ 3.30GHz,2,912,1816,2
203,Intel(R) Xeon(R) CPU E3-1230 V2 @ 3.30GHz,2,922,1814,2
204,Intel(R) Xeon(R) CPU E3-1230 V2 @ 3.30GHz,2,910,1810,2
205,Intel(R) Xeon(R) CPU E3-1230 V2 @ 3.30GHz,2,913,1809,2
206,Intel(R) Xeon(R) CPU E3-1230 V2 @ 3.30GHz,2,887,1792,2
207,Intel(R) Xeon(R) CPU E3-1230 V2 @ 3.30GHz,2,904,1775,2
208,Intel(R) Xeon(R) CPU E3-1230 V2 @ 3.30GHz,2,895,1769,2
209,Intel(R) Xeon(R) CPU E3-1230 V2 @ 3.30GHz,2,904,1761,2
210,Intel(R) Xeon(R) CPU E3-1230 V2 @ 3.30GHz,2,910,1741,2
211,Intel(R) Xeon(R) CPU E3-1230 V2 @ 3.30GHz,1,1158,1158,1
212,Intel(R) Xeon(R) CPU E3-1230 V2 @ 3.30GHz,1,1078,1078,1
