排名,CPU型号,CPU核心数,单核得分,多核得分,多核线程数
1,Intel(R) Xeon(R) CPU E3-1271 v3 @ 3.60GHz,1,1292,7539,8
2,Intel(R) Xeon(R) CPU E3-1271 v3 @ 3.60GHz,1,1290,7534,8
3,Intel(R) Xeon(R) CPU E3-1271 v3 @ 3.60GHz,1,1290,7534,8
4,Intel(R) Xeon(R) CPU E3-1271 v3 @ 3.60GHz,1,1289,7520,8
5,Intel(R) Xeon(R) CPU E3-1271 v3 @ 3.60GHz,8,1284,7496,8
6,Intel(R) Xeon(R) CPU E3-1271 v3 @ 3.60GHz,1,1284,7520,8
7,Intel(R) Xeon(R) CPU E3-1271 v3 @ 3.60GHz,8,1284,7503,8
8,Intel(R) Xeon(R) CPU E3-1271 v3 @ 3.60GHz,8,1275,7384,8
9,Intel(R) Xeon(R) CPU E3-1271 v3 @ 3.60GHz,1,1275,7489,8
10,Intel(R) Xeon(R) CPU E3-1271 v3 @ 3.60GHz,8,1240,7436,8
11,Intel(R) Xeon(R) CPU E3-1271 v3 @ 3.60GHz,1,1215,6323,8
12,Intel(R) Xeon(R) CPU E3-1271 v3 @ 3.60GHz,1,1215,1215,1
13,Intel(R) Xeon(R) CPU E3-1271 v3 @ 3.60GHz,1,1194,7016,8
14,Intel(R) Xeon(R) CPU E3-1271 v3 @ 3.60GHz,8,1157,7882,8
15,Intel(R) Xeon(R) CPU E3-1271 v3 @ 3.60GHz,8,1157,7894,8
16,Intel(R) Xeon(R) CPU E3-1271 v3 @ 3.60GHz,1,1156,7917,8
17,Intel(R) Xeon(R) CPU E3-1271 v3 @ 3.60GHz,1,1156,7912,8
18,Intel(R) Xeon(R) CPU E3-1271 v3 @ 3.60GHz,1,1156,7904,8
19,Intel(R) Xeon(R) CPU E3-1271 v3 @ 3.60GHz,1,1156,7915,8
20,Intel(R) Xeon(R) CPU E3-1271 v3 @ 3.60GHz,1,1156,7913,8
21,Intel(R) Xeon(R) CPU E3-1271 v3 @ 3.60GHz,1,1156,7916,8
22,Intel(R) Xeon(R) CPU E3-1271 v3 @ 3.60GHz,1,1156,7916,8
23,Intel(R) Xeon(R) CPU E3-1271 v3 @ 3.60GHz,1,1156,7915,8
24,Intel(R) Xeon(R) CPU E3-1271 v3 @ 3.60GHz,1,1156,7914,8
25,Intel(R) Xeon(R) CPU E3-1271 v3 @ 3.60GHz,1,1156,7915,8
26,Intel(R) Xeon(R) CPU E3-1271 v3 @ 3.60GHz,1,1156,7913,8
27,Intel(R) Xeon(R) CPU E3-1271 v3 @ 3.60GHz,1,1155,7916,8
28,Intel(R) Xeon(R) CPU E3-1271 v3 @ 3.60GHz,1,1154,7904,8
29,Intel(R) Xeon(R) CPU E3-1271 v3 @ 3.60GHz,2,1154,2195,2
30,Intel(R) Xeon(R) CPU E3-1271 v3 @ 3.60GHz,1,1154,7895,8
31,Intel(R) Xeon(R) CPU E3-1271 v3 @ 3.60GHz,1,1154,7909,8
32,Intel(R) Xeon(R) CPU E3-1271 v3 @ 3.60GHz,1,1154,7912,8
33,Intel(R) Xeon(R) CPU E3-1271 v3 @ 3.60GHz,1,1153,7897,8
34,Intel(R) Xeon(R) CPU E3-1271 v3 @ 3.60GHz,1,1153,7888,8
35,Intel(R) Xeon(R) CPU E3-1271 v3 @ 3.60GHz,1,1153,7895,8
36,Intel(R) Xeon(R) CPU E3-1271 v3 @ 3.60GHz,1,1153,7890,8
37,Intel(R) Xeon(R) CPU E3-1271 v3 @ 3.60GHz,1,1153,7894,8
38,Intel(R) Xeon(R) CPU E3-1271 v3 @ 3.60GHz,1,1152,7898,8
39,Intel(R) Xeon(R) CPU E3-1271 v3 @ 3.60GHz,1,1152,7914,8
40,Intel(R) Xeon(R) CPU E3-1271 v3 @ 3.60GHz,1,1151,7876,8
41,Intel(R) Xeon(R) CPU E3-1271 v3 @ 3.60GHz,1,1150,7892,8
42,Intel(R) Xeon(R) CPU E3-1271 v3 @ 3.60GHz,8,1148,7878,8
43,Intel(R) Xeon(R) CPU E3-1271 v3 @ 3.60GHz,1,1144,7814,8
44,Intel(R) Xeon(R) CPU E3-1271 v3 @ 3.60GHz,1,1144,7816,8
45,Intel(R) Xeon(R) CPU E3-1271 v3 @ 3.60GHz,1,1141,7883,8
46,Intel(R) Xeon(R) CPU E3-1271 v3 @ 3.60GHz,1,1132,7563,8
47,Intel(R) Xeon(R) CPU E3-1271 v3 @ 3.60GHz,8,1131,7781,8
48,Intel(R) Xeon(R) CPU E3-1271 v3 @ 3.60GHz,8,1123,7821,8
49,Intel(R) Xeon(R) CPU E3-1271 v3 @ 3.60GHz,1,1118,7859,8
50,Intel(R) Xeon(R) CPU E3-1271 v3 @ 3.60GHz,8,1114,775,8
51,Intel(R) Xeon(R) CPU E3-1271 v3 @ 3.60GHz,1,1109,1109,1
52,Intel(R) Xeon(R) CPU E3-1271 v3 @ 3.60GHz,1,1108,7790,8
53,Intel(R) Xeon(R) CPU E3-1271 v3 @ 3.60GHz,1,1102,7720,8
54,Intel(R) Xeon(R) CPU E3-1271 v3 @ 3.60GHz,1,1082,1082,1
55,Intel(R) Xeon(R) CPU E3-1271 v3 @ 3.60GHz,1,1081,1081,1
56,Intel(R) Xeon(R) CPU E3-1271 v3 @ 3.60GHz,1,1042,7469,8
57,Intel(R) Xeon(R) CPU E3-1271 v3 @ 3.60GHz,1,1042,7470,8
58,Intel(R) Xeon(R) CPU E3-1271 v3 @ 3.60GHz,1,1041,7483,8
59,Intel(R) Xeon(R) CPU E3-1271 v3 @ 3.60GHz,1,1041,7495,8
60,Intel(R) Xeon(R) CPU E3-1271 v3 @ 3.60GHz,1,1038,6829,8
