排名,CPU型号,CPU核心数,单核得分,多核得分,多核线程数
1,Intel(R) Xeon(R) CPU E3-1275L v3 @ 2.70GHz,1,1231,6316,8
2,Intel(R) Xeon(R) CPU E3-1275L v3 @ 2.70GHz,4,893,3316,4
3,Intel(R) Xeon(R) CPU E3-1275L v3 @ 2.70GHz,3,759,2239,3
4,Intel(R) Xeon(R) CPU E3-1275L v3 @ 2.70GHz,1,741,675,3
5,Intel(R) Xeon(R) CPU E3-1275L v3 @ 2.70GHz,3,737,1430,3
6,Intel(R) Xeon(R) CPU E3-1275L v3 @ 2.70GHz,3,718,713,3
7,Intel(R) Xeon(R) CPU E3-1275L v3 @ 2.70GHz,1,702,706,3
8,Intel(R) Xeon(R) CPU E3-1275L v3 @ 2.70GHz,1,679,699,3
9,Intel(R) Xeon(R) CPU E3-1275L v3 @ 2.70GHz,3,678,678,3
10,Intel(R) Xeon(R) CPU E3-1275L v3 @ 2.70GHz,3,675,677,3
11,Intel(R) Xeon(R) CPU E3-1275L v3 @ 2.70GHz,1,582,600,3
12,Intel(R) Xeon(R) CPU E3-1275L v3 @ 2.70GHz,3,294,257,3
13,Intel(R) Xeon(R) CPU E3-1275L v3 @ 2.70GHz,3,197,275,3
