排名,CPU型号,CPU核心数,单核得分,多核得分,多核线程数
1,Intel(R) Xeon(R) CPU E31230 @ 3.20GHz,1,1086,5881,8
2,Intel(R) Xeon(R) CPU E31230 @ 3.20GHz,1,1083,5869,8
3,Intel(R) Xeon(R) CPU E31230 @ 3.20GHz,1,1082,5886,8
4,Intel(R) Xeon(R) CPU E31230 @ 3.20GHz,1,1082,5869,8
5,Intel(R) Xeon(R) CPU E31230 @ 3.20GHz,1,1081,5854,8
6,Intel(R) Xeon(R) CPU E31230 @ 3.20GHz,1,1080,5873,8
7,Intel(R) Xeon(R) CPU E31230 @ 3.20GHz,1,1054,5722,8
8,Intel(R) Xeon(R) CPU E31230 @ 3.20GHz,1,1007,5925,8
9,Intel(R) Xeon(R) CPU E31230 @ 3.20GHz,1,1004,5955,8
10,Intel(R) Xeon(R) CPU E31230 @ 3.20GHz,1,1004,5952,8
11,Intel(R) Xeon(R) CPU E31230 @ 3.20GHz,1,1004,5954,8
12,Intel(R) Xeon(R) CPU E31230 @ 3.20GHz,1,1004,5957,8
13,Intel(R) Xeon(R) CPU E31230 @ 3.20GHz,1,1003,5955,8
14,Intel(R) Xeon(R) CPU E31230 @ 3.20GHz,1,1003,5964,8
15,Intel(R) Xeon(R) CPU E31230 @ 3.20GHz,1,1003,5954,8
16,Intel(R) Xeon(R) CPU E31230 @ 3.20GHz,1,1003,5970,8
17,Intel(R) Xeon(R) CPU E31230 @ 3.20GHz,1,1002,5970,8
18,Intel(R) Xeon(R) CPU E31230 @ 3.20GHz,1,994,5971,8
19,Intel(R) Xeon(R) CPU E31230 @ 3.20GHz,8,994,5928,8
20,Intel(R) Xeon(R) CPU E31230 @ 3.20GHz,1,986,5843,8
21,Intel(R) Xeon(R) CPU E31230 @ 3.20GHz,1,975,5918,8
22,Intel(R) Xeon(R) CPU E31230 @ 3.20GHz,1,945,5785,8
23,Intel(R) Xeon(R) CPU E31230 @ 3.20GHz,1,943,5782,8
24,Intel(R) Xeon(R) CPU E31230 @ 3.20GHz,1,918,5900,8
25,Intel(R) Xeon(R) CPU E31230 @ 3.20GHz,1,896,5568,8
