排名,CPU型号,CPU核心数,单核得分,多核得分,多核线程数
1,Intel(R) Xeon(R) CPU E5-2450L 0 @ 1.80GHz,32,648,14257,32
2,Intel(R) Xeon(R) CPU E5-2450L 0 @ 1.80GHz,32,646,14478,32
3,Intel(R) Xeon(R) CPU E5-2450L 0 @ 1.80GHz,32,646,14487,32
4,Intel(R) Xeon(R) CPU E5-2450L 0 @ 1.80GHz,2,633,14351,32
5,Intel(R) Xeon(R) CPU E5-2450L 0 @ 1.80GHz,32,624,14329,32
6,Intel(R) Xeon(R) CPU E5-2450L 0 @ 1.80GHz,1,621,621,1
7,Intel(R) Xeon(R) CPU E5-2450L 0 @ 1.80GHz,1,615,615,1
8,Intel(R) Xeon(R) CPU E5-2450L 0 @ 1.80GHz,1,604,604,1
9,Intel(R) Xeon(R) CPU E5-2450L 0 @ 1.80GHz,1,594,594,1
10,Intel(R) Xeon(R) CPU E5-2450L 0 @ 1.80GHz,2,586,1137,2
11,Intel(R) Xeon(R) CPU E5-2450L 0 @ 1.80GHz,1,584,584,1
12,Intel(R) Xeon(R) CPU E5-2450L 0 @ 1.80GHz,2,571,1164,2
13,Intel(R) Xeon(R) CPU E5-2450L 0 @ 1.80GHz,1,561,561,1
14,Intel(R) Xeon(R) CPU E5-2450L 0 @ 1.80GHz,2,557,14392,32
15,Intel(R) Xeon(R) CPU E5-2450L 0 @ 1.80GHz,2,557,14383,32
16,Intel(R) Xeon(R) CPU E5-2450L 0 @ 1.80GHz,1,550,550,1
17,Intel(R) Xeon(R) CPU E5-2450L 0 @ 1.80GHz,1,546,6231,16
18,Intel(R) Xeon(R) CPU E5-2450L 0 @ 1.80GHz,1,546,6421,16
19,Intel(R) Xeon(R) CPU E5-2450L 0 @ 1.80GHz,1,546,6192,16
20,Intel(R) Xeon(R) CPU E5-2450L 0 @ 1.80GHz,2,545,12818,32
21,Intel(R) Xeon(R) CPU E5-2450L 0 @ 1.80GHz,2,544,12827,32
22,Intel(R) Xeon(R) CPU E5-2450L 0 @ 1.80GHz,4,543,2140,4
23,Intel(R) Xeon(R) CPU E5-2450L 0 @ 1.80GHz,2,537,1047,2
24,Intel(R) Xeon(R) CPU E5-2450L 0 @ 1.80GHz,1,537,537,1
25,Intel(R) Xeon(R) CPU E5-2450L 0 @ 1.80GHz,1,536,536,1
26,Intel(R) Xeon(R) CPU E5-2450L 0 @ 1.80GHz,1,531,531,1
27,Intel(R) Xeon(R) CPU E5-2450L 0 @ 1.80GHz,32,510,13008,32
28,Intel(R) Xeon(R) CPU E5-2450L 0 @ 1.80GHz,32,510,13014,32
29,Intel(R) Xeon(R) CPU E5-2450L 0 @ 1.80GHz,16,509,6522,16
30,Intel(R) Xeon(R) CPU E5-2450L 0 @ 1.80GHz,32,507,12998,32
31,Intel(R) Xeon(R) CPU E5-2450L 0 @ 1.80GHz,1,506,6469,16
32,Intel(R) Xeon(R) CPU E5-2450L 0 @ 1.80GHz,1,504,6418,16
33,Intel(R) Xeon(R) CPU E5-2450L 0 @ 1.80GHz,1,504,6506,16
34,Intel(R) Xeon(R) CPU E5-2450L 0 @ 1.80GHz,1,504,6460,16
35,Intel(R) Xeon(R) CPU E5-2450L 0 @ 1.80GHz,12,502,6657,12
36,Intel(R) Xeon(R) CPU E5-2450L 0 @ 1.80GHz,1,498,498,1
37,Intel(R) Xeon(R) CPU E5-2450L 0 @ 1.80GHz,1,497,497,1
38,Intel(R) Xeon(R) CPU E5-2450L 0 @ 1.80GHz,1,494,494,1
39,Intel(R) Xeon(R) CPU E5-2450L 0 @ 1.80GHz,2,475,965,2
40,Intel(R) Xeon(R) CPU E5-2450L 0 @ 1.80GHz,1,467,467,1
41,Intel(R) Xeon(R) CPU E5-2450L 0 @ 1.80GHz,6,466,484,6
42,Intel(R) Xeon(R) CPU E5-2450L 0 @ 1.80GHz,16,463,6569,16
43,Intel(R) Xeon(R) CPU E5-2450L 0 @ 1.80GHz,1,444,444,1
44,Intel(R) Xeon(R) CPU E5-2450L 0 @ 1.80GHz,1,436,436,1
45,Intel(R) Xeon(R) CPU E5-2450L 0 @ 1.80GHz,16,422,5074,16
46,Intel(R) Xeon(R) CPU E5-2450L 0 @ 1.80GHz,1,355,355,1
47,Intel(R) Xeon(R) CPU E5-2450L 0 @ 1.80GHz,6,249,288,6
48,Intel(R) Xeon(R) CPU E5-2450L 0 @ 1.80GHz,6,184,175,6
