排名,CPU型号,CPU核心数,单核得分,多核得分,多核线程数
1,Intel(R) Xeon(R) CPU E5-2620 0 @ 2.00GHz,2,659,11908,24
2,Intel(R) Xeon(R) CPU E5-2620 0 @ 2.00GHz,2,713,11650,24
3,Intel(R) Xeon(R) CPU E5-2620 0 @ 2.00GHz,24,651,11537,24
4,Intel(R) Xeon(R) CPU E5-2620 0 @ 2.00GHz,2,648,11413,24
5,Intel(R) Xeon(R) CPU E5-2620 0 @ 2.00GHz,2,606,11112,24
6,Intel(R) Xeon(R) CPU E5-2620 0 @ 2.00GHz,24,600,7895,24
7,Intel(R) Xeon(R) CPU E5-2620 0 @ 2.00GHz,24,547,7656,24
8,Intel(R) Xeon(R) CPU E5-2620 0 @ 2.00GHz,24,473,7636,24
9,Intel(R) Xeon(R) CPU E5-2620 0 @ 2.00GHz,1,610,6016,12
10,Intel(R) Xeon(R) CPU E5-2620 0 @ 2.00GHz,8,629,4876,8
11,Intel(R) Xeon(R) CPU E5-2620 0 @ 2.00GHz,8,612,4774,8
12,Intel(R) Xeon(R) CPU E5-2620 0 @ 2.00GHz,8,603,4612,8
13,Intel(R) Xeon(R) CPU E5-2620 0 @ 2.00GHz,8,602,4527,8
14,Intel(R) Xeon(R) CPU E5-2620 0 @ 2.00GHz,8,584,4153,8
15,Intel(R) Xeon(R) CPU E5-2620 0 @ 2.00GHz,8,542,3995,8
16,Intel(R) Xeon(R) CPU E5-2620 0 @ 2.00GHz,8,541,3899,8
17,Intel(R) Xeon(R) CPU E5-2620 0 @ 2.00GHz,8,561,3824,8
18,Intel(R) Xeon(R) CPU E5-2620 0 @ 2.00GHz,8,550,3810,8
19,Intel(R) Xeon(R) CPU E5-2620 0 @ 2.00GHz,8,538,3302,8
20,Intel(R) Xeon(R) CPU E5-2620 0 @ 2.00GHz,8,521,3176,8
21,Intel(R) Xeon(R) CPU E5-2620 0 @ 2.00GHz,4,620,2458,4
22,Intel(R) Xeon(R) CPU E5-2620 0 @ 2.00GHz,4,602,2311,4
23,Intel(R) Xeon(R) CPU E5-2620 0 @ 2.00GHz,4,542,1877,4
24,Intel(R) Xeon(R) CPU E5-2620 0 @ 2.00GHz,4,553,1351,4
25,Intel(R) Xeon(R) CPU E5-2620 0 @ 2.00GHz,2,463,895,2
26,Intel(R) Xeon(R) CPU E5-2620 0 @ 2.00GHz,2,432,807,2
27,Intel(R) Xeon(R) CPU E5-2620 0 @ 2.00GHz,2,404,715,2
28,Intel(R) Xeon(R) CPU E5-2620 0 @ 2.00GHz,4,167,625,4
29,Intel(R) Xeon(R) CPU E5-2620 0 @ 2.00GHz,1,565,565,1
30,Intel(R) Xeon(R) CPU E5-2620 0 @ 2.00GHz,1,565,565,1
31,Intel(R) Xeon(R) CPU E5-2620 0 @ 2.00GHz,1,552,552,1
32,Intel(R) Xeon(R) CPU E5-2620 0 @ 2.00GHz,1,506,506,1
33,Intel(R) Xeon(R) CPU E5-2620 0 @ 2.00GHz,2,252,506,2
34,Intel(R) Xeon(R) CPU E5-2620 0 @ 2.00GHz,2,252,505,2
35,Intel(R) Xeon(R) CPU E5-2620 0 @ 2.00GHz,2,245,467,2
36,Intel(R) Xeon(R) CPU E5-2620 0 @ 2.00GHz,2,243,466,2
37,Intel(R) Xeon(R) CPU E5-2620 0 @ 2.00GHz,2,230,446,2
38,Intel(R) Xeon(R) CPU E5-2620 0 @ 2.00GHz,24,281,282,24
39,Intel(R) Xeon(R) CPU E5-2620 0 @ 2.00GHz,24,281,276,24
40,Intel(R) Xeon(R) CPU E5-2620 0 @ 2.00GHz,24,261,260,24
41,Intel(R) Xeon(R) CPU E5-2620 0 @ 2.00GHz,24,226,237,24
42,Intel(R) Xeon(R) CPU E5-2620 0 @ 2.00GHz,24,174,174,24
43,Intel(R) Xeon(R) CPU E5-2620 0 @ 2.00GHz,24,75,30,24
