排名,CPU型号,CPU核心数,单核得分,多核得分,多核线程数
1,Intel(R) Xeon(R) CPU E5-2650L 0 @ 1.80GHz,32,641,14430,32
2,Intel(R) Xeon(R) CPU E5-2650L 0 @ 1.80GHz,32,631,14381,32
3,Intel(R) Xeon(R) CPU E5-2650L 0 @ 1.80GHz,2,592,13951,32
4,Intel(R) Xeon(R) CPU E5-2650L 0 @ 1.80GHz,2,504,12999,32
5,Intel(R) Xeon(R) CPU E5-2650L 0 @ 1.80GHz,2,544,8695,16
6,Intel(R) Xeon(R) CPU E5-2650L 0 @ 1.80GHz,2,543,8675,16
7,Intel(R) Xeon(R) CPU E5-2650L 0 @ 1.80GHz,2,545,8673,16
8,Intel(R) Xeon(R) CPU E5-2650L 0 @ 1.80GHz,2,542,8669,16
9,Intel(R) Xeon(R) CPU E5-2650L 0 @ 1.80GHz,2,542,8662,16
10,Intel(R) Xeon(R) CPU E5-2650L 0 @ 1.80GHz,16,509,8141,16
11,Intel(R) Xeon(R) CPU E5-2650L 0 @ 1.80GHz,16,509,8132,16
12,Intel(R) Xeon(R) CPU E5-2650L 0 @ 1.80GHz,16,509,8107,16
13,Intel(R) Xeon(R) CPU E5-2650L 0 @ 1.80GHz,2,505,8071,16
14,Intel(R) Xeon(R) CPU E5-2650L 0 @ 1.80GHz,2,504,8069,16
15,Intel(R) Xeon(R) CPU E5-2650L 0 @ 1.80GHz,2,503,8067,16
16,Intel(R) Xeon(R) CPU E5-2650L 0 @ 1.80GHz,2,503,8049,16
17,Intel(R) Xeon(R) CPU E5-2650L 0 @ 1.80GHz,2,504,8033,16
18,Intel(R) Xeon(R) CPU E5-2650L 0 @ 1.80GHz,2,504,8013,16
19,Intel(R) Xeon(R) CPU E5-2650L 0 @ 1.80GHz,2,503,7946,16
20,Intel(R) Xeon(R) CPU E5-2650L 0 @ 1.80GHz,2,504,7937,16
21,Intel(R) Xeon(R) CPU E5-2650L 0 @ 1.80GHz,2,504,7914,16
22,Intel(R) Xeon(R) CPU E5-2650L 0 @ 1.80GHz,2,476,7591,16
23,Intel(R) Xeon(R) CPU E5-2650L 0 @ 1.80GHz,2,475,7579,16
24,Intel(R) Xeon(R) CPU E5-2650L 0 @ 1.80GHz,2,317,5044,16
25,Intel(R) Xeon(R) CPU E5-2650L 0 @ 1.80GHz,4,322,1251,4
26,Intel(R) Xeon(R) CPU E5-2650L 0 @ 1.80GHz,2,494,991,2
27,Intel(R) Xeon(R) CPU E5-2650L 0 @ 1.80GHz,2,495,991,2
28,Intel(R) Xeon(R) CPU E5-2650L 0 @ 1.80GHz,2,492,991,2
29,Intel(R) Xeon(R) CPU E5-2650L 0 @ 1.80GHz,2,475,984,2
30,Intel(R) Xeon(R) CPU E5-2650L 0 @ 1.80GHz,2,494,984,2
31,Intel(R) Xeon(R) CPU E5-2650L 0 @ 1.80GHz,2,479,961,2
32,Intel(R) Xeon(R) CPU E5-2650L 0 @ 1.80GHz,2,464,934,2
33,Intel(R) Xeon(R) CPU E5-2650L 0 @ 1.80GHz,2,463,917,2
34,Intel(R) Xeon(R) CPU E5-2650L 0 @ 1.80GHz,2,458,914,2
35,Intel(R) Xeon(R) CPU E5-2650L 0 @ 1.80GHz,2,462,914,2
36,Intel(R) Xeon(R) CPU E5-2650L 0 @ 1.80GHz,2,460,909,2
37,Intel(R) Xeon(R) CPU E5-2650L 0 @ 1.80GHz,1,401,401,1
38,Intel(R) Xeon(R) CPU E5-2650L 0 @ 1.80GHz,1,387,387,1
39,Intel(R) Xeon(R) CPU E5-2650L 0 @ 1.80GHz,1,197,197,1
