排名,CPU型号,CPU核心数,单核得分,多核得分,多核线程数
1,Intel(R) Xeon(R) CPU E5-2650L v4 @ 1.70GHz,1,780,14389,28
2,Intel(R) Xeon(R) CPU E5-2650L v4 @ 1.70GHz,1,800,14357,28
3,Intel(R) Xeon(R) CPU E5-2650L v4 @ 1.70GHz,6,563,3158,6
4,Intel(R) Xeon(R) CPU E5-2650L v4 @ 1.70GHz,3,593,1829,4
5,Intel(R) Xeon(R) CPU E5-2650L v4 @ 1.70GHz,3,573,1814,4
6,Intel(R) Xeon(R) CPU E5-2650L v4 @ 1.70GHz,28,632,1700,28
7,Intel(R) Xeon(R) CPU E5-2650L v4 @ 1.70GHz,28,569,1699,28
8,Intel(R) Xeon(R) CPU E5-2650L v4 @ 1.70GHz,28,725,1622,28
9,Intel(R) Xeon(R) CPU E5-2650L v4 @ 1.70GHz,2,613,1245,2
10,Intel(R) Xeon(R) CPU E5-2650L v4 @ 1.70GHz,2,607,1237,2
11,Intel(R) Xeon(R) CPU E5-2650L v4 @ 1.70GHz,2,611,1235,2
12,Intel(R) Xeon(R) CPU E5-2650L v4 @ 1.70GHz,2,608,1230,2
13,Intel(R) Xeon(R) CPU E5-2650L v4 @ 1.70GHz,2,604,1226,2
14,Intel(R) Xeon(R) CPU E5-2650L v4 @ 1.70GHz,2,582,1225,2
15,Intel(R) Xeon(R) CPU E5-2650L v4 @ 1.70GHz,2,606,1224,2
16,Intel(R) Xeon(R) CPU E5-2650L v4 @ 1.70GHz,2,606,1224,2
17,Intel(R) Xeon(R) CPU E5-2650L v4 @ 1.70GHz,2,617,1223,2
18,Intel(R) Xeon(R) CPU E5-2650L v4 @ 1.70GHz,2,616,1218,2
19,Intel(R) Xeon(R) CPU E5-2650L v4 @ 1.70GHz,2,608,1216,2
20,Intel(R) Xeon(R) CPU E5-2650L v4 @ 1.70GHz,2,601,1205,2
21,Intel(R) Xeon(R) CPU E5-2650L v4 @ 1.70GHz,2,605,1199,2
22,Intel(R) Xeon(R) CPU E5-2650L v4 @ 1.70GHz,2,600,1173,2
23,Intel(R) Xeon(R) CPU E5-2650L v4 @ 1.70GHz,2,621,1163,2
24,Intel(R) Xeon(R) CPU E5-2650L v4 @ 1.70GHz,2,589,1163,2
25,Intel(R) Xeon(R) CPU E5-2650L v4 @ 1.70GHz,2,616,1154,2
26,Intel(R) Xeon(R) CPU E5-2650L v4 @ 1.70GHz,2,607,1151,2
27,Intel(R) Xeon(R) CPU E5-2650L v4 @ 1.70GHz,2,592,1148,2
28,Intel(R) Xeon(R) CPU E5-2650L v4 @ 1.70GHz,2,589,1132,2
29,Intel(R) Xeon(R) CPU E5-2650L v4 @ 1.70GHz,2,603,1131,2
30,Intel(R) Xeon(R) CPU E5-2650L v4 @ 1.70GHz,2,604,1131,2
31,Intel(R) Xeon(R) CPU E5-2650L v4 @ 1.70GHz,2,597,1115,2
32,Intel(R) Xeon(R) CPU E5-2650L v4 @ 1.70GHz,2,588,1109,2
33,Intel(R) Xeon(R) CPU E5-2650L v4 @ 1.70GHz,2,538,1085,2
34,Intel(R) Xeon(R) CPU E5-2650L v4 @ 1.70GHz,2,565,1065,2
35,Intel(R) Xeon(R) CPU E5-2650L v4 @ 1.70GHz,2,553,1065,2
36,Intel(R) Xeon(R) CPU E5-2650L v4 @ 1.70GHz,2,521,1059,2
37,Intel(R) Xeon(R) CPU E5-2650L v4 @ 1.70GHz,2,567,1055,2
38,Intel(R) Xeon(R) CPU E5-2650L v4 @ 1.70GHz,2,594,1053,2
39,Intel(R) Xeon(R) CPU E5-2650L v4 @ 1.70GHz,2,607,1018,2
40,Intel(R) Xeon(R) CPU E5-2650L v4 @ 1.70GHz,2,606,1013,2
41,Intel(R) Xeon(R) CPU E5-2650L v4 @ 1.70GHz,2,546,1005,2
42,Intel(R) Xeon(R) CPU E5-2650L v4 @ 1.70GHz,2,498,974,2
43,Intel(R) Xeon(R) CPU E5-2650L v4 @ 1.70GHz,2,528,962,2
44,Intel(R) Xeon(R) CPU E5-2650L v4 @ 1.70GHz,2,586,959,2
45,Intel(R) Xeon(R) CPU E5-2650L v4 @ 1.70GHz,2,545,952,2
46,Intel(R) Xeon(R) CPU E5-2650L v4 @ 1.70GHz,2,460,918,2
47,Intel(R) Xeon(R) CPU E5-2650L v4 @ 1.70GHz,2,591,760,2
48,Intel(R) Xeon(R) CPU E5-2650L v4 @ 1.70GHz,2,575,713,2
49,Intel(R) Xeon(R) CPU E5-2650L v4 @ 1.70GHz,1,585,588,2
50,Intel(R) Xeon(R) CPU E5-2650L v4 @ 1.70GHz,1,528,580,2
51,Intel(R) Xeon(R) CPU E5-2650L v4 @ 1.70GHz,1,533,571,2
52,Intel(R) Xeon(R) CPU E5-2650L v4 @ 1.70GHz,1,529,545,2
53,Intel(R) Xeon(R) CPU E5-2650L v4 @ 1.70GHz,2,505,519,2
54,Intel(R) Xeon(R) CPU E5-2650L v4 @ 1.70GHz,1,533,452,2
55,Intel(R) Xeon(R) CPU E5-2650L v4 @ 1.70GHz,1,438,415,2
56,Intel(R) Xeon(R) CPU E5-2650L v4 @ 1.70GHz,1,433,400,2
57,Intel(R) Xeon(R) CPU E5-2650L v4 @ 1.70GHz,1,385,374,2
58,Intel(R) Xeon(R) CPU E5-2650L v4 @ 1.70GHz,2,357,374,2
59,Intel(R) Xeon(R) CPU E5-2650L v4 @ 1.70GHz,2,307,330,2
60,Intel(R) Xeon(R) CPU E5-2650L v4 @ 1.70GHz,1,218,255,2
61,Intel(R) Xeon(R) CPU E5-2650L v4 @ 1.70GHz,2,209,232,2
