排名,CPU型号,CPU核心数,单核得分,多核得分,多核线程数
1,Intel(R) Xeon(R) CPU E5-2670 0 @ 2.60GHz,2,963,1906,2
2,Intel(R) Xeon(R) CPU E5-2670 0 @ 2.60GHz,2,955,1921,2
3,Intel(R) Xeon(R) CPU E5-2670 0 @ 2.60GHz,2,950,20564,32
4,Intel(R) Xeon(R) CPU E5-2670 0 @ 2.60GHz,2,940,1842,2
5,Intel(R) Xeon(R) CPU E5-2670 0 @ 2.60GHz,2,930,1799,2
6,Intel(R) Xeon(R) CPU E5-2670 0 @ 2.60GHz,2,927,1861,2
7,Intel(R) Xeon(R) CPU E5-2670 0 @ 2.60GHz,2,925,21694,32
8,Intel(R) Xeon(R) CPU E5-2670 0 @ 2.60GHz,32,922,21614,32
9,Intel(R) Xeon(R) CPU E5-2670 0 @ 2.60GHz,2,922,21593,32
10,Intel(R) Xeon(R) CPU E5-2670 0 @ 2.60GHz,4,916,3526,4
11,Intel(R) Xeon(R) CPU E5-2670 0 @ 2.60GHz,2,913,1826,2
12,Intel(R) Xeon(R) CPU E5-2670 0 @ 2.60GHz,32,906,21527,32
13,Intel(R) Xeon(R) CPU E5-2670 0 @ 2.60GHz,4,906,3537,4
14,Intel(R) Xeon(R) CPU E5-2670 0 @ 2.60GHz,2,904,21206,32
15,Intel(R) Xeon(R) CPU E5-2670 0 @ 2.60GHz,4,901,3517,4
16,Intel(R) Xeon(R) CPU E5-2670 0 @ 2.60GHz,2,899,21296,32
17,Intel(R) Xeon(R) CPU E5-2670 0 @ 2.60GHz,16,894,13116,16
18,Intel(R) Xeon(R) CPU E5-2670 0 @ 2.60GHz,2,894,1732,2
19,Intel(R) Xeon(R) CPU E5-2670 0 @ 2.60GHz,2,889,1745,2
20,Intel(R) Xeon(R) CPU E5-2670 0 @ 2.60GHz,2,882,21397,32
21,Intel(R) Xeon(R) CPU E5-2670 0 @ 2.60GHz,16,881,11451,16
22,Intel(R) Xeon(R) CPU E5-2670 0 @ 2.60GHz,32,874,20978,32
23,Intel(R) Xeon(R) CPU E5-2670 0 @ 2.60GHz,32,874,20988,32
24,Intel(R) Xeon(R) CPU E5-2670 0 @ 2.60GHz,2,869,21215,32
25,Intel(R) Xeon(R) CPU E5-2670 0 @ 2.60GHz,2,859,20812,32
26,Intel(R) Xeon(R) CPU E5-2670 0 @ 2.60GHz,2,858,20412,32
27,Intel(R) Xeon(R) CPU E5-2670 0 @ 2.60GHz,2,847,21268,32
28,Intel(R) Xeon(R) CPU E5-2670 0 @ 2.60GHz,2,846,1691,2
29,Intel(R) Xeon(R) CPU E5-2670 0 @ 2.60GHz,4,846,3347,4
30,Intel(R) Xeon(R) CPU E5-2670 0 @ 2.60GHz,4,845,3332,4
31,Intel(R) Xeon(R) CPU E5-2670 0 @ 2.60GHz,4,840,3485,4
32,Intel(R) Xeon(R) CPU E5-2670 0 @ 2.60GHz,2,835,1628,2
33,Intel(R) Xeon(R) CPU E5-2670 0 @ 2.60GHz,2,834,1588,2
34,Intel(R) Xeon(R) CPU E5-2670 0 @ 2.60GHz,2,833,1634,2
35,Intel(R) Xeon(R) CPU E5-2670 0 @ 2.60GHz,2,832,20721,32
36,Intel(R) Xeon(R) CPU E5-2670 0 @ 2.60GHz,4,828,3302,4
37,Intel(R) Xeon(R) CPU E5-2670 0 @ 2.60GHz,2,827,1568,2
38,Intel(R) Xeon(R) CPU E5-2670 0 @ 2.60GHz,2,826,21290,32
39,Intel(R) Xeon(R) CPU E5-2670 0 @ 2.60GHz,4,824,3240,4
40,Intel(R) Xeon(R) CPU E5-2670 0 @ 2.60GHz,4,822,3272,4
41,Intel(R) Xeon(R) CPU E5-2670 0 @ 2.60GHz,4,821,3207,4
42,Intel(R) Xeon(R) CPU E5-2670 0 @ 2.60GHz,4,821,3316,4
43,Intel(R) Xeon(R) CPU E5-2670 0 @ 2.60GHz,4,818,3221,4
44,Intel(R) Xeon(R) CPU E5-2670 0 @ 2.60GHz,4,817,3266,4
45,Intel(R) Xeon(R) CPU E5-2670 0 @ 2.60GHz,2,814,1520,2
46,Intel(R) Xeon(R) CPU E5-2670 0 @ 2.60GHz,2,814,1617,2
47,Intel(R) Xeon(R) CPU E5-2670 0 @ 2.60GHz,2,812,20697,32
48,Intel(R) Xeon(R) CPU E5-2670 0 @ 2.60GHz,2,812,1575,2
49,Intel(R) Xeon(R) CPU E5-2670 0 @ 2.60GHz,2,808,1609,2
50,Intel(R) Xeon(R) CPU E5-2670 0 @ 2.60GHz,2,808,1617,2
51,Intel(R) Xeon(R) CPU E5-2670 0 @ 2.60GHz,2,806,1601,2
52,Intel(R) Xeon(R) CPU E5-2670 0 @ 2.60GHz,2,801,1607,2
53,Intel(R) Xeon(R) CPU E5-2670 0 @ 2.60GHz,4,799,2999,4
54,Intel(R) Xeon(R) CPU E5-2670 0 @ 2.60GHz,2,789,1594,2
55,Intel(R) Xeon(R) CPU E5-2670 0 @ 2.60GHz,2,789,18557,32
56,Intel(R) Xeon(R) CPU E5-2670 0 @ 2.60GHz,2,789,18583,32
57,Intel(R) Xeon(R) CPU E5-2670 0 @ 2.60GHz,2,787,18180,32
58,Intel(R) Xeon(R) CPU E5-2670 0 @ 2.60GHz,2,786,1573,2
59,Intel(R) Xeon(R) CPU E5-2670 0 @ 2.60GHz,2,786,18489,32
60,Intel(R) Xeon(R) CPU E5-2670 0 @ 2.60GHz,2,786,18491,32
61,Intel(R) Xeon(R) CPU E5-2670 0 @ 2.60GHz,2,784,1558,2
62,Intel(R) Xeon(R) CPU E5-2670 0 @ 2.60GHz,4,781,2729,4
63,Intel(R) Xeon(R) CPU E5-2670 0 @ 2.60GHz,2,781,1580,2
64,Intel(R) Xeon(R) CPU E5-2670 0 @ 2.60GHz,2,780,1552,2
65,Intel(R) Xeon(R) CPU E5-2670 0 @ 2.60GHz,3,780,2277,3
66,Intel(R) Xeon(R) CPU E5-2670 0 @ 2.60GHz,3,780,2287,3
67,Intel(R) Xeon(R) CPU E5-2670 0 @ 2.60GHz,4,778,2603,4
68,Intel(R) Xeon(R) CPU E5-2670 0 @ 2.60GHz,2,774,18601,32
69,Intel(R) Xeon(R) CPU E5-2670 0 @ 2.60GHz,3,774,2348,3
