排名,CPU型号,CPU核心数,单核得分,多核得分,多核线程数
1,Intel(R) Xeon(R) CPU E5-2687W v2 @ 3.40GHz,1,824,824,1
2,Intel(R) Xeon(R) CPU E5-2687W v2 @ 3.40GHz,1,212,212,1
3,Intel(R) Xeon(R) CPU E5-2687W v2 @ 3.40GHz,1,205,205,1
4,Intel(R) Xeon(R) CPU E5-2687W v2 @ 3.40GHz,1,198,198,1
5,Intel(R) Xeon(R) CPU E5-2687W v2 @ 3.40GHz,1,195,195,1
6,Intel(R) Xeon(R) CPU E5-2687W v2 @ 3.40GHz,1,194,194,1
7,Intel(R) Xeon(R) CPU E5-2687W v2 @ 3.40GHz,1,191,191,1
8,Intel(R) Xeon(R) CPU E5-2687W v2 @ 3.40GHz,1,188,188,1
9,Intel(R) Xeon(R) CPU E5-2687W v2 @ 3.40GHz,1,187,187,1
10,Intel(R) Xeon(R) CPU E5-2687W v2 @ 3.40GHz,1,186,186,1
11,Intel(R) Xeon(R) CPU E5-2687W v2 @ 3.40GHz,1,185,185,1
12,Intel(R) Xeon(R) CPU E5-2687W v2 @ 3.40GHz,1,179,179,1
13,Intel(R) Xeon(R) CPU E5-2687W v2 @ 3.40GHz,1,88,88,1
